lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.43397302596408693,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.43517573118453845,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.437113312612185,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.4392531286162643,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.4428212901008074,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.4474087710278434,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.4509291542782688,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.4522098986081526,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.44937225185057905,1105.0,-57600.0,-960.0,-16.0
-15.0,0.44610489350578775,1106.0,-54000.0,-900.0,-15.0
-14.0,0.44348765440551996,1107.0,-50400.0,-840.0,-14.0
-13.0,0.44130250606904203,1109.0,-46800.0,-780.0,-13.0
-12.0,0.4382770569502258,1111.0,-43200.0,-720.0,-12.0
-11.0,0.4584376940851936,1113.0,-39600.0,-660.0,-11.0
-10.0,0.4576204267097984,1115.0,-36000.0,-600.0,-10.0
-9.0,0.4385718639911002,1117.0,-32400.0,-540.0,-9.0
-8.0,0.4438760283808426,1119.0,-28800.0,-480.0,-8.0
-7.0,0.4472240720506695,1121.0,-25200.0,-420.0,-7.0
-6.0,0.4494354508022882,1123.0,-21600.0,-360.0,-6.0
-5.0,0.449314481572142,1125.0,-18000.0,-300.0,-5.0
-4.0,0.44970412986565256,1127.0,-14400.0,-240.0,-4.0
-3.0,0.4523904280358862,1129.0,-10800.0,-180.0,-3.0
-2.0,0.4548536612628542,1131.0,-7200.0,-120.0,-2.0
-1.0,0.4563148096736633,1134.0,-3600.0,-60.0,-1.0
0.0,0.45747224377914386,1137.0,0.0,0.0,0.0
1.0,0.46047468095411087,1134.0,3600.0,60.0,1.0
2.0,0.461846606466593,1131.0,7200.0,120.0,2.0
3.0,0.4659407818519091,1129.0,10800.0,180.0,3.0
4.0,0.46726879875679433,1127.0,14400.0,240.0,4.0
5.0,0.471031220880726,1125.0,18000.0,300.0,5.0
6.0,0.4731664938711199,1123.0,21600.0,360.0,6.0
7.0,0.47185513991034833,1121.0,25200.0,420.0,7.0
8.0,0.468627856690555,1119.0,28800.0,480.0,8.0
9.0,0.46506026192763666,1117.0,32400.0,540.0,9.0
10.0,0.4623517940322336,1115.0,36000.0,600.0,10.0
11.0,0.45980553533055324,1113.0,39600.0,660.0,11.0
12.0,0.4569205009446634,1111.0,43200.0,720.0,12.0
13.0,0.4553129249486206,1109.0,46800.0,780.0,13.0
14.0,0.4558463805731032,1107.0,50400.0,840.0,14.0
15.0,0.45827429951602694,1106.0,54000.0,900.0,15.0
16.0,0.46248296900042013,1105.0,57600.0,960.0,16.0
17.0,0.4654513115300556,1104.0,61200.0,1020.0,17.0
18.0,0.4674865410945674,1103.0,64800.0,1080.0,18.0
19.0,0.46862749179966773,1102.0,68400.0,1140.0,19.0
20.0,0.46720956360498916,1101.0,72000.0,1200.0,20.0
21.0,0.469011057180227,1100.0,75600.0,1260.0,21.0
22.0,0.47117306629494377,1099.0,79200.0,1320.0,22.0
23.0,0.47400588208742833,1098.0,82800.0,1380.0,23.0
24.0,0.47623451393376864,1097.0,86400.0,1440.0,24.0
