lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,-0.24029928323762031,1097.0,-86400.0,-1440.0,-24.0
-23.0,-0.25290140273497286,1098.0,-82800.0,-1380.0,-23.0
-22.0,-0.2622903088460439,1099.0,-79200.0,-1320.0,-22.0
-21.0,-0.27389359998843543,1100.0,-75600.0,-1260.0,-21.0
-20.0,-0.2817801987421383,1101.0,-72000.0,-1200.0,-20.0
-19.0,-0.29104760531932283,1102.0,-68400.0,-1140.0,-19.0
-18.0,-0.29701600158476826,1103.0,-64800.0,-1080.0,-18.0
-17.0,-0.29242677516590826,1104.0,-61200.0,-1020.0,-17.0
-16.0,-0.2969017771199855,1105.0,-57600.0,-960.0,-16.0
-15.0,-0.3006753593594295,1106.0,-54000.0,-900.0,-15.0
-14.0,-0.30641217330292353,1107.0,-50400.0,-840.0,-14.0
-13.0,-0.3066874884451493,1109.0,-46800.0,-780.0,-13.0
-12.0,-0.3073212356525811,1111.0,-43200.0,-720.0,-12.0
-11.0,-0.32053142846422505,1113.0,-39600.0,-660.0,-11.0
-10.0,-0.30293396790188315,1115.0,-36000.0,-600.0,-10.0
-9.0,-0.28655760297720817,1117.0,-32400.0,-540.0,-9.0
-8.0,-0.288203496259576,1119.0,-28800.0,-480.0,-8.0
-7.0,-0.28707273286322604,1121.0,-25200.0,-420.0,-7.0
-6.0,-0.2850381954359765,1123.0,-21600.0,-360.0,-6.0
-5.0,-0.27896158259950044,1125.0,-18000.0,-300.0,-5.0
-4.0,-0.2759872493017057,1127.0,-14400.0,-240.0,-4.0
-3.0,-0.2687424217873869,1129.0,-10800.0,-180.0,-3.0
-2.0,-0.24985563476524073,1131.0,-7200.0,-120.0,-2.0
-1.0,-0.2403092956799239,1134.0,-3600.0,-60.0,-1.0
0.0,-0.23161096509580703,1137.0,0.0,0.0,0.0
1.0,-0.2488216950050037,1134.0,3600.0,60.0,1.0
2.0,-0.26220361476432097,1131.0,7200.0,120.0,2.0
3.0,-0.2707646058343976,1129.0,10800.0,180.0,3.0
4.0,-0.28062743999566697,1127.0,14400.0,240.0,4.0
5.0,-0.2907017699056433,1125.0,18000.0,300.0,5.0
6.0,-0.2954165434278592,1123.0,21600.0,360.0,6.0
7.0,-0.29330248335172376,1121.0,25200.0,420.0,7.0
8.0,-0.300246264844654,1119.0,28800.0,480.0,8.0
9.0,-0.3022557958434852,1117.0,32400.0,540.0,9.0
10.0,-0.30680125718607043,1115.0,36000.0,600.0,10.0
11.0,-0.3072111270425304,1113.0,39600.0,660.0,11.0
12.0,-0.311063614885182,1111.0,43200.0,720.0,12.0
13.0,-0.31011426619429006,1109.0,46800.0,780.0,13.0
14.0,-0.29668845512629355,1107.0,50400.0,840.0,14.0
15.0,-0.29901001316915066,1106.0,54000.0,900.0,15.0
16.0,-0.29987733686645185,1105.0,57600.0,960.0,16.0
17.0,-0.29512482110310234,1104.0,61200.0,1020.0,17.0
18.0,-0.29276656764782427,1103.0,64800.0,1080.0,18.0
19.0,-0.28947928908300985,1102.0,68400.0,1140.0,19.0
20.0,-0.28676018619955257,1101.0,72000.0,1200.0,20.0
21.0,-0.27982150731292266,1100.0,75600.0,1260.0,21.0
22.0,-0.2619590869845084,1099.0,79200.0,1320.0,22.0
23.0,-0.2550315881035858,1098.0,82800.0,1380.0,23.0
24.0,-0.24712351161289034,1097.0,86400.0,1440.0,24.0
