lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.1913251710706077,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.20234187837510492,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.21297055126741155,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.22853491089495653,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.2480431056563687,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.27753083140923335,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.2992499426313414,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.3065916044240164,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.28576774605325483,1105.0,-57600.0,-960.0,-16.0
-15.0,0.25448168863014115,1106.0,-54000.0,-900.0,-15.0
-14.0,0.22210778853384916,1107.0,-50400.0,-840.0,-14.0
-13.0,0.19638736638412474,1109.0,-46800.0,-780.0,-13.0
-12.0,0.1762774115241892,1111.0,-43200.0,-720.0,-12.0
-11.0,0.17347523791700684,1113.0,-39600.0,-660.0,-11.0
-10.0,0.1714924760074884,1115.0,-36000.0,-600.0,-10.0
-9.0,0.19179953136797095,1117.0,-32400.0,-540.0,-9.0
-8.0,0.21846939925891104,1119.0,-28800.0,-480.0,-8.0
-7.0,0.2471869616267262,1121.0,-25200.0,-420.0,-7.0
-6.0,0.2716926995267168,1123.0,-21600.0,-360.0,-6.0
-5.0,0.2871226025183579,1125.0,-18000.0,-300.0,-5.0
-4.0,0.2910820427243348,1127.0,-14400.0,-240.0,-4.0
-3.0,0.2750377074904352,1129.0,-10800.0,-180.0,-3.0
-2.0,0.26577912379625435,1131.0,-7200.0,-120.0,-2.0
-1.0,0.25926954991569395,1134.0,-3600.0,-60.0,-1.0
0.0,0.2577511034267977,1137.0,0.0,0.0,0.0
1.0,0.25992034791679536,1134.0,3600.0,60.0,1.0
2.0,0.2729643165694112,1131.0,7200.0,120.0,2.0
3.0,0.27900683554839756,1129.0,10800.0,180.0,3.0
4.0,0.3033332922066328,1127.0,14400.0,240.0,4.0
5.0,0.3287263077281927,1125.0,18000.0,300.0,5.0
6.0,0.3480314002708141,1123.0,21600.0,360.0,6.0
7.0,0.3445448264933624,1121.0,25200.0,420.0,7.0
8.0,0.3201736878042707,1119.0,28800.0,480.0,8.0
9.0,0.28421772207334894,1117.0,32400.0,540.0,9.0
10.0,0.2535536561295373,1115.0,36000.0,600.0,10.0
11.0,0.22756799673057018,1113.0,39600.0,660.0,11.0
12.0,0.2044373530935852,1111.0,43200.0,720.0,12.0
13.0,0.19219441614515867,1109.0,46800.0,780.0,13.0
14.0,0.20628301062010296,1107.0,50400.0,840.0,14.0
15.0,0.22612966350448077,1106.0,54000.0,900.0,15.0
16.0,0.25067167434144644,1105.0,57600.0,960.0,16.0
17.0,0.27643086260038796,1104.0,61200.0,1020.0,17.0
18.0,0.2956513408468949,1103.0,64800.0,1080.0,18.0
19.0,0.3043162825624914,1102.0,68400.0,1140.0,19.0
20.0,0.2932392118201331,1101.0,72000.0,1200.0,20.0
21.0,0.2730810424647133,1100.0,75600.0,1260.0,21.0
22.0,0.25915851924187217,1099.0,79200.0,1320.0,22.0
23.0,0.25409373592621415,1098.0,82800.0,1380.0,23.0
24.0,0.253600097525573,1097.0,86400.0,1440.0,24.0
