lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.358597382739184,1001.0,-432000.0,-7200.0,-120.0
-119.0,0.36533254995699244,1002.0,-428400.0,-7140.0,-119.0
-118.0,0.37016532398886315,1003.0,-424800.0,-7080.0,-118.0
-117.0,0.38403480878054247,1004.0,-421200.0,-7020.0,-117.0
-116.0,0.4015177186365842,1005.0,-417600.0,-6960.0,-116.0
-115.0,0.42495844009025213,1006.0,-414000.0,-6900.0,-115.0
-114.0,0.4520589033015396,1007.0,-410400.0,-6840.0,-114.0
-113.0,0.4682606998255635,1008.0,-406800.0,-6780.0,-113.0
-112.0,0.4656153076392465,1009.0,-403200.0,-6720.0,-112.0
-111.0,0.4468614482078975,1010.0,-399600.0,-6660.0,-111.0
-110.0,0.4307918281985164,1011.0,-396000.0,-6600.0,-110.0
-109.0,0.41105574582014914,1012.0,-392400.0,-6540.0,-109.0
-108.0,0.39444448694906875,1013.0,-388800.0,-6480.0,-108.0
-107.0,0.3848062336560022,1014.0,-385200.0,-6420.0,-107.0
-106.0,0.3809348134233586,1015.0,-381600.0,-6360.0,-106.0
-105.0,0.38417445558723495,1016.0,-378000.0,-6300.0,-105.0
-104.0,0.3950758330800446,1017.0,-374400.0,-6240.0,-104.0
-103.0,0.41674352043852786,1018.0,-370800.0,-6180.0,-103.0
-102.0,0.43542843541424214,1019.0,-367200.0,-6120.0,-102.0
-101.0,0.4449914176800759,1020.0,-363600.0,-6060.0,-101.0
-100.0,0.44842300022075504,1021.0,-360000.0,-6000.0,-100.0
-99.0,0.4500173552547834,1022.0,-356400.0,-5940.0,-99.0
-98.0,0.45371441798881385,1023.0,-352800.0,-5880.0,-98.0
-97.0,0.4475442977764556,1024.0,-349200.0,-5820.0,-97.0
-96.0,0.44983423432588476,1025.0,-345600.0,-5760.0,-96.0
-95.0,0.45187525848344867,1026.0,-342000.0,-5700.0,-95.0
-94.0,0.458219413715354,1027.0,-338400.0,-5640.0,-94.0
-93.0,0.46945424464776003,1028.0,-334800.0,-5580.0,-93.0
-92.0,0.48002304477688656,1029.0,-331200.0,-5520.0,-92.0
-91.0,0.5053485246909044,1030.0,-327600.0,-5460.0,-91.0
-90.0,0.5301841515946354,1031.0,-324000.0,-5400.0,-90.0
-89.0,0.5437068568988112,1032.0,-320400.0,-5340.0,-89.0
-88.0,0.5378367275867671,1033.0,-316800.0,-5280.0,-88.0
-87.0,0.52102878388457,1034.0,-313200.0,-5220.0,-87.0
-86.0,0.5034204561324095,1035.0,-309600.0,-5160.0,-86.0
-85.0,0.48858191254842614,1036.0,-306000.0,-5100.0,-85.0
-84.0,0.476279344208085,1037.0,-302400.0,-5040.0,-84.0
-83.0,0.4703912810360298,1038.0,-298800.0,-4980.0,-83.0
-82.0,0.4629700533970469,1039.0,-295200.0,-4920.0,-82.0
-81.0,0.4682346103159315,1040.0,-291600.0,-4860.0,-81.0
-80.0,0.47878838166147847,1041.0,-288000.0,-4800.0,-80.0
-79.0,0.4994687073962533,1042.0,-284400.0,-4740.0,-79.0
-78.0,0.5127138182786526,1043.0,-280800.0,-4680.0,-78.0
-77.0,0.520174034237647,1044.0,-277200.0,-4620.0,-77.0
-76.0,0.5266940197669147,1045.0,-273600.0,-4560.0,-76.0
-75.0,0.5267714170586006,1046.0,-270000.0,-4500.0,-75.0
-74.0,0.5205487603509242,1047.0,-266400.0,-4440.0,-74.0
-73.0,0.5203220568991345,1048.0,-262800.0,-4380.0,-73.0
-72.0,0.5220772276600034,1049.0,-259200.0,-4320.0,-72.0
-71.0,0.5255953164934984,1050.0,-255600.0,-4260.0,-71.0
-70.0,0.5298815827630042,1051.0,-252000.0,-4200.0,-70.0
-69.0,0.5332546810339548,1052.0,-248400.0,-4140.0,-69.0
-68.0,0.5461291869197578,1053.0,-244800.0,-4080.0,-68.0
-67.0,0.5677915887784608,1054.0,-241200.0,-4020.0,-67.0
-66.0,0.5913067744111398,1055.0,-237600.0,-3960.0,-66.0
-65.0,0.5980841010872694,1056.0,-234000.0,-3900.0,-65.0
-64.0,0.594558027970879,1057.0,-230400.0,-3840.0,-64.0
-63.0,0.581153306988761,1058.0,-226800.0,-3780.0,-63.0
-62.0,0.5612859579778167,1059.0,-223200.0,-3720.0,-62.0
-61.0,0.5444701248684407,1060.0,-219600.0,-3660.0,-61.0
-60.0,0.532593205905076,1061.0,-216000.0,-3600.0,-60.0
-59.0,0.5228978026227847,1062.0,-212400.0,-3540.0,-59.0
-58.0,0.5226999348937287,1063.0,-208800.0,-3480.0,-58.0
-57.0,0.5233086890595675,1064.0,-205200.0,-3420.0,-57.0
-56.0,0.5325942962275105,1065.0,-201600.0,-3360.0,-56.0
-55.0,0.5486547335892042,1066.0,-198000.0,-3300.0,-55.0
-54.0,0.5636166413029182,1067.0,-194400.0,-3240.0,-54.0
-53.0,0.5700547029767349,1068.0,-190800.0,-3180.0,-53.0
-52.0,0.5753467154493033,1069.0,-187200.0,-3120.0,-52.0
-51.0,0.5750683659848654,1070.0,-183600.0,-3060.0,-51.0
-50.0,0.5672808639925081,1071.0,-180000.0,-3000.0,-50.0
-49.0,0.5649446255471063,1072.0,-176400.0,-2940.0,-49.0
-48.0,0.5651832036688844,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.569595880355183,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.5708444632382138,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.573011576297389,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.5857432474420197,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.6048968090474648,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.6237744811401765,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.6327991084054868,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.6276246349452046,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.6155864513511835,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.5982218249207372,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.5859146864265216,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.5782221302548671,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.5671355313415694,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.5673984808442933,1087.0,-122400.0,-2040.0,-34.0
-33.0,0.5674375932472978,1088.0,-118800.0,-1980.0,-33.0
-32.0,0.5766189024343802,1089.0,-115200.0,-1920.0,-32.0
-31.0,0.5884602682030065,1090.0,-111600.0,-1860.0,-31.0
-30.0,0.6027796788627564,1091.0,-108000.0,-1800.0,-30.0
-29.0,0.6118575449013609,1092.0,-104400.0,-1740.0,-29.0
-28.0,0.6206406897652605,1093.0,-100800.0,-1680.0,-28.0
-27.0,0.6230215861043568,1094.0,-97200.0,-1620.0,-27.0
-26.0,0.6159797381536557,1095.0,-93600.0,-1560.0,-26.0
-25.0,0.6165740285604746,1096.0,-90000.0,-1500.0,-25.0
-24.0,0.6145795171893854,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.6195807723796487,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.6192200720912696,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.6251117324375561,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.635658492563398,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.652571666510581,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.6691812295179554,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.6795274284056946,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.6785097396708523,1105.0,-57600.0,-960.0,-16.0
-15.0,0.6645181187133161,1106.0,-54000.0,-900.0,-15.0
-14.0,0.652713932615573,1107.0,-50400.0,-840.0,-14.0
-13.0,0.6399529404538505,1109.0,-46800.0,-780.0,-13.0
-12.0,0.6301367754140572,1111.0,-43200.0,-720.0,-12.0
-11.0,0.6491941814047715,1113.0,-39600.0,-660.0,-11.0
-10.0,0.6416757080627759,1115.0,-36000.0,-600.0,-10.0
-9.0,0.6178575918264697,1117.0,-32400.0,-540.0,-9.0
-8.0,0.6253809953073018,1119.0,-28800.0,-480.0,-8.0
-7.0,0.6367703521229886,1121.0,-25200.0,-420.0,-7.0
-6.0,0.6496603548492668,1123.0,-21600.0,-360.0,-6.0
-5.0,0.6585727149114322,1125.0,-18000.0,-300.0,-5.0
-4.0,0.6656921434234235,1127.0,-14400.0,-240.0,-4.0
-3.0,0.6663250455790439,1129.0,-10800.0,-180.0,-3.0
-2.0,0.6635823995012593,1131.0,-7200.0,-120.0,-2.0
-1.0,0.6573120970680923,1134.0,-3600.0,-60.0,-1.0
0.0,0.6568837122757091,1137.0,0.0,0.0,0.0
1.0,0.6535231860420291,1134.0,3600.0,60.0,1.0
2.0,0.655028203458151,1131.0,7200.0,120.0,2.0
3.0,0.6575082613821627,1129.0,10800.0,180.0,3.0
4.0,0.6631859773313273,1127.0,14400.0,240.0,4.0
5.0,0.6776781329475684,1125.0,18000.0,300.0,5.0
6.0,0.6935163617046133,1123.0,21600.0,360.0,6.0
7.0,0.7037272730334774,1121.0,25200.0,420.0,7.0
8.0,0.6978272320154773,1119.0,28800.0,480.0,8.0
9.0,0.6841549704066218,1117.0,32400.0,540.0,9.0
10.0,0.6657666601127646,1115.0,36000.0,600.0,10.0
11.0,0.6499722918986162,1113.0,39600.0,660.0,11.0
12.0,0.6389551311403153,1111.0,43200.0,720.0,12.0
13.0,0.6295838260437767,1109.0,46800.0,780.0,13.0
14.0,0.6268790903646491,1107.0,50400.0,840.0,14.0
15.0,0.6264951107004801,1106.0,54000.0,900.0,15.0
16.0,0.6362422555457259,1105.0,57600.0,960.0,16.0
17.0,0.6429498523180365,1104.0,61200.0,1020.0,17.0
18.0,0.6544658523080913,1103.0,64800.0,1080.0,18.0
19.0,0.6605495664608019,1102.0,68400.0,1140.0,19.0
20.0,0.6637519606876296,1101.0,72000.0,1200.0,20.0
21.0,0.6604153739350711,1100.0,75600.0,1260.0,21.0
22.0,0.6507593679717298,1099.0,79200.0,1320.0,22.0
23.0,0.6482354011341404,1098.0,82800.0,1380.0,23.0
24.0,0.6496294211002546,1097.0,86400.0,1440.0,24.0
25.0,0.6475791501237859,1096.0,90000.0,1500.0,25.0
26.0,0.6479009449522247,1095.0,93600.0,1560.0,26.0
27.0,0.6518268707954326,1094.0,97200.0,1620.0,27.0
28.0,0.6610300375445671,1093.0,100800.0,1680.0,28.0
29.0,0.6757565752202274,1092.0,104400.0,1740.0,29.0
30.0,0.6903682446490597,1091.0,108000.0,1800.0,30.0
31.0,0.6978432919072517,1090.0,111600.0,1860.0,31.0
32.0,0.6939317793102131,1089.0,115200.0,1920.0,32.0
