lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,-0.03548912680148565,1001.0,-432000.0,-7200.0,-120.0
-119.0,-0.052659940558308624,1002.0,-428400.0,-7140.0,-119.0
-118.0,-0.0684050249790537,1003.0,-424800.0,-7080.0,-118.0
-117.0,-0.0805180878875745,1004.0,-421200.0,-7020.0,-117.0
-116.0,-0.09711587089692576,1005.0,-417600.0,-6960.0,-116.0
-115.0,-0.10734763316015444,1006.0,-414000.0,-6900.0,-115.0
-114.0,-0.11251567000800582,1007.0,-410400.0,-6840.0,-114.0
-113.0,-0.09988955868967292,1008.0,-406800.0,-6780.0,-113.0
-112.0,-0.10577951618798428,1009.0,-403200.0,-6720.0,-112.0
-111.0,-0.11537543201691437,1010.0,-399600.0,-6660.0,-111.0
-110.0,-0.12311354508689627,1011.0,-396000.0,-6600.0,-110.0
-109.0,-0.12292939206029878,1012.0,-392400.0,-6540.0,-109.0
-108.0,-0.12348149407652904,1013.0,-388800.0,-6480.0,-108.0
-107.0,-0.12590579870729912,1014.0,-385200.0,-6420.0,-107.0
-106.0,-0.11230847630640234,1015.0,-381600.0,-6360.0,-106.0
-105.0,-0.11575505239142715,1016.0,-378000.0,-6300.0,-105.0
-104.0,-0.1156416348341426,1017.0,-374400.0,-6240.0,-104.0
-103.0,-0.12281990320952815,1018.0,-370800.0,-6180.0,-103.0
-102.0,-0.1254254531900955,1019.0,-367200.0,-6120.0,-102.0
-101.0,-0.12559479845751353,1020.0,-363600.0,-6060.0,-101.0
-100.0,-0.1218450333050641,1021.0,-360000.0,-6000.0,-100.0
-99.0,-0.11579889665301449,1022.0,-356400.0,-5940.0,-99.0
-98.0,-0.09313318198539294,1023.0,-352800.0,-5880.0,-98.0
-97.0,-0.0898280899610811,1024.0,-349200.0,-5820.0,-97.0
-96.0,-0.08667905312819338,1025.0,-345600.0,-5760.0,-96.0
-95.0,-0.10268687184688406,1026.0,-342000.0,-5700.0,-95.0
-94.0,-0.11880936116836906,1027.0,-338400.0,-5640.0,-94.0
-93.0,-0.13192467818283135,1028.0,-334800.0,-5580.0,-93.0
-92.0,-0.15276547719972264,1029.0,-331200.0,-5520.0,-92.0
-91.0,-0.16570759893987422,1030.0,-327600.0,-5460.0,-91.0
-90.0,-0.17345016383761022,1031.0,-324000.0,-5400.0,-90.0
-89.0,-0.17138419359618723,1032.0,-320400.0,-5340.0,-89.0
-88.0,-0.17678803411781957,1033.0,-316800.0,-5280.0,-88.0
