lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.004149823232696718,1001.0,-432000.0,-7200.0,-120.0
-119.0,0.01131462365722584,1002.0,-428400.0,-7140.0,-119.0
-118.0,0.022314657783608204,1003.0,-424800.0,-7080.0,-118.0
-117.0,0.03424307580755127,1004.0,-421200.0,-7020.0,-117.0
-116.0,0.061259594163595076,1005.0,-417600.0,-6960.0,-116.0
-115.0,0.09742126054017883,1006.0,-414000.0,-6900.0,-115.0
-114.0,0.12695124730826285,1007.0,-410400.0,-6840.0,-114.0
-113.0,0.12317778066493291,1008.0,-406800.0,-6780.0,-113.0
-112.0,0.08861328564843439,1009.0,-403200.0,-6720.0,-112.0
-111.0,0.04876757571876724,1010.0,-399600.0,-6660.0,-111.0
-110.0,0.012004344485709549,1011.0,-396000.0,-6600.0,-110.0
-109.0,-0.015549168672219796,1012.0,-392400.0,-6540.0,-109.0
-108.0,-0.04530744254274281,1013.0,-388800.0,-6480.0,-108.0
-107.0,-0.060253610591280406,1014.0,-385200.0,-6420.0,-107.0
-106.0,-0.047452245594059334,1015.0,-381600.0,-6360.0,-106.0
-105.0,-0.026063495226010848,1016.0,-378000.0,-6300.0,-105.0
-104.0,0.005776108724597673,1017.0,-374400.0,-6240.0,-104.0
-103.0,0.043580146989887554,1018.0,-370800.0,-6180.0,-103.0
-102.0,0.06958384360748644,1019.0,-367200.0,-6120.0,-102.0
-101.0,0.07836483718845169,1020.0,-363600.0,-6060.0,-101.0
-100.0,0.07314077022938395,1021.0,-360000.0,-6000.0,-100.0
-99.0,0.04726985275373504,1022.0,-356400.0,-5940.0,-99.0
-98.0,0.035946468710434956,1023.0,-352800.0,-5880.0,-98.0
-97.0,0.03474737800691162,1024.0,-349200.0,-5820.0,-97.0
-96.0,0.03518671419861241,1025.0,-345600.0,-5760.0,-96.0
-95.0,0.043031359957831784,1026.0,-342000.0,-5700.0,-95.0
-94.0,0.05402811572102131,1027.0,-338400.0,-5640.0,-94.0
-93.0,0.06467739219184425,1028.0,-334800.0,-5580.0,-93.0
-92.0,0.09295518773096494,1029.0,-331200.0,-5520.0,-92.0
-91.0,0.12360445276396423,1030.0,-327600.0,-5460.0,-91.0
-90.0,0.1492688543789827,1031.0,-324000.0,-5400.0,-90.0
-89.0,0.15338392678977394,1032.0,-320400.0,-5340.0,-89.0
-88.0,0.12778358933411363,1033.0,-316800.0,-5280.0,-88.0
-87.0,0.09240051043363123,1034.0,-313200.0,-5220.0,-87.0
