lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.024914764649130602,948.0,-604800.0,-10080.0,-168.0
-167.0,0.04107805673993652,949.0,-601200.0,-10020.0,-167.0
-166.0,0.05139672904540044,950.0,-597600.0,-9960.0,-166.0
-165.0,0.055355803793152296,950.0,-594000.0,-9900.0,-165.0
-164.0,0.06812557030315002,951.0,-590400.0,-9840.0,-164.0
-163.0,0.08713276949253802,952.0,-586800.0,-9780.0,-163.0
-162.0,0.11217940254689021,953.0,-583200.0,-9720.0,-162.0
-161.0,0.12783069065999061,954.0,-579600.0,-9660.0,-161.0
-160.0,0.11984122010813468,955.0,-576000.0,-9600.0,-160.0
-159.0,0.10137164056766629,956.0,-572400.0,-9540.0,-159.0
-158.0,0.08700767637324534,957.0,-568800.0,-9480.0,-158.0
-157.0,0.07312549797899195,958.0,-565200.0,-9420.0,-157.0
-156.0,0.05949930459478701,959.0,-561600.0,-9360.0,-156.0
-155.0,0.04548304736750084,960.0,-558000.0,-9300.0,-155.0
-154.0,0.04742810120613287,961.0,-554400.0,-9240.0,-154.0
-153.0,0.05469938306167197,962.0,-550800.0,-9180.0,-153.0
-152.0,0.0699405672984718,963.0,-547200.0,-9120.0,-152.0
-151.0,0.08980990449437791,964.0,-543600.0,-9060.0,-151.0
-150.0,0.10438176624599636,965.0,-540000.0,-9000.0,-150.0
-149.0,0.10792217151280643,966.0,-536400.0,-8940.0,-149.0
-148.0,0.11065244949805743,967.0,-532800.0,-8880.0,-148.0
-147.0,0.1158431265712245,968.0,-529200.0,-8820.0,-147.0
-146.0,0.11651119490529421,969.0,-525600.0,-8760.0,-146.0
-145.0,0.12173014172904237,970.0,-522000.0,-8700.0,-145.0
-144.0,0.12946984345915188,971.0,-518400.0,-8640.0,-144.0
-143.0,0.1414066815510421,972.0,-514800.0,-8580.0,-143.0
-142.0,0.14646395224427428,973.0,-511200.0,-8520.0,-142.0
-141.0,0.15448243032274964,974.0,-507600.0,-8460.0,-141.0
-140.0,0.1682245052541406,975.0,-504000.0,-8400.0,-140.0
-139.0,0.1907562640047331,976.0,-500400.0,-8340.0,-139.0
-138.0,0.2153263882780591,977.0,-496800.0,-8280.0,-138.0
-137.0,0.23120436414990286,978.0,-493200.0,-8220.0,-137.0
-136.0,0.22402232253770066,979.0,-489600.0,-8160.0,-136.0
-135.0,0.2133642783949667,980.0,-486000.0,-8100.0,-135.0
-134.0,0.19765561705194834,981.0,-482400.0,-8040.0,-134.0
-133.0,0.18611395341091383,982.0,-478800.0,-7980.0,-133.0
-132.0,0.1736542992759663,983.0,-475200.0,-7920.0,-132.0
-131.0,0.15977277587051542,984.0,-471600.0,-7860.0,-131.0
-130.0,0.15619900963026156,985.0,-468000.0,-7800.0,-130.0
-129.0,0.15668182791191063,986.0,-464400.0,-7740.0,-129.0
-128.0,0.1677188426410151,987.0,-460800.0,-7680.0,-128.0
-127.0,0.18676723620589683,988.0,-457200.0,-7620.0,-127.0
-126.0,0.20137084881111272,989.0,-453600.0,-7560.0,-126.0
-125.0,0.20214856112440094,990.0,-450000.0,-7500.0,-125.0
-124.0,0.20042750697100778,991.0,-446400.0,-7440.0,-124.0
-123.0,0.19973427938974445,992.0,-442800.0,-7380.0,-123.0
-122.0,0.2004448297473328,993.0,-439200.0,-7320.0,-122.0
-121.0,0.2022376418924709,994.0,-435600.0,-7260.0,-121.0
-120.0,0.20661894908640255,995.0,-432000.0,-7200.0,-120.0
-119.0,0.2125661439160458,996.0,-428400.0,-7140.0,-119.0
-118.0,0.21788810764350441,997.0,-424800.0,-7080.0,-118.0
-117.0,0.2223208027113652,998.0,-421200.0,-7020.0,-117.0
-116.0,0.23443377467357415,999.0,-417600.0,-6960.0,-116.0
-115.0,0.25003558816606963,1000.0,-414000.0,-6900.0,-115.0
-114.0,0.2724815228856459,1001.0,-410400.0,-6840.0,-114.0
-113.0,0.281577060290006,1002.0,-406800.0,-6780.0,-113.0
-112.0,0.2762181101053185,1003.0,-403200.0,-6720.0,-112.0
-111.0,0.26380874235355467,1004.0,-399600.0,-6660.0,-111.0
-110.0,0.25061558193966693,1005.0,-396000.0,-6600.0,-110.0
-109.0,0.2381666836703371,1006.0,-392400.0,-6540.0,-109.0
-108.0,0.22562044971444184,1007.0,-388800.0,-6480.0,-108.0
-107.0,0.21262247503169002,1008.0,-385200.0,-6420.0,-107.0
-106.0,0.20506418193064757,1009.0,-381600.0,-6360.0,-106.0
-105.0,0.2064353363562403,1010.0,-378000.0,-6300.0,-105.0
-104.0,0.21666072444890216,1011.0,-374400.0,-6240.0,-104.0
-103.0,0.22887444272456012,1012.0,-370800.0,-6180.0,-103.0
-102.0,0.23849044915139767,1013.0,-367200.0,-6120.0,-102.0
-101.0,0.2404180899245127,1014.0,-363600.0,-6060.0,-101.0
-100.0,0.24212421478082444,1015.0,-360000.0,-6000.0,-100.0
-99.0,0.24517847709710486,1016.0,-356400.0,-5940.0,-99.0
-98.0,0.24520180845824963,1017.0,-352800.0,-5880.0,-98.0
-97.0,0.24983690714190715,1018.0,-349200.0,-5820.0,-97.0
-96.0,0.2546597160501277,1019.0,-345600.0,-5760.0,-96.0
-95.0,0.2601738418126912,1020.0,-342000.0,-5700.0,-95.0
-94.0,0.262883933059324,1021.0,-338400.0,-5640.0,-94.0
-93.0,0.2671183372027317,1022.0,-334800.0,-5580.0,-93.0
-92.0,0.27693686912914517,1023.0,-331200.0,-5520.0,-92.0
-91.0,0.29407507063549315,1024.0,-327600.0,-5460.0,-91.0
-90.0,0.31402631121526214,1025.0,-324000.0,-5400.0,-90.0
-89.0,0.322217018077896,1026.0,-320400.0,-5340.0,-89.0
-88.0,0.3193035426718336,1027.0,-316800.0,-5280.0,-88.0
-87.0,0.3090256418311859,1028.0,-313200.0,-5220.0,-87.0
-86.0,0.2992089292369888,1029.0,-309600.0,-5160.0,-86.0
-85.0,0.2899100954523724,1030.0,-306000.0,-5100.0,-85.0
-84.0,0.2788969342687972,1031.0,-302400.0,-5040.0,-84.0
-83.0,0.2710480204519909,1032.0,-298800.0,-4980.0,-83.0
-82.0,0.26688421704318976,1033.0,-295200.0,-4920.0,-82.0
-81.0,0.27149529437171854,1034.0,-291600.0,-4860.0,-81.0
-80.0,0.28295567241582037,1035.0,-288000.0,-4800.0,-80.0
-79.0,0.2950544227653413,1036.0,-284400.0,-4740.0,-79.0
-78.0,0.3045252901346893,1037.0,-280800.0,-4680.0,-78.0
-77.0,0.30545181066103977,1038.0,-277200.0,-4620.0,-77.0
-76.0,0.30594208407135376,1039.0,-273600.0,-4560.0,-76.0
-75.0,0.30345795055110053,1040.0,-270000.0,-4500.0,-75.0
-74.0,0.30349150075296355,1041.0,-266400.0,-4440.0,-74.0
-73.0,0.30928058185838686,1042.0,-262800.0,-4380.0,-73.0
-72.0,0.31200278922355945,1043.0,-259200.0,-4320.0,-72.0
-71.0,0.3191908075141473,1044.0,-255600.0,-4260.0,-71.0
-70.0,0.3239936894830056,1045.0,-252000.0,-4200.0,-70.0
-69.0,0.32812309884168755,1046.0,-248400.0,-4140.0,-69.0
-68.0,0.33591206248975847,1047.0,-244800.0,-4080.0,-68.0
-67.0,0.349310847845928,1048.0,-241200.0,-4020.0,-67.0
-66.0,0.3701339972761609,1049.0,-237600.0,-3960.0,-66.0
-65.0,0.38003594625668025,1050.0,-234000.0,-3900.0,-65.0
-64.0,0.3773590198651752,1051.0,-230400.0,-3840.0,-64.0
-63.0,0.3694061517294497,1052.0,-226800.0,-3780.0,-63.0
-62.0,0.3591773725297387,1053.0,-223200.0,-3720.0,-62.0
-61.0,0.34749771433476334,1054.0,-219600.0,-3660.0,-61.0
-60.0,0.3386947860459558,1055.0,-216000.0,-3600.0,-60.0
-59.0,0.33223783903561876,1056.0,-212400.0,-3540.0,-59.0
-58.0,0.3339479895990594,1057.0,-208800.0,-3480.0,-58.0
-57.0,0.33890567191458953,1058.0,-205200.0,-3420.0,-57.0
-56.0,0.3457997350947289,1059.0,-201600.0,-3360.0,-56.0
-55.0,0.35583102239866354,1060.0,-198000.0,-3300.0,-55.0
-54.0,0.36207059377624873,1061.0,-194400.0,-3240.0,-54.0
-53.0,0.36238248317033733,1062.0,-190800.0,-3180.0,-53.0
-52.0,0.360084421397476,1063.0,-187200.0,-3120.0,-52.0
-51.0,0.3578333540772917,1064.0,-183600.0,-3060.0,-51.0
-50.0,0.3562957553596025,1065.0,-180000.0,-3000.0,-50.0
-49.0,0.3566030918065166,1066.0,-176400.0,-2940.0,-49.0
-48.0,0.3607538420851444,1067.0,-172800.0,-2880.0,-48.0
-47.0,0.3669126265820021,1068.0,-169200.0,-2820.0,-47.0
-46.0,0.37251043234434295,1069.0,-165600.0,-2760.0,-46.0
-45.0,0.37527684900329894,1070.0,-162000.0,-2700.0,-45.0
-44.0,0.38282328525433645,1071.0,-158400.0,-2640.0,-44.0
-43.0,0.3981207855411616,1072.0,-154800.0,-2580.0,-43.0
-42.0,0.4132482118044167,1073.0,-151200.0,-2520.0,-42.0
-41.0,0.42457396667541286,1074.0,-147600.0,-2460.0,-41.0
-40.0,0.42339503404055456,1075.0,-144000.0,-2400.0,-40.0
-39.0,0.41419361230234664,1076.0,-140400.0,-2340.0,-39.0
-38.0,0.4051951253609419,1077.0,-136800.0,-2280.0,-38.0
-37.0,0.3960816165127016,1078.0,-133200.0,-2220.0,-37.0
-36.0,0.38727986113768215,1079.0,-129600.0,-2160.0,-36.0
-35.0,0.3790613085419385,1080.0,-126000.0,-2100.0,-35.0
-34.0,0.37573447104693825,1081.0,-122400.0,-2040.0,-34.0
-33.0,0.3769477964677279,1082.0,-118800.0,-1980.0,-33.0
-32.0,0.3846985184058772,1083.0,-115200.0,-1920.0,-32.0
-31.0,0.39228070934360065,1084.0,-111600.0,-1860.0,-31.0
-30.0,0.3984472935542696,1085.0,-108000.0,-1800.0,-30.0
-29.0,0.4000312321247877,1086.0,-104400.0,-1740.0,-29.0
-28.0,0.40080699355983607,1087.0,-100800.0,-1680.0,-28.0
-27.0,0.40230240057119626,1088.0,-97200.0,-1620.0,-27.0
-26.0,0.4027341375294664,1089.0,-93600.0,-1560.0,-26.0
-25.0,0.4048498483818298,1090.0,-90000.0,-1500.0,-25.0
-24.0,0.40559707857494653,1091.0,-86400.0,-1440.0,-24.0
-23.0,0.4102808503632333,1092.0,-82800.0,-1380.0,-23.0
-22.0,0.41501020642374026,1093.0,-79200.0,-1320.0,-22.0
-21.0,0.42009713907570884,1094.0,-75600.0,-1260.0,-21.0
-20.0,0.4272361852989395,1095.0,-72000.0,-1200.0,-20.0
-19.0,0.4399743473802254,1096.0,-68400.0,-1140.0,-19.0
-18.0,0.4583434935002878,1097.0,-64800.0,-1080.0,-18.0
-17.0,0.46762394737045904,1098.0,-61200.0,-1020.0,-17.0
-16.0,0.46596189601157145,1099.0,-57600.0,-960.0,-16.0
-15.0,0.4565771241166637,1100.0,-54000.0,-900.0,-15.0
-14.0,0.44745748960442505,1102.0,-50400.0,-840.0,-14.0
-13.0,0.43883830961958026,1104.0,-46800.0,-780.0,-13.0
-12.0,0.45466463110391697,1106.0,-43200.0,-720.0,-12.0
-11.0,0.44492913271201484,1108.0,-39600.0,-660.0,-11.0
-10.0,0.43730541509515475,1110.0,-36000.0,-600.0,-10.0
-9.0,0.4200454417849867,1112.0,-32400.0,-540.0,-9.0
-8.0,0.4240184457049858,1114.0,-28800.0,-480.0,-8.0
-7.0,0.4346096314363879,1116.0,-25200.0,-420.0,-7.0
-6.0,0.4406431449187571,1118.0,-21600.0,-360.0,-6.0
-5.0,0.442757149766511,1120.0,-18000.0,-300.0,-5.0
-4.0,0.44445875147615166,1122.0,-14400.0,-240.0,-4.0
-3.0,0.4443929675208816,1124.0,-10800.0,-180.0,-3.0
-2.0,0.44427074983295334,1127.0,-7200.0,-120.0,-2.0
-1.0,0.4440867358161932,1130.0,-3600.0,-60.0,-1.0
0.0,0.44656180384259303,1134.0,0.0,0.0,0.0
1.0,0.44864073540852034,1130.0,3600.0,60.0,1.0
2.0,0.4507676253029844,1127.0,7200.0,120.0,2.0
3.0,0.45512745551103,1124.0,10800.0,180.0,3.0
4.0,0.46392802708341646,1122.0,14400.0,240.0,4.0
5.0,0.47844762055071044,1120.0,18000.0,300.0,5.0
6.0,0.4886882598131191,1118.0,21600.0,360.0,6.0
7.0,0.49666390861460497,1116.0,25200.0,420.0,7.0
8.0,0.49443812052213326,1114.0,28800.0,480.0,8.0
9.0,0.482359645998029,1112.0,32400.0,540.0,9.0
10.0,0.47365665226951265,1110.0,36000.0,600.0,10.0
11.0,0.4640564350355012,1108.0,39600.0,660.0,11.0
12.0,0.45303161805775827,1106.0,43200.0,720.0,12.0
13.0,0.4459963211145858,1104.0,46800.0,780.0,13.0
14.0,0.44593153300644683,1102.0,50400.0,840.0,14.0
15.0,0.44704363787568335,1100.0,54000.0,900.0,15.0
16.0,0.4523859373739335,1099.0,57600.0,960.0,16.0
17.0,0.4594044585193268,1098.0,61200.0,1020.0,17.0
18.0,0.46413582605187415,1097.0,64800.0,1080.0,18.0
19.0,0.4638840069700739,1096.0,68400.0,1140.0,19.0
20.0,0.4620889843947756,1095.0,72000.0,1200.0,20.0
21.0,0.46013015362882353,1094.0,75600.0,1260.0,21.0
22.0,0.45810921461753723,1093.0,79200.0,1320.0,22.0
23.0,0.45637585677216846,1092.0,82800.0,1380.0,23.0
24.0,0.4565690170569181,1091.0,86400.0,1440.0,24.0
25.0,0.4617371861201579,1090.0,90000.0,1500.0,25.0
26.0,0.4637098912117731,1089.0,93600.0,1560.0,26.0
27.0,0.4689322375552421,1088.0,97200.0,1620.0,27.0
28.0,0.4767062702251546,1087.0,100800.0,1680.0,28.0
29.0,0.49037425828607245,1086.0,104400.0,1740.0,29.0
30.0,0.503658433419319,1085.0,108000.0,1800.0,30.0
31.0,0.512972572187047,1084.0,111600.0,1860.0,31.0
32.0,0.5109178516580226,1083.0,115200.0,1920.0,32.0
33.0,0.5012621845555543,1082.0,118800.0,1980.0,33.0
34.0,0.49037850259556764,1081.0,122400.0,2040.0,34.0
35.0,0.47592821129323554,1080.0,126000.0,2100.0,35.0
36.0,0.46824672506452225,1079.0,129600.0,2160.0,36.0
37.0,0.4629598386997477,1078.0,133200.0,2220.0,37.0
38.0,0.46223906756721284,1077.0,136800.0,2280.0,38.0
39.0,0.46531484439413756,1076.0,140400.0,2340.0,39.0
40.0,0.4689583301707429,1075.0,144000.0,2400.0,40.0
