lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.3063918141187392,961.0,-604800.0,-10080.0,-168.0
-167.0,0.3225132565486353,962.0,-601200.0,-10020.0,-167.0
-166.0,0.3341905425968415,963.0,-597600.0,-9960.0,-166.0
-165.0,0.3593402398118673,964.0,-594000.0,-9900.0,-165.0
-164.0,0.392303731243557,965.0,-590400.0,-9840.0,-164.0
-163.0,0.43632679685206777,966.0,-586800.0,-9780.0,-163.0
-162.0,0.47083269656127325,967.0,-583200.0,-9720.0,-162.0
-161.0,0.49313204657165116,968.0,-579600.0,-9660.0,-161.0
-160.0,0.48230590168351384,969.0,-576000.0,-9600.0,-160.0
-159.0,0.4454899701558773,970.0,-572400.0,-9540.0,-159.0
-158.0,0.41507100143487824,971.0,-568800.0,-9480.0,-158.0
-157.0,0.39919537308155967,972.0,-565200.0,-9420.0,-157.0
-156.0,0.37247637949635415,973.0,-561600.0,-9360.0,-156.0
-155.0,0.3504953401624206,974.0,-558000.0,-9300.0,-155.0
-154.0,0.3510954698281095,975.0,-554400.0,-9240.0,-154.0
-153.0,0.368598031892739,976.0,-550800.0,-9180.0,-153.0
-152.0,0.38479155985109403,977.0,-547200.0,-9120.0,-152.0
-151.0,0.4103550136372403,978.0,-543600.0,-9060.0,-151.0
-150.0,0.43293959637454393,979.0,-540000.0,-9000.0,-150.0
-149.0,0.442387802634772,980.0,-536400.0,-8940.0,-149.0
-148.0,0.44260630390458544,981.0,-532800.0,-8880.0,-148.0
-147.0,0.4304364456632464,982.0,-529200.0,-8820.0,-147.0
-146.0,0.41502520990054503,983.0,-525600.0,-8760.0,-146.0
-145.0,0.40316252348125253,984.0,-522000.0,-8700.0,-145.0
-144.0,0.40819481870842655,985.0,-518400.0,-8640.0,-144.0
-143.0,0.4118013861142596,986.0,-514800.0,-8580.0,-143.0
-142.0,0.41981605195779453,987.0,-511200.0,-8520.0,-142.0
-141.0,0.4425386765154699,988.0,-507600.0,-8460.0,-141.0
-140.0,0.4670115836619855,989.0,-504000.0,-8400.0,-140.0
-139.0,0.48983932327287033,990.0,-500400.0,-8340.0,-139.0
-138.0,0.5214079545758823,991.0,-496800.0,-8280.0,-138.0
-137.0,0.5436630415689306,992.0,-493200.0,-8220.0,-137.0
-136.0,0.5281773229139383,993.0,-489600.0,-8160.0,-136.0
-135.0,0.4914915268773437,994.0,-486000.0,-8100.0,-135.0
-134.0,0.4657031751094794,995.0,-482400.0,-8040.0,-134.0
-133.0,0.43634056160188556,996.0,-478800.0,-7980.0,-133.0
-132.0,0.4149943334028747,997.0,-475200.0,-7920.0,-132.0
-131.0,0.3922425662000529,998.0,-471600.0,-7860.0,-131.0
-130.0,0.3883406016843164,999.0,-468000.0,-7800.0,-130.0
-129.0,0.3930805354987193,1000.0,-464400.0,-7740.0,-129.0
-128.0,0.40934599399716926,1001.0,-460800.0,-7680.0,-128.0
-127.0,0.4295897689874937,1002.0,-457200.0,-7620.0,-127.0
-126.0,0.4478339801428819,1003.0,-453600.0,-7560.0,-126.0
-125.0,0.4566146797444746,1004.0,-450000.0,-7500.0,-125.0
-124.0,0.45140938383800044,1005.0,-446400.0,-7440.0,-124.0
-123.0,0.4452380990363212,1006.0,-442800.0,-7380.0,-123.0
-122.0,0.4280517449116446,1007.0,-439200.0,-7320.0,-122.0
-121.0,0.41608224092955304,1008.0,-435600.0,-7260.0,-121.0
-120.0,0.4193969266822877,1009.0,-432000.0,-7200.0,-120.0
-119.0,0.42087289652751764,1010.0,-428400.0,-7140.0,-119.0
-118.0,0.4275195765562089,1011.0,-424800.0,-7080.0,-118.0
-117.0,0.43675894703345464,1012.0,-421200.0,-7020.0,-117.0
-116.0,0.4547662708023866,1013.0,-417600.0,-6960.0,-116.0
-115.0,0.48615743337697404,1014.0,-414000.0,-6900.0,-115.0
-114.0,0.5078292130468173,1015.0,-410400.0,-6840.0,-114.0
-113.0,0.5183751561438416,1016.0,-406800.0,-6780.0,-113.0
-112.0,0.5004251589937432,1017.0,-403200.0,-6720.0,-112.0
-111.0,0.4723581878558964,1018.0,-399600.0,-6660.0,-111.0
-110.0,0.44578212252028715,1019.0,-396000.0,-6600.0,-110.0
-109.0,0.41559574037329067,1020.0,-392400.0,-6540.0,-109.0
-108.0,0.40001601575256823,1021.0,-388800.0,-6480.0,-108.0
-107.0,0.37790449143134475,1022.0,-385200.0,-6420.0,-107.0
-106.0,0.3699602159189985,1023.0,-381600.0,-6360.0,-106.0
-105.0,0.37498348041319796,1024.0,-378000.0,-6300.0,-105.0
-104.0,0.38565170193332926,1025.0,-374400.0,-6240.0,-104.0
-103.0,0.40205140447627913,1026.0,-370800.0,-6180.0,-103.0
-102.0,0.40894367263255127,1027.0,-367200.0,-6120.0,-102.0
-101.0,0.4187537721014894,1028.0,-363600.0,-6060.0,-101.0
-100.0,0.4186039461845742,1029.0,-360000.0,-6000.0,-100.0
-99.0,0.41143741742937334,1030.0,-356400.0,-5940.0,-99.0
-98.0,0.3944862099962829,1031.0,-352800.0,-5880.0,-98.0
-97.0,0.39100878619139107,1032.0,-349200.0,-5820.0,-97.0
-96.0,0.38777105304303705,1033.0,-345600.0,-5760.0,-96.0
-95.0,0.39316086866844296,1034.0,-342000.0,-5700.0,-95.0
-94.0,0.3964308102946041,1035.0,-338400.0,-5640.0,-94.0
-93.0,0.39904400195636774,1036.0,-334800.0,-5580.0,-93.0
-92.0,0.4135469865130214,1037.0,-331200.0,-5520.0,-92.0
-91.0,0.43652643917543027,1038.0,-327600.0,-5460.0,-91.0
-90.0,0.4635801822104256,1039.0,-324000.0,-5400.0,-90.0
-89.0,0.46874210003821265,1040.0,-320400.0,-5340.0,-89.0
-88.0,0.4579037687300044,1041.0,-316800.0,-5280.0,-88.0
-87.0,0.43319014361648067,1042.0,-313200.0,-5220.0,-87.0
-86.0,0.4092088443107676,1043.0,-309600.0,-5160.0,-86.0
-85.0,0.3795056803712481,1044.0,-306000.0,-5100.0,-85.0
-84.0,0.3591382752304152,1045.0,-302400.0,-5040.0,-84.0
-83.0,0.3449634680781126,1046.0,-298800.0,-4980.0,-83.0
-82.0,0.3368002992066276,1047.0,-295200.0,-4920.0,-82.0
-81.0,0.34087560364368363,1048.0,-291600.0,-4860.0,-81.0
-80.0,0.3504179527840904,1049.0,-288000.0,-4800.0,-80.0
-79.0,0.36894423861309544,1050.0,-284400.0,-4740.0,-79.0
-78.0,0.3791650703578348,1051.0,-280800.0,-4680.0,-78.0
