lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.13291489102579868,961.0,-604800.0,-10080.0,-168.0
-167.0,0.14953768963886974,962.0,-601200.0,-10020.0,-167.0
-166.0,0.16138062807224215,963.0,-597600.0,-9960.0,-166.0
-165.0,0.17276507553082696,964.0,-594000.0,-9900.0,-165.0
-164.0,0.17562560415661246,965.0,-590400.0,-9840.0,-164.0
-163.0,0.1884172776876081,966.0,-586800.0,-9780.0,-163.0
-162.0,0.20712304800556164,967.0,-583200.0,-9720.0,-162.0
-161.0,0.2007317926343326,968.0,-579600.0,-9660.0,-161.0
-160.0,0.20414975775594452,969.0,-576000.0,-9600.0,-160.0
-159.0,0.18662671867920555,970.0,-572400.0,-9540.0,-159.0
-158.0,0.18468674624477888,971.0,-568800.0,-9480.0,-158.0
-157.0,0.19208495844182022,972.0,-565200.0,-9420.0,-157.0
-156.0,0.19329840262278813,973.0,-561600.0,-9360.0,-156.0
-155.0,0.1993612293497627,974.0,-558000.0,-9300.0,-155.0
-154.0,0.21336231914715628,975.0,-554400.0,-9240.0,-154.0
-153.0,0.2196269559511331,976.0,-550800.0,-9180.0,-153.0
-152.0,0.2252029964416191,977.0,-547200.0,-9120.0,-152.0
-151.0,0.229427784975575,978.0,-543600.0,-9060.0,-151.0
-150.0,0.24674003149401394,979.0,-540000.0,-9000.0,-150.0
-149.0,0.24623838026064804,980.0,-536400.0,-8940.0,-149.0
-148.0,0.24216638282438707,981.0,-532800.0,-8880.0,-148.0
-147.0,0.24853609263551873,982.0,-529200.0,-8820.0,-147.0
-146.0,0.26709242808606526,983.0,-525600.0,-8760.0,-146.0
-145.0,0.2695773764465442,984.0,-522000.0,-8700.0,-145.0
-144.0,0.2740988780766736,985.0,-518400.0,-8640.0,-144.0
-143.0,0.29768689512305774,986.0,-514800.0,-8580.0,-143.0
-142.0,0.3019304403363946,987.0,-511200.0,-8520.0,-142.0
-141.0,0.3123823637556029,988.0,-507600.0,-8460.0,-141.0
-140.0,0.3182769358652273,989.0,-504000.0,-8400.0,-140.0
-139.0,0.33298238484297193,990.0,-500400.0,-8340.0,-139.0
-138.0,0.3503492674039114,991.0,-496800.0,-8280.0,-138.0
-137.0,0.3451283090042281,992.0,-493200.0,-8220.0,-137.0
-136.0,0.33970159886625007,993.0,-489600.0,-8160.0,-136.0
-135.0,0.33345174113021897,994.0,-486000.0,-8100.0,-135.0
-134.0,0.3423511535050931,995.0,-482400.0,-8040.0,-134.0
-133.0,0.33631647540622195,996.0,-478800.0,-7980.0,-133.0
-132.0,0.3437114215870207,997.0,-475200.0,-7920.0,-132.0
-131.0,0.3544336778528718,998.0,-471600.0,-7860.0,-131.0
-130.0,0.3604910908674245,999.0,-468000.0,-7800.0,-130.0
-129.0,0.37169693486722577,1000.0,-464400.0,-7740.0,-129.0
-128.0,0.3651713165398291,1001.0,-460800.0,-7680.0,-128.0
-127.0,0.3703552365578659,1002.0,-457200.0,-7620.0,-127.0
-126.0,0.378309568593219,1003.0,-453600.0,-7560.0,-126.0
-125.0,0.3796140783595724,1004.0,-450000.0,-7500.0,-125.0
-124.0,0.381410483233977,1005.0,-446400.0,-7440.0,-124.0
-123.0,0.3852060385718449,1006.0,-442800.0,-7380.0,-123.0
-122.0,0.3886393996989771,1007.0,-439200.0,-7320.0,-122.0
-121.0,0.3928741899863754,1008.0,-435600.0,-7260.0,-121.0
-120.0,0.3935074588308728,1009.0,-432000.0,-7200.0,-120.0
-119.0,0.4065246076667703,1010.0,-428400.0,-7140.0,-119.0
-118.0,0.4122790912989146,1011.0,-424800.0,-7080.0,-118.0
-117.0,0.4148296822235903,1012.0,-421200.0,-7020.0,-117.0
-116.0,0.42406455534965026,1013.0,-417600.0,-6960.0,-116.0
-115.0,0.4403474159524523,1014.0,-414000.0,-6900.0,-115.0
