lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.14828604995891337,961.0,-604800.0,-10080.0,-168.0
-167.0,0.12500154271033334,962.0,-601200.0,-10020.0,-167.0
-166.0,0.10546477846439468,963.0,-597600.0,-9960.0,-166.0
-165.0,0.08535270443782832,964.0,-594000.0,-9900.0,-165.0
-164.0,0.06149187436067581,965.0,-590400.0,-9840.0,-164.0
-163.0,0.05046013546418779,966.0,-586800.0,-9780.0,-163.0
-162.0,0.040499743941372776,967.0,-583200.0,-9720.0,-162.0
-161.0,0.054467414071429195,968.0,-579600.0,-9660.0,-161.0
-160.0,0.03726019365127545,969.0,-576000.0,-9600.0,-160.0
-159.0,0.024067080456494302,970.0,-572400.0,-9540.0,-159.0
-158.0,0.012922040170022919,971.0,-568800.0,-9480.0,-158.0
-157.0,0.010286843561281645,972.0,-565200.0,-9420.0,-157.0
-156.0,0.006117519569924333,973.0,-561600.0,-9360.0,-156.0
-155.0,0.003915717247607011,974.0,-558000.0,-9300.0,-155.0
-154.0,0.01899220938243057,975.0,-554400.0,-9240.0,-154.0
-153.0,0.011688745863786591,976.0,-550800.0,-9180.0,-153.0
-152.0,0.013026109632063998,977.0,-547200.0,-9120.0,-152.0
-151.0,0.012433617476757931,978.0,-543600.0,-9060.0,-151.0
-150.0,0.012913686501742854,979.0,-540000.0,-9000.0,-150.0
-149.0,0.0023264224374563154,980.0,-536400.0,-8940.0,-149.0
-148.0,0.00655219193881733,981.0,-532800.0,-8880.0,-148.0
-147.0,0.011973685450260618,982.0,-529200.0,-8820.0,-147.0
-146.0,0.03865903410308674,983.0,-525600.0,-8760.0,-146.0
-145.0,0.04228012824149985,984.0,-522000.0,-8700.0,-145.0
-144.0,0.05206163231945316,985.0,-518400.0,-8640.0,-144.0
-143.0,0.031875204105422134,986.0,-514800.0,-8580.0,-143.0
-142.0,0.00990963882652214,987.0,-511200.0,-8520.0,-142.0
-141.0,-0.00837789758877886,988.0,-507600.0,-8460.0,-141.0
-140.0,-0.027024836629309042,989.0,-504000.0,-8400.0,-140.0
-139.0,-0.0388154232450235,990.0,-500400.0,-8340.0,-139.0
-138.0,-0.04916624182237384,991.0,-496800.0,-8280.0,-138.0
-137.0,-0.0405270576913722,992.0,-493200.0,-8220.0,-137.0
-136.0,-0.05601193990319454,993.0,-489600.0,-8160.0,-136.0
-135.0,-0.06710323954520941,994.0,-486000.0,-8100.0,-135.0
-134.0,-0.07584732396388019,995.0,-482400.0,-8040.0,-134.0
-133.0,-0.07813605512835356,996.0,-478800.0,-7980.0,-133.0
-132.0,-0.08519013446395736,997.0,-475200.0,-7920.0,-132.0
-131.0,-0.08680717432387232,998.0,-471600.0,-7860.0,-131.0
-130.0,-0.07229823085038813,999.0,-468000.0,-7800.0,-130.0
-129.0,-0.08010790007579137,1000.0,-464400.0,-7740.0,-129.0
-128.0,-0.08154984396908437,1001.0,-460800.0,-7680.0,-128.0
-127.0,-0.08362303466438219,1002.0,-457200.0,-7620.0,-127.0
-126.0,-0.08226068930633236,1003.0,-453600.0,-7560.0,-126.0
-125.0,-0.08039648484132017,1004.0,-450000.0,-7500.0,-125.0
-124.0,-0.07780574610955152,1005.0,-446400.0,-7440.0,-124.0
-123.0,-0.07095816854290055,1006.0,-442800.0,-7380.0,-123.0
-122.0,-0.050755584599099415,1007.0,-439200.0,-7320.0,-122.0
-121.0,-0.04280087830647208,1008.0,-435600.0,-7260.0,-121.0
-120.0,-0.03495314246566467,1009.0,-432000.0,-7200.0,-120.0
-119.0,-0.052002349443371516,1010.0,-428400.0,-7140.0,-119.0
-118.0,-0.06764360190804965,1011.0,-424800.0,-7080.0,-118.0
-117.0,-0.07976625625107672,1012.0,-421200.0,-7020.0,-117.0
-116.0,-0.0963660089377792,1013.0,-417600.0,-6960.0,-116.0
-115.0,-0.10666669140055021,1014.0,-414000.0,-6900.0,-115.0
-114.0,-0.11190489963186159,1015.0,-410400.0,-6840.0,-114.0
-113.0,-0.09982615925933766,1016.0,-406800.0,-6780.0,-113.0
-112.0,-0.10623595969095835,1017.0,-403200.0,-6720.0,-112.0
-111.0,-0.11587782799254917,1018.0,-399600.0,-6660.0,-111.0
-110.0,-0.12331845602701606,1019.0,-396000.0,-6600.0,-110.0
-109.0,-0.12279188526668358,1020.0,-392400.0,-6540.0,-109.0
-108.0,-0.12329997940131932,1021.0,-388800.0,-6480.0,-108.0
-107.0,-0.12567884224236314,1022.0,-385200.0,-6420.0,-107.0
-106.0,-0.11209784727876627,1023.0,-381600.0,-6360.0,-106.0
-105.0,-0.11553044676411187,1024.0,-378000.0,-6300.0,-105.0
-104.0,-0.11540823212303902,1025.0,-374400.0,-6240.0,-104.0
-103.0,-0.12238628786947278,1026.0,-370800.0,-6180.0,-103.0
-102.0,-0.12482827896374393,1027.0,-367200.0,-6120.0,-102.0
-101.0,-0.12503535100244373,1028.0,-363600.0,-6060.0,-101.0
-100.0,-0.12130816919137023,1029.0,-360000.0,-6000.0,-100.0
-99.0,-0.11521867640130491,1030.0,-356400.0,-5940.0,-99.0
-98.0,-0.0925270394291767,1031.0,-352800.0,-5880.0,-98.0
-97.0,-0.08922767560526645,1032.0,-349200.0,-5820.0,-97.0
-96.0,-0.08608402060660161,1033.0,-345600.0,-5760.0,-96.0
-95.0,-0.10200124242268513,1034.0,-342000.0,-5700.0,-95.0
-94.0,-0.11803350006135539,1035.0,-338400.0,-5640.0,-94.0
-93.0,-0.13114891829351202,1036.0,-334800.0,-5580.0,-93.0
-92.0,-0.15199173247355438,1037.0,-331200.0,-5520.0,-92.0
-91.0,-0.16499344070944383,1038.0,-327600.0,-5460.0,-91.0
-90.0,-0.17279136287026114,1039.0,-324000.0,-5400.0,-90.0
-89.0,-0.17118555578785158,1040.0,-320400.0,-5340.0,-89.0
-88.0,-0.177037003339368,1041.0,-316800.0,-5280.0,-88.0
-87.0,-0.18966679737566877,1042.0,-313200.0,-5220.0,-87.0
-86.0,-0.1989069838247497,1043.0,-309600.0,-5160.0,-86.0
-85.0,-0.20165605683697857,1044.0,-306000.0,-5100.0,-85.0
-84.0,-0.20641666172786363,1045.0,-302400.0,-5040.0,-84.0
-83.0,-0.21202337747538144,1046.0,-298800.0,-4980.0,-83.0
-82.0,-0.20417005499904053,1047.0,-295200.0,-4920.0,-82.0
-81.0,-0.2082379466408592,1048.0,-291600.0,-4860.0,-81.0
-80.0,-0.21071280309160537,1049.0,-288000.0,-4800.0,-80.0
-79.0,-0.20871589270334057,1050.0,-284400.0,-4740.0,-79.0
-78.0,-0.211298431507883,1051.0,-280800.0,-4680.0,-78.0
-77.0,-0.21468086066265657,1052.0,-277200.0,-4620.0,-77.0
-76.0,-0.4346738945370981,1053.0,-273600.0,-4560.0,-76.0
-75.0,-0.20442856979491314,1054.0,-270000.0,-4500.0,-75.0
-74.0,-0.18374028186349078,1055.0,-266400.0,-4440.0,-74.0
-73.0,-0.1782110312580783,1056.0,-262800.0,-4380.0,-73.0
-72.0,-0.17436815852850898,1057.0,-259200.0,-4320.0,-72.0
-71.0,-0.1878005390514982,1058.0,-255600.0,-4260.0,-71.0
-70.0,-0.20417856566119802,1059.0,-252000.0,-4200.0,-70.0
-69.0,-0.21904233765409786,1060.0,-248400.0,-4140.0,-69.0
-68.0,-0.2321843226125568,1061.0,-244800.0,-4080.0,-68.0
