lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,0.05460040112362531,481.0,-604800.0,-10080.0,-168.0
-83.0,0.0713085235390446,482.0,-597600.0,-9960.0,-166.0
-82.0,0.07677291389557664,483.0,-590400.0,-9840.0,-164.0
-81.0,0.0963557905643655,484.0,-583200.0,-9720.0,-162.0
-80.0,0.09009501317799395,485.0,-576000.0,-9600.0,-160.0
-79.0,0.08854142172811602,486.0,-568800.0,-9480.0,-158.0
-78.0,0.09121584046975355,487.0,-561600.0,-9360.0,-156.0
-77.0,0.10241356901018536,488.0,-554400.0,-9240.0,-154.0
-76.0,0.11361851436862719,489.0,-547200.0,-9120.0,-152.0
-75.0,0.11794610147648468,490.0,-540000.0,-9000.0,-150.0
-74.0,0.12611246216130426,491.0,-532800.0,-8880.0,-148.0
-73.0,0.13626008470553322,492.0,-525600.0,-8760.0,-146.0
-72.0,0.145880976823797,493.0,-518400.0,-8640.0,-144.0
-71.0,0.15969177623989328,494.0,-511200.0,-8520.0,-142.0
-70.0,0.16813569143586124,495.0,-504000.0,-8400.0,-140.0
-69.0,0.18432200835217347,496.0,-496800.0,-8280.0,-138.0
-68.0,0.17840592423362706,497.0,-489600.0,-8160.0,-136.0
-67.0,0.17644740465730574,498.0,-482400.0,-8040.0,-134.0
-66.0,0.17706664012790227,499.0,-475200.0,-7920.0,-132.0
-65.0,0.18198279029985354,500.0,-468000.0,-7800.0,-130.0
-64.0,0.18983499419667957,501.0,-460800.0,-7680.0,-128.0
-63.0,0.20280113917282688,502.0,-453600.0,-7560.0,-126.0
-62.0,0.20806219718035998,503.0,-446400.0,-7440.0,-124.0
-61.0,0.2223926702603413,504.0,-439200.0,-7320.0,-122.0
-60.0,0.22627196703084698,505.0,-432000.0,-7200.0,-120.0
-59.0,0.23638900127912207,506.0,-424800.0,-7080.0,-118.0
-58.0,0.24784938424685402,507.0,-417600.0,-6960.0,-116.0
-57.0,0.26145074485693764,508.0,-410400.0,-6840.0,-114.0
-56.0,0.25643479307329137,509.0,-403200.0,-6720.0,-112.0
-55.0,0.25240727071176594,510.0,-396000.0,-6600.0,-110.0
-54.0,0.24855100636514108,511.0,-388800.0,-6480.0,-108.0
-53.0,0.25169181704050264,512.0,-381600.0,-6360.0,-106.0
-52.0,0.26986988871689893,513.0,-374400.0,-6240.0,-104.0
-51.0,0.27395256148465397,514.0,-367200.0,-6120.0,-102.0
-50.0,0.28213711700196,515.0,-360000.0,-6000.0,-100.0
-49.0,0.29017745795927996,516.0,-352800.0,-5880.0,-98.0
-48.0,0.2941338038412774,517.0,-345600.0,-5760.0,-96.0
-47.0,0.3010854645591208,518.0,-338400.0,-5640.0,-94.0
-46.0,0.30712024481318406,519.0,-331200.0,-5520.0,-92.0
-45.0,0.3161269727171513,520.0,-324000.0,-5400.0,-90.0
-44.0,0.3132234887905685,521.0,-316800.0,-5280.0,-88.0
-43.0,0.3059983935102121,522.0,-309600.0,-5160.0,-86.0
-42.0,0.30152963818583534,523.0,-302400.0,-5040.0,-84.0
-41.0,0.3105992660776057,524.0,-295200.0,-4920.0,-82.0
-40.0,0.3201523056663664,525.0,-288000.0,-4800.0,-80.0
-39.0,0.3265880621045088,526.0,-280800.0,-4680.0,-78.0
-38.0,0.33319921225002,527.0,-273600.0,-4560.0,-76.0
-37.0,0.33807020453317144,528.0,-266400.0,-4440.0,-74.0
-36.0,0.34384324003760924,529.0,-259200.0,-4320.0,-72.0
-35.0,0.35017189633516776,530.0,-252000.0,-4200.0,-70.0
-34.0,0.3559840337211273,531.0,-244800.0,-4080.0,-68.0
-33.0,0.36682525964460716,532.0,-237600.0,-3960.0,-66.0
-32.0,0.3601543838500087,533.0,-230400.0,-3840.0,-64.0
