lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,0.09750984390756808,481.0,-604800.0,-10080.0,-168.0
-83.0,0.06495676556968984,482.0,-597600.0,-9960.0,-166.0
-82.0,0.021524597193925625,483.0,-590400.0,-9840.0,-164.0
-81.0,0.0020114992598001652,484.0,-583200.0,-9720.0,-162.0
-80.0,0.008169067271822601,485.0,-576000.0,-9600.0,-160.0
-79.0,-0.012410604967717256,486.0,-568800.0,-9480.0,-158.0
-78.0,-0.014471344315785941,487.0,-561600.0,-9360.0,-156.0
-77.0,0.022854492901549738,488.0,-554400.0,-9240.0,-154.0
-76.0,0.014646461180721243,489.0,-547200.0,-9120.0,-152.0
-75.0,0.0017607401544246888,490.0,-540000.0,-9000.0,-150.0
-74.0,-0.0010353548148659504,491.0,-532800.0,-8880.0,-148.0
-73.0,0.033468248277150794,492.0,-525600.0,-8760.0,-146.0
-72.0,0.03755760588124581,493.0,-518400.0,-8640.0,-144.0
-71.0,0.004626322836021259,494.0,-511200.0,-8520.0,-142.0
-70.0,-0.028570241697168184,495.0,-504000.0,-8400.0,-140.0
-69.0,-0.04813868657254556,496.0,-496800.0,-8280.0,-138.0
-68.0,-0.04847522911383132,497.0,-489600.0,-8160.0,-136.0
-67.0,-0.0666585738100134,498.0,-482400.0,-8040.0,-134.0
-66.0,-0.074107836868584,499.0,-475200.0,-7920.0,-132.0
-65.0,-0.044649729019462014,500.0,-468000.0,-7800.0,-130.0
-64.0,-0.056372769730820275,501.0,-460800.0,-7680.0,-128.0
-63.0,-0.06028729848990078,502.0,-453600.0,-7560.0,-126.0
-62.0,-0.06143197023929648,503.0,-446400.0,-7440.0,-124.0
-61.0,-0.03277150712219914,504.0,-439200.0,-7320.0,-122.0
-60.0,-0.024597550250025402,505.0,-432000.0,-7200.0,-120.0
-59.0,-0.04905919474653007,506.0,-424800.0,-7080.0,-118.0
-58.0,-0.07734034986249574,507.0,-417600.0,-6960.0,-116.0
-57.0,-0.09161924896808481,508.0,-410400.0,-6840.0,-114.0
-56.0,-0.07877664201842607,509.0,-403200.0,-6720.0,-112.0
-55.0,-0.0989761036496544,510.0,-396000.0,-6600.0,-110.0
-54.0,-0.09741370805177411,511.0,-388800.0,-6480.0,-108.0
-53.0,-0.07270342788113486,512.0,-381600.0,-6360.0,-106.0
-52.0,-0.07471948968547773,513.0,-374400.0,-6240.0,-104.0
-51.0,-0.08747499945763954,514.0,-367200.0,-6120.0,-102.0
-50.0,-0.08694315452815497,515.0,-360000.0,-6000.0,-100.0
-49.0,-0.05242681425083327,516.0,-352800.0,-5880.0,-98.0
-48.0,-0.05494083922265876,517.0,-345600.0,-5760.0,-96.0
-47.0,-0.07949691548394469,518.0,-338400.0,-5640.0,-94.0
-46.0,-0.11273423322722267,519.0,-331200.0,-5520.0,-92.0
-45.0,-0.13207246626033414,520.0,-324000.0,-5400.0,-90.0
-44.0,-0.12851830489440338,521.0,-316800.0,-5280.0,-88.0
-43.0,-0.15212308055877188,522.0,-309600.0,-5160.0,-86.0
-42.0,-0.1552308142920745,523.0,-302400.0,-5040.0,-84.0
-41.0,-0.13677314323707643,524.0,-295200.0,-4920.0,-82.0
-40.0,-0.14449067281955907,525.0,-288000.0,-4800.0,-80.0
-39.0,-0.14645733382592355,526.0,-280800.0,-4680.0,-78.0
-38.0,-0.4821081831064087,527.0,-273600.0,-4560.0,-76.0
-37.0,-0.11990212352780202,528.0,-266400.0,-4440.0,-74.0
-36.0,-0.11873792822277061,529.0,-259200.0,-4320.0,-72.0
-35.0,-0.1438638761149941,530.0,-252000.0,-4200.0,-70.0
-34.0,-0.16956423459192047,531.0,-244800.0,-4080.0,-68.0
-33.0,-0.1958150320205373,532.0,-237600.0,-3960.0,-66.0
-32.0,-0.19887156174087736,533.0,-230400.0,-3840.0,-64.0
-31.0,-0.21952376518086272,534.0,-223200.0,-3720.0,-62.0
-30.0,-0.22499278143510035,535.0,-216000.0,-3600.0,-60.0
-29.0,-0.19864946503606123,536.0,-208800.0,-3480.0,-58.0
-28.0,-0.20871316218568722,537.0,-201600.0,-3360.0,-56.0
-27.0,-0.2082051512139721,538.0,-194400.0,-3240.0,-54.0
-26.0,-0.20877789152704476,539.0,-187200.0,-3120.0,-52.0
-25.0,-0.17345140211833382,540.0,-180000.0,-3000.0,-50.0
-24.0,-0.16466916697372622,541.0,-172800.0,-2880.0,-48.0
-23.0,-0.18772924379282954,542.0,-165600.0,-2760.0,-46.0
-22.0,-0.20796310635226525,543.0,-158400.0,-2640.0,-44.0
-21.0,-0.22875522282885363,544.0,-151200.0,-2520.0,-42.0
-20.0,-0.23033343881688442,545.0,-144000.0,-2400.0,-40.0
-19.0,-0.24026660828100715,546.0,-136800.0,-2280.0,-38.0
-18.0,-0.2448419605291929,547.0,-129600.0,-2160.0,-36.0
-17.0,-0.21259550506970995,548.0,-122400.0,-2040.0,-34.0
-16.0,-0.21942136744721077,549.0,-115200.0,-1920.0,-32.0
-15.0,-0.21770238252540908,550.0,-108000.0,-1800.0,-30.0
-14.0,-0.21461740507494095,551.0,-100800.0,-1680.0,-28.0
-13.0,-0.1790941657211911,552.0,-93600.0,-1560.0,-26.0
-12.0,-0.1683906303039732,553.0,-86400.0,-1440.0,-24.0
-11.0,-0.18895604722342932,554.0,-79200.0,-1320.0,-22.0
-10.0,-0.2092717128065356,555.0,-72000.0,-1200.0,-20.0
-9.0,-0.22513152557709684,556.0,-64800.0,-1080.0,-18.0
-8.0,-0.2220278482485775,557.0,-57600.0,-960.0,-16.0
-7.0,-0.2317258824996451,558.0,-50400.0,-840.0,-14.0
-6.0,-0.23503662550827448,559.0,-43200.0,-720.0,-12.0
-5.0,-0.20154647038768947,561.0,-36000.0,-600.0,-10.0
-4.0,-0.2054760495303522,563.0,-28800.0,-480.0,-8.0
-3.0,-0.2055768040285297,565.0,-21600.0,-360.0,-6.0
-2.0,-0.2021997518851548,567.0,-14400.0,-240.0,-4.0
-1.0,-0.1750126301630979,569.0,-7200.0,-120.0,-2.0
0.0,-0.16308420776567784,571.0,0.0,0.0,0.0
1.0,-0.19219988692843845,569.0,7200.0,120.0,2.0
2.0,-0.20727737100178042,567.0,14400.0,240.0,4.0
3.0,-0.22279065335204548,565.0,21600.0,360.0,6.0
4.0,-0.2252741415798838,563.0,28800.0,480.0,8.0
5.0,-0.23249115899830122,561.0,36000.0,600.0,10.0
6.0,-0.23656700893137508,559.0,43200.0,720.0,12.0
7.0,-0.20665958754694974,558.0,50400.0,840.0,14.0
8.0,-0.21467094760935096,557.0,57600.0,960.0,16.0
9.0,-0.21011161578068668,556.0,64800.0,1080.0,18.0
10.0,-0.20961194373924352,555.0,72000.0,1200.0,20.0
11.0,-0.18474486118752032,554.0,79200.0,1320.0,22.0
12.0,-0.17440058297841823,553.0,86400.0,1440.0,24.0
13.0,-0.20019392015634754,552.0,93600.0,1560.0,26.0
14.0,-0.21673948266450796,551.0,100800.0,1680.0,28.0
15.0,-0.23353651654177363,550.0,108000.0,1800.0,30.0
16.0,-0.2292084512467989,549.0,115200.0,1920.0,32.0
17.0,-0.24219644386816372,548.0,122400.0,2040.0,34.0
18.0,-0.24662258265045986,547.0,129600.0,2160.0,36.0
19.0,-0.21595048623619162,546.0,136800.0,2280.0,38.0
20.0,-0.2247215943606047,545.0,144000.0,2400.0,40.0
21.0,-0.2208992767377623,544.0,151200.0,2520.0,42.0
22.0,-0.21234900716174884,543.0,158400.0,2640.0,44.0
23.0,-0.18244532412342204,542.0,165600.0,2760.0,46.0
24.0,-0.16839927871979024,541.0,172800.0,2880.0,48.0
25.0,-0.19015705134504698,540.0,180000.0,3000.0,50.0
26.0,-0.21026671374027534,539.0,187200.0,3120.0,52.0
27.0,-0.21870783480682549,538.0,194400.0,3240.0,54.0
28.0,-0.2154665536324605,537.0,201600.0,3360.0,56.0
29.0,-0.21919472006098223,536.0,208800.0,3480.0,58.0
30.0,-0.22769494639026072,535.0,216000.0,3600.0,60.0
31.0,-0.19663808567949642,534.0,223200.0,3720.0,62.0
32.0,-0.20194740191702484,533.0,230400.0,3840.0,64.0
33.0,-0.2002902877389598,532.0,237600.0,3960.0,66.0
34.0,-0.18994349932202081,531.0,244800.0,4080.0,68.0
35.0,-0.16803370113320265,530.0,252000.0,4200.0,70.0
36.0,-0.1589810169927806,529.0,259200.0,4320.0,72.0
37.0,-0.17996312662278716,528.0,266400.0,4440.0,74.0
38.0,-0.20156076828821373,527.0,273600.0,4560.0,76.0
39.0,-0.21701406086440214,526.0,280800.0,4680.0,78.0
40.0,-0.21942895662849332,525.0,288000.0,4800.0,80.0
41.0,-0.22374625510946217,524.0,295200.0,4920.0,82.0
42.0,-0.2325938898553084,523.0,302400.0,5040.0,84.0
43.0,-0.2007532118432891,522.0,309600.0,5160.0,86.0
44.0,-0.19984062054243176,521.0,316800.0,5280.0,88.0
45.0,-0.20807003289423845,520.0,324000.0,5400.0,90.0
46.0,-0.2053587475745991,519.0,331200.0,5520.0,92.0
47.0,-0.18051263208320267,518.0,338400.0,5640.0,94.0
48.0,-0.1691142254894681,517.0,345600.0,5760.0,96.0
49.0,-0.19143174168162141,516.0,352800.0,5880.0,98.0
50.0,-0.21030077572986264,515.0,360000.0,6000.0,100.0
51.0,-0.22369685169789855,514.0,367200.0,6120.0,102.0
52.0,-0.2174972022848084,513.0,374400.0,6240.0,104.0
53.0,-0.21845159931702607,512.0,381600.0,6360.0,106.0
54.0,-0.2210738374449757,511.0,388800.0,6480.0,108.0
55.0,-0.19182890127708857,510.0,396000.0,6600.0,110.0
56.0,-0.19144301998497443,509.0,403200.0,6720.0,112.0
57.0,-0.1861437776071876,508.0,410400.0,6840.0,114.0
58.0,-0.17486073593797818,507.0,417600.0,6960.0,116.0
59.0,-0.14792174537549707,506.0,424800.0,7080.0,118.0
60.0,-0.13798038590935427,505.0,432000.0,7200.0,120.0
61.0,-0.15416701275408187,504.0,439200.0,7320.0,122.0
62.0,-0.17243737855931288,503.0,446400.0,7440.0,124.0
63.0,-0.16036937591585987,502.0,453600.0,7560.0,126.0
64.0,-0.15310885184205514,501.0,460800.0,7680.0,128.0
65.0,-0.15065848820033687,500.0,468000.0,7800.0,130.0
66.0,-0.14881761686553496,499.0,475200.0,7920.0,132.0
67.0,-0.13749804741311525,498.0,482400.0,8040.0,134.0
68.0,-0.14284011148711667,497.0,489600.0,8160.0,136.0
69.0,-0.1415649030569866,496.0,496800.0,8280.0,138.0
70.0,-0.129142205486153,495.0,504000.0,8400.0,140.0
71.0,-0.1067795213511672,494.0,511200.0,8520.0,142.0
72.0,-0.09813856629625363,493.0,518400.0,8640.0,144.0
73.0,-0.11767785409571745,492.0,525600.0,8760.0,146.0
74.0,-0.10603852856942043,491.0,532800.0,8880.0,148.0
75.0,-0.12037890612265897,490.0,540000.0,9000.0,150.0
76.0,-0.11317480970694373,489.0,547200.0,9120.0,152.0
77.0,-0.1166203656247339,488.0,554400.0,9240.0,154.0
78.0,-0.1165394312367244,487.0,561600.0,9360.0,156.0
79.0,-0.11009734362765676,486.0,568800.0,9480.0,158.0
80.0,-0.12105180240413986,485.0,576000.0,9600.0,160.0
81.0,-0.11979488350164133,484.0,583200.0,9720.0,162.0
82.0,-0.11245511720886275,483.0,590400.0,9840.0,164.0
83.0,-0.0905340109197702,482.0,597600.0,9960.0,166.0
84.0,-0.08553710853533873,481.0,604800.0,10080.0,168.0
