lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,-0.025670594057983786,481.0,-604800.0,-10080.0,-168.0
-83.0,0.023445847221126855,482.0,-597600.0,-9960.0,-166.0
-82.0,0.0482382495901366,483.0,-590400.0,-9840.0,-164.0
-81.0,0.12681452301794338,484.0,-583200.0,-9720.0,-162.0
-80.0,0.046726202164930036,485.0,-576000.0,-9600.0,-160.0
-79.0,-0.04769733624112909,486.0,-568800.0,-9480.0,-158.0
-78.0,-0.1148166655381998,487.0,-561600.0,-9360.0,-156.0
-77.0,-0.08347687319514817,488.0,-554400.0,-9240.0,-154.0
-76.0,-0.010551432407083219,489.0,-547200.0,-9120.0,-152.0
-75.0,0.04499916568427155,490.0,-540000.0,-9000.0,-150.0
-74.0,0.06230277975350953,491.0,-532800.0,-8880.0,-148.0
-73.0,-3.417984829894845e-06,492.0,-525600.0,-8760.0,-146.0
-72.0,-0.009055990988967425,493.0,-518400.0,-8640.0,-144.0
-71.0,0.025559218036561845,494.0,-511200.0,-8520.0,-142.0
-70.0,0.05426471843398334,495.0,-504000.0,-8400.0,-140.0
-69.0,0.11605194921301458,496.0,-496800.0,-8280.0,-138.0
-68.0,0.04932045763634306,497.0,-489600.0,-8160.0,-136.0
-67.0,-0.029400522788749543,498.0,-482400.0,-8040.0,-134.0
-66.0,-0.09417764019196682,499.0,-475200.0,-7920.0,-132.0
-65.0,-0.06985726923700135,500.0,-468000.0,-7800.0,-130.0
-64.0,-0.007248250045528196,501.0,-460800.0,-7680.0,-128.0
-63.0,0.06368906846239701,502.0,-453600.0,-7560.0,-126.0
-62.0,0.04409883035849498,503.0,-446400.0,-7440.0,-124.0
-61.0,0.004317683380548787,504.0,-439200.0,-7320.0,-122.0
-60.0,-0.003531829395603482,505.0,-432000.0,-7200.0,-120.0
-59.0,0.024342702144806622,506.0,-424800.0,-7080.0,-118.0
-58.0,0.05059061508290022,507.0,-417600.0,-6960.0,-116.0
-57.0,0.11871314199273217,508.0,-410400.0,-6840.0,-114.0
-56.0,0.05613894329907914,509.0,-403200.0,-6720.0,-112.0
-55.0,-0.01812087061106147,510.0,-396000.0,-6600.0,-110.0
-54.0,-0.07045213966169364,511.0,-388800.0,-6480.0,-108.0
-53.0,-0.040702927753006796,512.0,-381600.0,-6360.0,-106.0
-52.0,0.017593734439801164,513.0,-374400.0,-6240.0,-104.0
-51.0,0.07650498325942498,514.0,-367200.0,-6120.0,-102.0
-50.0,0.08392164569761394,515.0,-360000.0,-6000.0,-100.0
-49.0,0.03406409773503542,516.0,-352800.0,-5880.0,-98.0
-48.0,0.03328026810756954,517.0,-345600.0,-5760.0,-96.0
-47.0,0.060707340046120176,518.0,-338400.0,-5640.0,-94.0
-46.0,0.0851532622409339,519.0,-331200.0,-5520.0,-92.0
-45.0,0.13522071882055026,520.0,-324000.0,-5400.0,-90.0
-44.0,0.099604890100391,521.0,-316800.0,-5280.0,-88.0
-43.0,0.029721758397678832,522.0,-309600.0,-5160.0,-86.0
-42.0,-0.012583848216803894,523.0,-302400.0,-5040.0,-84.0
-41.0,0.022289275555584114,524.0,-295200.0,-4920.0,-82.0
-40.0,0.09091896202894215,525.0,-288000.0,-4800.0,-80.0
-39.0,0.12935881922244236,526.0,-280800.0,-4680.0,-78.0
-38.0,0.06586349338426284,527.0,-273600.0,-4560.0,-76.0
-37.0,0.09536998647552931,528.0,-266400.0,-4440.0,-74.0
-36.0,0.09126878247340285,529.0,-259200.0,-4320.0,-72.0
-35.0,0.12268414287773406,530.0,-252000.0,-4200.0,-70.0
-34.0,0.15596379799941373,531.0,-244800.0,-4080.0,-68.0
-33.0,0.20755018594433763,532.0,-237600.0,-3960.0,-66.0
-32.0,0.16347487422403173,533.0,-230400.0,-3840.0,-64.0
-31.0,0.09320394796327636,534.0,-223200.0,-3720.0,-62.0
-30.0,0.047607870210920375,535.0,-216000.0,-3600.0,-60.0
-29.0,0.07367842453487304,536.0,-208800.0,-3480.0,-58.0
-28.0,0.13497748615869135,537.0,-201600.0,-3360.0,-56.0
-27.0,0.17298401844079642,538.0,-194400.0,-3240.0,-54.0
-26.0,0.17457371285255222,539.0,-187200.0,-3120.0,-52.0
-25.0,0.13204994517407306,540.0,-180000.0,-3000.0,-50.0
-24.0,0.13166135015810937,541.0,-172800.0,-2880.0,-48.0
-23.0,0.15874575605838304,542.0,-165600.0,-2760.0,-46.0
-22.0,0.18375195440955536,543.0,-158400.0,-2640.0,-44.0
-21.0,0.23799203721340334,544.0,-151200.0,-2520.0,-42.0
-20.0,0.19932090988133289,545.0,-144000.0,-2400.0,-40.0
-19.0,0.1345062620270431,546.0,-136800.0,-2280.0,-38.0
-18.0,0.08801285677304087,547.0,-129600.0,-2160.0,-36.0
-17.0,0.11342593668256669,548.0,-122400.0,-2040.0,-34.0
-16.0,0.1549175485554845,549.0,-115200.0,-1920.0,-32.0
-15.0,0.20166420539763363,550.0,-108000.0,-1800.0,-30.0
-14.0,0.22073479357564413,551.0,-100800.0,-1680.0,-28.0
-13.0,0.18911932018690913,552.0,-93600.0,-1560.0,-26.0
-12.0,0.17898354131144661,553.0,-86400.0,-1440.0,-24.0
-11.0,0.2114356211251805,554.0,-79200.0,-1320.0,-22.0
-10.0,0.23333837727784346,555.0,-72000.0,-1200.0,-20.0
-9.0,0.2836471569046232,556.0,-64800.0,-1080.0,-18.0
-8.0,0.2555905483505497,557.0,-57600.0,-960.0,-16.0
-7.0,0.19136351378010355,558.0,-50400.0,-840.0,-14.0
-6.0,0.14694846923431498,559.0,-43200.0,-720.0,-12.0
-5.0,0.14122531425163165,561.0,-36000.0,-600.0,-10.0
