time_utc,5.56x45mm M995,6.8x51mm Hybrid,7.62x39mm AP,7.62x51mm M62,7.62x54R BT,9x19mm PBP,9x39mm BP
2025-09-21 18:00:00+00:00,,,,,,,
2025-09-21 20:00:00+00:00,,,,,,,
2025-09-21 22:00:00+00:00,,,,,,,
2025-09-22 00:00:00+00:00,,,,,,,
2025-09-22 02:00:00+00:00,,,,,,,
2025-09-22 04:00:00+00:00,,,,,,,
2025-09-22 06:00:00+00:00,,,,,,,
2025-09-22 08:00:00+00:00,,,,,,,
2025-09-22 10:00:00+00:00,,,,,,,
2025-09-22 12:00:00+00:00,,,,,,,
2025-09-22 14:00:00+00:00,,,,,,,
2025-09-22 16:00:00+00:00,,,,,,,
2025-09-22 18:00:00+00:00,,,,,,,
2025-09-22 20:00:00+00:00,,,,,,,
2025-09-22 22:00:00+00:00,,,,,,,
2025-09-23 00:00:00+00:00,,,,,,,
2025-09-23 02:00:00+00:00,,,,,,,
2025-09-23 04:00:00+00:00,,,,,,,
2025-09-23 06:00:00+00:00,,,,,,,
2025-09-23 08:00:00+00:00,,,,,,,
2025-09-23 10:00:00+00:00,,,,,,,
2025-09-23 12:00:00+00:00,,,,,,,
2025-09-23 14:00:00+00:00,,,,,,,
2025-09-23 16:00:00+00:00,,,,,,,
2025-09-23 18:00:00+00:00,,,,,,,
2025-09-23 20:00:00+00:00,,,,,,,
2025-09-23 22:00:00+00:00,,,,,,,
2025-09-24 00:00:00+00:00,,,,,,,
2025-09-24 02:00:00+00:00,,,,,,,
2025-09-24 04:00:00+00:00,,,,,,,
2025-09-24 06:00:00+00:00,,,,,,,
2025-09-24 08:00:00+00:00,,,,,,,
2025-09-24 10:00:00+00:00,,,,,,,
2025-09-24 12:00:00+00:00,,,,,,,
2025-09-24 14:00:00+00:00,,,,,,,
2025-09-24 16:00:00+00:00,,,,,,,
2025-09-24 18:00:00+00:00,,,,,,,
2025-09-24 20:00:00+00:00,,,,,,,
2025-09-24 22:00:00+00:00,,,,,,,
2025-09-25 00:00:00+00:00,,,,,,,
2025-09-25 02:00:00+00:00,,,,,,,
2025-09-25 04:00:00+00:00,,,,,,,
2025-09-25 06:00:00+00:00,,,,,,,
2025-09-25 08:00:00+00:00,,,,,,,
2025-09-25 10:00:00+00:00,,,,,,,
2025-09-25 12:00:00+00:00,,,,,,,
2025-09-25 14:00:00+00:00,,,,,,,
2025-09-25 16:00:00+00:00,,,,,,,
2025-09-25 18:00:00+00:00,,,,,,,
2025-09-25 20:00:00+00:00,,,,,,,
2025-09-25 22:00:00+00:00,,,,,,,
