time_utc,5.56x45mm M995,6.8x51mm Hybrid,7.62x39mm AP,7.62x51mm M62,7.62x54R BT,9x19mm PBP,9x39mm BP,盒装挂耳咖啡
2025-09-21 18:00:00+00:00,3432.0,4409.0,2871.0,4667.0,3214.0,1546.0,4354.0,289322.0
2025-09-22 00:00:00+00:00,3367.0,4219.0,2871.0,4567.0,3214.0,1606.0,4354.0,289322.0
2025-09-22 06:00:00+00:00,3432.0,4409.0,2796.0,4767.0,3214.0,1666.0,4549.0,289322.0
2025-09-22 12:00:00+00:00,3432.0,4409.0,2796.0,4767.0,3574.0,1546.0,4679.0,289322.0
2025-09-22 18:00:00+00:00,3432.0,4504.0,2871.0,4667.0,3454.0,1576.0,4354.0,289322.0
2025-09-23 00:00:00+00:00,3302.0,4314.0,2796.0,4567.0,3454.0,1636.0,4419.0,289322.0
2025-09-23 06:00:00+00:00,3367.0,4599.0,2871.0,4767.0,3334.0,1726.0,4549.0,293707.0
2025-09-23 12:00:00+00:00,3432.0,4599.0,2871.0,4767.0,3334.0,1576.0,4744.0,280552.0
2025-09-23 18:00:00+00:00,3497.0,4694.0,2871.0,4767.0,3454.0,1606.0,4289.0,289322.0
2025-09-24 00:00:00+00:00,3367.0,4599.0,2796.0,4567.0,3334.0,1666.0,4549.0,289322.0
2025-09-24 06:00:00+00:00,3432.0,4789.0,2871.0,4767.0,3334.0,1726.0,4549.0,293707.0
2025-09-24 12:00:00+00:00,3497.0,4884.0,2796.0,4867.0,3334.0,1546.0,4744.0,289322.0
2025-09-24 18:00:00+00:00,3562.0,4789.0,2871.0,4767.0,3454.0,1576.0,4159.0,289322.0
2025-09-25 00:00:00+00:00,3432.0,4694.0,2871.0,4667.0,3334.0,1636.0,4354.0,289322.0
2025-09-25 06:00:00+00:00,3497.0,4884.0,2871.0,4767.0,3334.0,1696.0,4484.0,293707.0
2025-09-25 12:00:00+00:00,3562.0,4979.0,2796.0,4867.0,3454.0,1786.0,4549.0,289322.0
2025-09-25 18:00:00+00:00,3432.0,4884.0,2871.0,4767.0,3334.0,1696.0,4224.0,289322.0
2025-09-26 00:00:00+00:00,3367.0,4694.0,2796.0,4667.0,3334.0,1906.0,4159.0,289322.0
2025-09-26 06:00:00+00:00,3302.0,4884.0,2871.0,4867.0,3334.0,1996.0,4419.0,293707.0
2025-09-26 12:00:00+00:00,3432.0,4979.0,2871.0,4767.0,3334.0,1756.0,4549.0,289322.0
2025-09-26 18:00:00+00:00,3302.0,4884.0,2871.0,4867.0,3334.0,1726.0,4159.0,289322.0
2025-09-27 00:00:00+00:00,3237.0,4789.0,2871.0,4867.0,3334.0,1936.0,4289.0,289322.0
2025-09-27 06:00:00+00:00,3237.0,4884.0,2871.0,4867.0,3334.0,1936.0,4484.0,293707.0
2025-09-27 12:00:00+00:00,3562.0,4979.0,2871.0,4967.0,3694.0,1546.0,4549.0,289322.0
2025-09-27 18:00:00+00:00,3432.0,4884.0,2796.0,4867.0,3454.0,1576.0,4224.0,289322.0
2025-09-28 00:00:00+00:00,3432.0,4884.0,2871.0,4767.0,3574.0,1606.0,4224.0,289322.0
2025-09-28 06:00:00+00:00,3497.0,4979.0,2946.0,4867.0,3574.0,1666.0,4419.0,293707.0
2025-09-28 12:00:00+00:00,3562.0,4979.0,3021.0,4967.0,3694.0,1516.0,4614.0,289322.0
2025-09-28 18:00:00+00:00,3562.0,4979.0,2946.0,4867.0,3694.0,1546.0,4094.0,289322.0
2025-09-29 00:00:00+00:00,3367.0,4884.0,3021.0,4867.0,3574.0,1576.0,4224.0,293707.0
2025-09-29 06:00:00+00:00,3497.0,4979.0,3021.0,4967.0,3574.0,1636.0,4419.0,293707.0
2025-09-29 12:00:00+00:00,3627.0,5074.0,3021.0,5067.0,3574.0,1516.0,4614.0,293707.0
2025-09-29 18:00:00+00:00,3497.0,4979.0,2946.0,4867.0,3454.0,1546.0,4094.0,293707.0
2025-09-30 00:00:00+00:00,3497.0,4884.0,2946.0,4867.0,3574.0,1576.0,4224.0,341942.0
2025-09-30 06:00:00+00:00,3367.0,4979.0,2946.0,4967.0,3574.0,1636.0,4419.0,350712.0
2025-09-30 12:00:00+00:00,3497.0,4979.0,3021.0,5067.0,3574.0,1486.0,4614.0,355097.0
2025-09-30 18:00:00+00:00,3432.0,4979.0,2946.0,4967.0,3574.0,1546.0,4224.0,355097.0
2025-10-01 00:00:00+00:00,3302.0,4884.0,2946.0,4967.0,3574.0,1636.0,4224.0,341942.0
2025-10-01 06:00:00+00:00,3302.0,4979.0,2946.0,4967.0,3574.0,1696.0,4419.0,346327.0
2025-10-01 12:00:00+00:00,3627.0,5074.0,2946.0,4967.0,3694.0,1456.0,4679.0,350712.0
2025-10-01 18:00:00+00:00,3497.0,4979.0,2946.0,5067.0,3574.0,1486.0,4224.0,355097.0
2025-10-02 00:00:00+00:00,3302.0,4884.0,2946.0,4867.0,3694.0,1576.0,4419.0,337557.0
2025-10-02 06:00:00+00:00,3432.0,4979.0,2946.0,5067.0,3694.0,1636.0,4484.0,346327.0
2025-10-02 12:00:00+00:00,3432.0,5074.0,2946.0,5067.0,3694.0,1666.0,4679.0,350712.0
2025-10-02 18:00:00+00:00,3692.0,5359.0,2946.0,5267.0,3694.0,1666.0,4809.0,355097.0
2025-10-03 00:00:00+00:00,3692.0,5359.0,2946.0,5267.0,3694.0,1666.0,4809.0,368252.0
2025-10-03 06:00:00+00:00,3692.0,5359.0,3367.0,5267.0,3694.0,1666.0,4809.0,368252.0
2025-10-03 12:00:00+00:00,3692.0,5359.0,2946.0,5267.0,3694.0,1666.0,4809.0,368252.0
2025-10-03 18:00:00+00:00,3757.0,5549.0,2946.0,5267.0,3694.0,1666.0,5004.0,355097.0
2025-10-04 00:00:00+00:00,3302.0,4884.0,3021.0,5067.0,3574.0,1576.0,4289.0,341942.0
2025-10-04 06:00:00+00:00,3432.0,5074.0,2946.0,5167.0,3694.0,1606.0,4484.0,346327.0
2025-10-04 12:00:00+00:00,3692.0,5074.0,3021.0,5167.0,3694.0,1456.0,4809.0,350712.0
2025-10-04 18:00:00+00:00,3562.0,5074.0,2946.0,5167.0,3814.0,1486.0,4354.0,350712.0
2025-10-05 00:00:00+00:00,3367.0,4884.0,3021.0,5067.0,3694.0,1546.0,4289.0,341942.0
2025-10-05 06:00:00+00:00,3562.0,5074.0,3021.0,5267.0,3694.0,1606.0,4614.0,346327.0
2025-10-05 12:00:00+00:00,3757.0,5074.0,3021.0,5267.0,3814.0,1486.0,4809.0,350712.0
2025-10-05 18:00:00+00:00,3627.0,5169.0,3096.0,5367.0,3694.0,1486.0,4354.0,355097.0
2025-10-06 00:00:00+00:00,3432.0,4884.0,3021.0,5267.0,3694.0,1546.0,4354.0,341942.0
2025-10-06 06:00:00+00:00,3562.0,5074.0,3096.0,5367.0,3694.0,1636.0,4679.0,346327.0
2025-10-06 12:00:00+00:00,3822.0,5074.0,3171.0,5467.0,3814.0,1396.0,4939.0,350712.0
2025-10-06 18:00:00+00:00,3757.0,5074.0,3171.0,5467.0,3814.0,1486.0,4419.0,355097.0
2025-10-07 00:00:00+00:00,3562.0,4979.0,3171.0,5167.0,3814.0,1546.0,4419.0,341942.0
2025-10-07 06:00:00+00:00,3692.0,5074.0,3171.0,5467.0,3814.0,1606.0,4809.0,346327.0
2025-10-07 12:00:00+00:00,3692.0,5074.0,3171.0,5467.0,3814.0,1606.0,4809.0,346327.0
2025-10-07 18:00:00+00:00,,,,,,,,
2025-10-08 00:00:00+00:00,3432.0,4599.0,3171.0,5267.0,3814.0,1546.0,4484.0,341942.0
2025-10-08 06:00:00+00:00,3432.0,4789.0,3171.0,5367.0,3814.0,1546.0,4809.0,346327.0
2025-10-08 12:00:00+00:00,3757.0,4979.0,3171.0,5467.0,3934.0,1396.0,5004.0,355097.0
2025-10-08 18:00:00+00:00,3627.0,4884.0,3171.0,5367.0,3814.0,1426.0,4484.0,355097.0
2025-10-09 00:00:00+00:00,3562.0,4789.0,3171.0,5067.0,3814.0,1456.0,4549.0,341942.0
2025-10-09 06:00:00+00:00,3757.0,4884.0,3246.0,5367.0,3934.0,1456.0,4809.0,346327.0
2025-10-09 12:00:00+00:00,3822.0,5074.0,3471.0,5467.0,3814.0,1396.0,4939.0,355097.0
2025-10-09 18:00:00+00:00,3757.0,4979.0,3396.0,5367.0,3814.0,1426.0,4354.0,355097.0
2025-10-10 00:00:00+00:00,3692.0,4884.0,3321.0,5067.0,3814.0,1456.0,4549.0,341942.0
2025-10-10 06:00:00+00:00,3822.0,4979.0,3321.0,5367.0,3934.0,1486.0,4809.0,346327.0
2025-10-10 12:00:00+00:00,3952.0,5074.0,3396.0,5567.0,3814.0,1396.0,5004.0,355097.0
2025-10-10 18:00:00+00:00,3757.0,4979.0,3246.0,5367.0,3814.0,1426.0,4484.0,355097.0
2025-10-11 00:00:00+00:00,3757.0,4884.0,3321.0,5167.0,3694.0,1486.0,4614.0,341942.0
2025-10-11 06:00:00+00:00,3757.0,4979.0,3321.0,5367.0,3814.0,1516.0,4809.0,346327.0
2025-10-11 12:00:00+00:00,3952.0,5074.0,3396.0,5767.0,3934.0,1426.0,5004.0,355097.0
2025-10-11 18:00:00+00:00,3822.0,4979.0,3321.0,5567.0,3934.0,1486.0,4549.0,355097.0
2025-10-12 00:00:00+00:00,3627.0,4789.0,3396.0,5367.0,3934.0,1546.0,4744.0,341942.0
2025-10-12 06:00:00+00:00,3822.0,4979.0,3321.0,5567.0,3934.0,1606.0,4939.0,346327.0
2025-10-12 12:00:00+00:00,3952.0,4979.0,3396.0,5567.0,3934.0,1456.0,4939.0,355097.0
2025-10-12 18:00:00+00:00,3887.0,4979.0,3396.0,5367.0,3934.0,1486.0,4419.0,355097.0
2025-10-13 00:00:00+00:00,3822.0,4979.0,3396.0,5267.0,3934.0,1516.0,4549.0,341942.0
2025-10-13 06:00:00+00:00,3952.0,4979.0,3471.0,5367.0,3814.0,1546.0,4744.0,346327.0
2025-10-13 12:00:00+00:00,3952.0,4979.0,3471.0,5467.0,4054.0,1426.0,4874.0,355097.0
2025-10-13 18:00:00+00:00,3887.0,4884.0,3396.0,5267.0,3814.0,1456.0,4419.0,355097.0
2025-10-14 00:00:00+00:00,3822.0,4884.0,3471.0,5167.0,3814.0,1486.0,4419.0,341942.0
2025-10-14 06:00:00+00:00,3822.0,4884.0,3471.0,5367.0,3934.0,1516.0,4484.0,346327.0
2025-10-14 12:00:00+00:00,3952.0,4884.0,3546.0,5367.0,3814.0,1426.0,4679.0,355097.0
2025-10-14 18:00:00+00:00,3952.0,4884.0,3396.0,5367.0,3814.0,1486.0,4289.0,355097.0
2025-10-15 00:00:00+00:00,3822.0,4789.0,3471.0,5167.0,3814.0,1546.0,4354.0,341942.0
2025-10-15 06:00:00+00:00,3887.0,4884.0,3471.0,5467.0,3934.0,1576.0,4549.0,346327.0
2025-10-15 12:00:00+00:00,4017.0,4979.0,3546.0,5467.0,3934.0,1486.0,4744.0,355097.0
2025-10-15 18:00:00+00:00,3887.0,4884.0,3471.0,5467.0,3814.0,1456.0,4419.0,355097.0
2025-10-16 00:00:00+00:00,3822.0,4789.0,3396.0,5267.0,3814.0,1516.0,4354.0,346327.0
2025-10-16 06:00:00+00:00,3952.0,4884.0,3471.0,5367.0,3814.0,1576.0,4614.0,350712.0
2025-10-16 12:00:00+00:00,4017.0,4979.0,3546.0,5467.0,3814.0,1426.0,4744.0,337557.0
2025-10-16 18:00:00+00:00,4017.0,5169.0,3546.0,5667.0,3934.0,1486.0,4679.0,341942.0
2025-10-17 00:00:00+00:00,3822.0,4884.0,3471.0,5267.0,3814.0,1516.0,4419.0,350712.0
2025-10-17 06:00:00+00:00,3757.0,4884.0,3396.0,5367.0,3814.0,1546.0,4549.0,355097.0
2025-10-17 12:00:00+00:00,3952.0,4884.0,3546.0,5467.0,3814.0,1426.0,4744.0,337557.0
2025-10-17 18:00:00+00:00,3822.0,4884.0,3321.0,5467.0,3814.0,1486.0,4354.0,341942.0
2025-10-18 00:00:00+00:00,3692.0,4694.0,3471.0,5367.0,3934.0,1546.0,4419.0,350712.0
2025-10-18 06:00:00+00:00,3822.0,4884.0,3471.0,5467.0,3814.0,1606.0,4679.0,355097.0
2025-10-18 12:00:00+00:00,3952.0,4884.0,3546.0,5467.0,3934.0,1426.0,4809.0,337557.0
2025-10-18 18:00:00+00:00,3887.0,4884.0,3471.0,5567.0,3814.0,1486.0,4419.0,341942.0
2025-10-19 00:00:00+00:00,3757.0,4789.0,3546.0,5267.0,3934.0,1576.0,4614.0,350712.0
2025-10-19 06:00:00+00:00,3887.0,4884.0,3546.0,5467.0,3814.0,1636.0,4679.0,355097.0
2025-10-19 12:00:00+00:00,4017.0,4979.0,3546.0,5467.0,3934.0,1456.0,4809.0,337557.0
2025-10-19 18:00:00+00:00,3952.0,4884.0,3546.0,5467.0,3814.0,1486.0,4354.0,341942.0
2025-10-20 00:00:00+00:00,3822.0,4884.0,3471.0,5267.0,3694.0,1516.0,4419.0,350712.0
2025-10-20 06:00:00+00:00,3952.0,4884.0,3546.0,5367.0,3814.0,1546.0,4549.0,355097.0
2025-10-20 12:00:00+00:00,4017.0,4979.0,3621.0,5567.0,3934.0,1426.0,4744.0,337557.0
2025-10-20 18:00:00+00:00,3952.0,4884.0,3546.0,5467.0,3814.0,1456.0,4354.0,341942.0
2025-10-21 00:00:00+00:00,3822.0,4884.0,3546.0,5267.0,5267.0,5267.0,5267.0,350712.0
2025-10-21 06:00:00+00:00,3952.0,4884.0,3621.0,5367.0,3814.0,1546.0,4549.0,355097.0
2025-10-21 12:00:00+00:00,4147.0,4979.0,3771.0,5467.0,3934.0,1426.0,4679.0,337557.0
2025-10-21 18:00:00+00:00,4082.0,4979.0,3696.0,5367.0,3814.0,1456.0,4354.0,341942.0
2025-10-22 00:00:00+00:00,3952.0,4884.0,3696.0,5267.0,3694.0,1516.0,4419.0,350712.0
2025-10-22 06:00:00+00:00,3952.0,4884.0,3846.0,5367.0,3814.0,1546.0,4549.0,355097.0
2025-10-22 12:00:00+00:00,4147.0,4979.0,3921.0,5567.0,3934.0,1456.0,4679.0,337557.0
2025-10-22 18:00:00+00:00,4082.0,4979.0,3846.0,5367.0,3814.0,1456.0,4289.0,341942.0
2025-10-23 00:00:00+00:00,3952.0,4884.0,3846.0,5267.0,3814.0,1516.0,4419.0,350712.0
2025-10-23 06:00:00+00:00,4017.0,4789.0,3846.0,5467.0,3814.0,1546.0,4549.0,355097.0
2025-10-23 12:00:00+00:00,4147.0,4979.0,3921.0,5467.0,3934.0,1426.0,4679.0,337557.0
2025-10-23 18:00:00+00:00,4212.0,5074.0,3921.0,5567.0,3934.0,1456.0,4744.0,341942.0
2025-10-24 00:00:00+00:00,3887.0,4884.0,3846.0,5267.0,3814.0,1456.0,4354.0,346327.0
2025-10-24 06:00:00+00:00,3952.0,4884.0,3846.0,5367.0,3814.0,1546.0,4419.0,355097.0
