lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-56.0,-0.3393196337165897,135.0,-1209600.0,-20160.0,-336.0
-55.0,-0.1644673203486672,136.0,-1188000.0,-19800.0,-330.0
-54.0,-0.12723417994322628,137.0,-1166400.0,-19440.0,-324.0
-53.0,-0.342135751797506,138.0,-1144800.0,-19080.0,-318.0
-52.0,-0.3569387491009427,139.0,-1123200.0,-18720.0,-312.0
-51.0,-0.15609661320523013,140.0,-1101600.0,-18360.0,-306.0
-50.0,-0.11596255279653037,141.0,-1080000.0,-18000.0,-300.0
-49.0,-0.33943835827611907,142.0,-1058400.0,-17640.0,-294.0
-48.0,-0.33460004776628605,143.0,-1036800.0,-17280.0,-288.0
-47.0,-0.16857093468846734,144.0,-1015200.0,-16920.0,-282.0
-46.0,-0.1821506641095541,145.0,-993600.0,-16560.0,-276.0
-45.0,-0.3781802420424274,146.0,-972000.0,-16200.0,-270.0
-44.0,-0.36166123562459784,147.0,-950400.0,-15840.0,-264.0
-43.0,-0.21841034843900303,148.0,-928800.0,-15480.0,-258.0
-42.0,-0.22077516968168465,149.0,-907200.0,-15120.0,-252.0
-41.0,-0.37171976136606805,150.0,-885600.0,-14760.0,-246.0
-40.0,-0.35446811165848496,151.0,-864000.0,-14400.0,-240.0
-39.0,-0.22378630764365526,152.0,-842400.0,-14040.0,-234.0
-38.0,-0.2316929118893425,153.0,-820800.0,-13680.0,-228.0
-37.0,-0.3518053017902043,154.0,-799200.0,-13320.0,-222.0
-36.0,-0.31575043895801724,155.0,-777600.0,-12960.0,-216.0
-35.0,-0.20360149516907106,156.0,-756000.0,-12600.0,-210.0
-34.0,-0.21392760779962838,157.0,-734400.0,-12240.0,-204.0
-33.0,-0.32793806536287573,158.0,-712800.0,-11880.0,-198.0
-32.0,-0.19331255045268506,159.0,-691200.0,-11520.0,-192.0
-31.0,-0.04982354808739006,160.0,-669600.0,-11160.0,-186.0
-30.0,-0.028405467246955734,161.0,-648000.0,-10800.0,-180.0
-29.0,-0.07122501184559253,162.0,-626400.0,-10440.0,-174.0
-28.0,-0.0033581556300399315,163.0,-604800.0,-10080.0,-168.0
-27.0,0.08497145038488704,164.0,-583200.0,-9720.0,-162.0
-26.0,0.10508385224622925,165.0,-561600.0,-9360.0,-156.0
-25.0,0.07134004477336475,166.0,-540000.0,-9000.0,-150.0
-24.0,0.11335166847129853,167.0,-518400.0,-8640.0,-144.0
-23.0,0.1839132035961513,168.0,-496800.0,-8280.0,-138.0
-22.0,0.20658701248630304,169.0,-475200.0,-7920.0,-132.0
-21.0,0.17714671144647542,170.0,-453600.0,-7560.0,-126.0
-20.0,0.19888623034151603,171.0,-432000.0,-7200.0,-120.0
-19.0,0.24200781963446466,172.0,-410400.0,-6840.0,-114.0
-18.0,0.25284787472883175,173.0,-388800.0,-6480.0,-108.0
-17.0,0.2228147525567149,174.0,-367200.0,-6120.0,-102.0
-16.0,0.2510408979289104,175.0,-345600.0,-5760.0,-96.0
-15.0,0.2994545908263008,176.0,-324000.0,-5400.0,-90.0
-14.0,0.32234921759985863,177.0,-302400.0,-5040.0,-84.0
-13.0,0.2901322218619168,178.0,-280800.0,-4680.0,-78.0
-12.0,0.32505841219989196,179.0,-259200.0,-4320.0,-72.0
-11.0,0.3685890666390709,180.0,-237600.0,-3960.0,-66.0
-10.0,0.3888152723327764,181.0,-216000.0,-3600.0,-60.0
-9.0,0.3550481459375614,182.0,-194400.0,-3240.0,-54.0
-8.0,0.3797922404555514,183.0,-172800.0,-2880.0,-48.0
-7.0,0.4192427159822926,184.0,-151200.0,-2520.0,-42.0
-6.0,0.4336147806395552,185.0,-129600.0,-2160.0,-36.0
-5.0,0.4005917001311382,186.0,-108000.0,-1800.0,-30.0
-4.0,0.41891794232998913,187.0,-86400.0,-1440.0,-24.0
-3.0,0.46196643136066096,188.0,-64800.0,-1080.0,-18.0
-2.0,0.4757994634177013,189.0,-43200.0,-720.0,-12.0
-1.0,0.45125990797943655,190.0,-21600.0,-360.0,-6.0
0.0,0.46253097379683955,192.0,0.0,0.0,0.0
1.0,0.4915289661868546,190.0,21600.0,360.0,6.0
2.0,0.5048874063516091,189.0,43200.0,720.0,12.0
3.0,0.46673660198027117,188.0,64800.0,1080.0,18.0
4.0,0.47705980895314254,187.0,86400.0,1440.0,24.0
