experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g1_24h,1H,1,24h,24h,18h,24h,5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.1481096792815755e-08,7.0,0.4966896949931,7.0,0.4966896949931,7.0,0.4966896949931,-17.0,0.4676271551130886
g1_24h,1H,1,24h,24h,18h,24h,6.8x51mm Hybrid,11.0,0.0038964766843997,17.0,4.605821186324391e-05,-17.0,0.3800664200975209,-17.0,0.3800664200975209,7.0,0.3352454317454208,-17.0,0.3800664200975209
g1_24h,1H,1,24h,24h,18h,24h,7.62x39mm AP,12.0,0.0001911190292696,16.0,7.027549599758438e-07,24.0,0.4762345139337686,24.0,0.4762345139337686,24.0,0.4762345139337686,-11.0,0.4584376940851936
g1_24h,1H,1,24h,24h,18h,24h,7.62x51mm M62,10.0,2.5000399887622267e-06,18.0,0.0001265562673799,7.0,0.7037272730334774,7.0,0.7037272730334774,7.0,0.7037272730334774,-17.0,0.6795274284056946
g1_24h,1H,1,24h,24h,18h,24h,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
g1_24h,1H,1,24h,24h,18h,24h,9x19mm PBP,1.0,0.4273470558209743,5.0,0.0422841554870648,0.0,-0.231610965095807,-11.0,-0.320531428464225,0.0,-0.231610965095807,0.0,-0.231610965095807
g1_24h,1H,1,24h,24h,18h,24h,9x39mm BP,13.0,1.6914935304609282e-05,17.0,1.983067577936144e-07,6.0,0.3480314002708141,6.0,0.3480314002708141,6.0,0.3480314002708141,-17.0,0.3065916044240164
g2_2d,1H,1,2D,2D,36h,2D,5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.1481096792815755e-08,31.0,0.5126488650107698,31.0,0.5126488650107698,31.0,0.5126488650107698,-17.0,0.4676271551130886
g2_2d,1H,1,2D,2D,36h,2D,6.8x51mm Hybrid,11.0,0.0038964766843997,17.0,4.605821186324391e-05,-41.0,0.395685454263127,-41.0,0.395685454263127,7.0,0.3352454317454208,-41.0,0.395685454263127
g2_2d,1H,1,2D,2D,36h,2D,7.62x39mm AP,12.0,0.0001911190292696,16.0,7.027549599758438e-07,30.0,0.4890924393882205,30.0,0.4890924393882205,30.0,0.4890924393882205,-11.0,0.4584376940851936
g2_2d,1H,1,2D,2D,36h,2D,7.62x51mm M62,10.0,2.5000399887622267e-06,18.0,0.0001265562673799,7.0,0.7037272730334774,7.0,0.7037272730334774,7.0,0.7037272730334774,-17.0,0.6795274284056946
g2_2d,1H,1,2D,2D,36h,2D,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
g2_2d,1H,1,2D,2D,36h,2D,9x19mm PBP,1.0,0.4273470558209743,5.0,0.0422841554870648,0.0,-0.231610965095807,36.0,-0.3257287679859275,0.0,-0.231610965095807,0.0,-0.231610965095807
g2_2d,1H,1,2D,2D,36h,2D,9x39mm BP,13.0,1.6914935304609282e-05,17.0,1.983067577936144e-07,31.0,0.3518360539526869,31.0,0.3518360539526869,31.0,0.3518360539526869,-17.0,0.3065916044240164
g3_3d,1H,1,3D,3D,2D,3D,5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.1481096792815755e-08,55.0,0.5304770000226791,55.0,0.5304770000226791,55.0,0.5304770000226791,-17.0,0.4676271551130886
g3_3d,1H,1,3D,3D,2D,3D,6.8x51mm Hybrid,11.0,0.0038964766843997,17.0,4.605821186324391e-05,-65.0,0.4254912856627861,-65.0,0.4254912856627861,7.0,0.3352454317454208,-65.0,0.4254912856627861
g3_3d,1H,1,3D,3D,2D,3D,7.62x39mm AP,12.0,0.0001911190292696,16.0,7.027549599758438e-07,72.0,0.5055490979412167,72.0,0.5055490979412167,72.0,0.5055490979412167,-11.0,0.4584376940851936
g3_3d,1H,1,3D,3D,2D,3D,7.62x51mm M62,10.0,2.5000399887622267e-06,18.0,0.0001265562673799,55.0,0.7062831459156975,55.0,0.7062831459156975,55.0,0.7062831459156975,-17.0,0.6795274284056946
g3_3d,1H,1,3D,3D,2D,3D,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
