lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.28068845074172427,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.2892793524092235,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.29335651860285544,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.30167003692280414,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.31890044283206764,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.3369015988729233,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.3520772694735587,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.3536902699587236,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.33699684751387027,1105.0,-57600.0,-960.0,-16.0
-15.0,0.3107983536225403,1106.0,-54000.0,-900.0,-15.0
-14.0,0.29257590685392953,1107.0,-50400.0,-840.0,-14.0
-13.0,0.28156234488268855,1109.0,-46800.0,-780.0,-13.0
-12.0,0.27685673566644936,1111.0,-43200.0,-720.0,-12.0
-11.0,0.2859813669250025,1113.0,-39600.0,-660.0,-11.0
-10.0,0.29135690221823013,1115.0,-36000.0,-600.0,-10.0
-9.0,0.3083171730420367,1117.0,-32400.0,-540.0,-9.0
-8.0,0.3274597061388385,1119.0,-28800.0,-480.0,-8.0
-7.0,0.3499097740201258,1121.0,-25200.0,-420.0,-7.0
-6.0,0.36404203838219884,1123.0,-21600.0,-360.0,-6.0
-5.0,0.36652208148695814,1125.0,-18000.0,-300.0,-5.0
-4.0,0.3625989567671873,1127.0,-14400.0,-240.0,-4.0
-3.0,0.35063039434043164,1129.0,-10800.0,-180.0,-3.0
-2.0,0.34018488834579363,1131.0,-7200.0,-120.0,-2.0
-1.0,0.33540697900253463,1134.0,-3600.0,-60.0,-1.0
0.0,0.3318264459005401,1137.0,0.0,0.0,0.0
1.0,0.3393188798845618,1134.0,3600.0,60.0,1.0
2.0,0.34362608199562455,1131.0,7200.0,120.0,2.0
3.0,0.3536273291881081,1129.0,10800.0,180.0,3.0
4.0,0.37191409528281155,1127.0,14400.0,240.0,4.0
5.0,0.3953125891535629,1125.0,18000.0,300.0,5.0
6.0,0.40225425724551817,1123.0,21600.0,360.0,6.0
7.0,0.39895407125997256,1121.0,25200.0,420.0,7.0
8.0,0.38140552511721987,1119.0,28800.0,480.0,8.0
9.0,0.3523498594155397,1117.0,32400.0,540.0,9.0
10.0,0.33592821269926365,1115.0,36000.0,600.0,10.0
11.0,0.32453166796200633,1113.0,39600.0,660.0,11.0
12.0,0.3249566063937015,1111.0,43200.0,720.0,12.0
13.0,0.3210569955105601,1109.0,46800.0,780.0,13.0
14.0,0.3322736681705684,1107.0,50400.0,840.0,14.0
15.0,0.34811929783977347,1106.0,54000.0,900.0,15.0
16.0,0.36990034400398397,1105.0,57600.0,960.0,16.0
17.0,0.3868325245885451,1104.0,61200.0,1020.0,17.0
18.0,0.39455677856309784,1103.0,64800.0,1080.0,18.0
19.0,0.394584841218665,1102.0,68400.0,1140.0,19.0
20.0,0.3768925529650302,1101.0,72000.0,1200.0,20.0
21.0,0.3639567977169156,1100.0,75600.0,1260.0,21.0
22.0,0.35723146273315143,1099.0,79200.0,1320.0,22.0
23.0,0.35358270723839896,1098.0,82800.0,1380.0,23.0
24.0,0.3537108430182247,1097.0,86400.0,1440.0,24.0
