lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.404869888254868,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.4094411456093254,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.4142379160698935,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.41935213286003137,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.426364001051919,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.43945586901751915,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.4582960747252976,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.4676271551130886,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.4661710054395427,1105.0,-57600.0,-960.0,-16.0
-15.0,0.4557523310237661,1106.0,-54000.0,-900.0,-15.0
-14.0,0.44774096009883324,1107.0,-50400.0,-840.0,-14.0
-13.0,0.43898090501170356,1109.0,-46800.0,-780.0,-13.0
-12.0,0.4311612705390544,1111.0,-43200.0,-720.0,-12.0
-11.0,0.4448405743238926,1113.0,-39600.0,-660.0,-11.0
-10.0,0.43712329212699735,1115.0,-36000.0,-600.0,-10.0
-9.0,0.41989425212779424,1117.0,-32400.0,-540.0,-9.0
-8.0,0.42374786636277945,1119.0,-28800.0,-480.0,-8.0
-7.0,0.43430874689850507,1121.0,-25200.0,-420.0,-7.0
-6.0,0.4403776946171013,1123.0,-21600.0,-360.0,-6.0
-5.0,0.4425739100454774,1125.0,-18000.0,-300.0,-5.0
-4.0,0.4444512036502675,1127.0,-14400.0,-240.0,-4.0
-3.0,0.4443339556657981,1129.0,-10800.0,-180.0,-3.0
-2.0,0.444147148932991,1131.0,-7200.0,-120.0,-2.0
-1.0,0.44385704071521903,1134.0,-3600.0,-60.0,-1.0
0.0,0.44631135821546086,1137.0,0.0,0.0,0.0
1.0,0.4483353221996615,1134.0,3600.0,60.0,1.0
2.0,0.4503450944070926,1131.0,7200.0,120.0,2.0
3.0,0.4547944976060233,1129.0,10800.0,180.0,3.0
4.0,0.46361388969663325,1127.0,14400.0,240.0,4.0
5.0,0.4780655706521241,1125.0,18000.0,300.0,5.0
6.0,0.4887242362234945,1123.0,21600.0,360.0,6.0
7.0,0.49668969499310006,1121.0,25200.0,420.0,7.0
8.0,0.4946168951575679,1119.0,28800.0,480.0,8.0
9.0,0.4825735929882794,1117.0,32400.0,540.0,9.0
10.0,0.47337099572356856,1115.0,36000.0,600.0,10.0
11.0,0.46369320425536165,1113.0,39600.0,660.0,11.0
12.0,0.4526058307537836,1111.0,43200.0,720.0,12.0
13.0,0.44574961208374253,1109.0,46800.0,780.0,13.0
14.0,0.4456810071570813,1107.0,50400.0,840.0,14.0
15.0,0.4465293391275968,1106.0,54000.0,900.0,15.0
16.0,0.4518634924325406,1105.0,57600.0,960.0,16.0
17.0,0.4588440979474746,1104.0,61200.0,1020.0,17.0
18.0,0.4630816258983626,1103.0,64800.0,1080.0,18.0
19.0,0.4628471596130059,1102.0,68400.0,1140.0,19.0
20.0,0.46103788696794457,1101.0,72000.0,1200.0,20.0
21.0,0.4589828223787129,1100.0,75600.0,1260.0,21.0
22.0,0.4568160218601416,1099.0,79200.0,1320.0,22.0
23.0,0.45531618781187516,1098.0,82800.0,1380.0,23.0
24.0,0.45539151895261,1097.0,86400.0,1440.0,24.0
