lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.20754977396809998,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.21516122649041922,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.22349847092603603,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.23757049555367693,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.2548972040337442,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.2758631895030389,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.30188556462965194,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.3089681072104239,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.2956858160216443,1105.0,-57600.0,-960.0,-16.0
-15.0,0.2755941969666573,1106.0,-54000.0,-900.0,-15.0
-14.0,0.25495382606715267,1107.0,-50400.0,-840.0,-14.0
-13.0,0.24108558788986328,1109.0,-46800.0,-780.0,-13.0
-12.0,0.2284628235075207,1111.0,-43200.0,-720.0,-12.0
-11.0,0.22542532431007145,1113.0,-39600.0,-660.0,-11.0
-10.0,0.21993302238017937,1115.0,-36000.0,-600.0,-10.0
-9.0,0.2341622016835899,1117.0,-32400.0,-540.0,-9.0
-8.0,0.2494403683714837,1119.0,-28800.0,-480.0,-8.0
-7.0,0.26830212211071164,1121.0,-25200.0,-420.0,-7.0
-6.0,0.2779095269033381,1123.0,-21600.0,-360.0,-6.0
-5.0,0.2802469522993296,1125.0,-18000.0,-300.0,-5.0
-4.0,0.2809569959500846,1127.0,-14400.0,-240.0,-4.0
-3.0,0.2767903442451052,1129.0,-10800.0,-180.0,-3.0
-2.0,0.2656783251199961,1131.0,-7200.0,-120.0,-2.0
-1.0,0.26859100434850297,1134.0,-3600.0,-60.0,-1.0
0.0,0.26779258097051173,1137.0,0.0,0.0,0.0
1.0,0.27338543102345336,1134.0,3600.0,60.0,1.0
2.0,0.27790086127059394,1131.0,7200.0,120.0,2.0
3.0,0.28316433780026373,1129.0,10800.0,180.0,3.0
4.0,0.30076125349691524,1127.0,14400.0,240.0,4.0
5.0,0.3179628465024846,1125.0,18000.0,300.0,5.0
6.0,0.3332433840186935,1123.0,21600.0,360.0,6.0
7.0,0.33395714518418446,1121.0,25200.0,420.0,7.0
8.0,0.31478162406685767,1119.0,28800.0,480.0,8.0
9.0,0.2912742241097037,1117.0,32400.0,540.0,9.0
10.0,0.26681769395113974,1115.0,36000.0,600.0,10.0
11.0,0.2508705168399395,1113.0,39600.0,660.0,11.0
12.0,0.23013445065026167,1111.0,43200.0,720.0,12.0
13.0,0.21916311134481106,1109.0,46800.0,780.0,13.0
14.0,0.22615927147625134,1107.0,50400.0,840.0,14.0
15.0,0.22799100480708467,1106.0,54000.0,900.0,15.0
16.0,0.24326340921647213,1105.0,57600.0,960.0,16.0
17.0,0.25896691964285096,1104.0,61200.0,1020.0,17.0
18.0,0.26596205203375406,1103.0,64800.0,1080.0,18.0
19.0,0.2619366815472556,1102.0,68400.0,1140.0,19.0
20.0,0.2544284835484885,1101.0,72000.0,1200.0,20.0
21.0,0.23571823094570032,1100.0,75600.0,1260.0,21.0
22.0,0.229629994556704,1099.0,79200.0,1320.0,22.0
23.0,0.22678912891107036,1098.0,82800.0,1380.0,23.0
24.0,0.2279139824417395,1097.0,86400.0,1440.0,24.0
