lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.2923283988993216,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.2949253477840363,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.30637243199547304,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.31371140099578676,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.32081499681230324,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.3413078386100171,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.36291433663118255,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.3800664200975209,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.3714858545665918,1105.0,-57600.0,-960.0,-16.0
-15.0,0.3506711846203854,1106.0,-54000.0,-900.0,-15.0
-14.0,0.3259523084441125,1107.0,-50400.0,-840.0,-14.0
-13.0,0.30732354483875707,1109.0,-46800.0,-780.0,-13.0
-12.0,0.2924193526586615,1111.0,-43200.0,-720.0,-12.0
-11.0,0.29355666946393444,1113.0,-39600.0,-660.0,-11.0
-10.0,0.2819846196640001,1115.0,-36000.0,-600.0,-10.0
-9.0,0.2757145121556796,1117.0,-32400.0,-540.0,-9.0
-8.0,0.27801185495074227,1119.0,-28800.0,-480.0,-8.0
-7.0,0.29510940530548285,1121.0,-25200.0,-420.0,-7.0
-6.0,0.3042105760953965,1123.0,-21600.0,-360.0,-6.0
-5.0,0.31824812612872355,1125.0,-18000.0,-300.0,-5.0
-4.0,0.31533667815831773,1127.0,-14400.0,-240.0,-4.0
-3.0,0.31088901851037126,1129.0,-10800.0,-180.0,-3.0
-2.0,0.30169508058152067,1131.0,-7200.0,-120.0,-2.0
-1.0,0.29092698632928926,1134.0,-3600.0,-60.0,-1.0
0.0,0.28489470529818844,1137.0,0.0,0.0,0.0
1.0,0.2780032060757352,1134.0,3600.0,60.0,1.0
2.0,0.2782159141997257,1131.0,7200.0,120.0,2.0
3.0,0.2810841804809037,1129.0,10800.0,180.0,3.0
4.0,0.2958616371193783,1127.0,14400.0,240.0,4.0
5.0,0.31907266864230976,1125.0,18000.0,300.0,5.0
6.0,0.33129471249556564,1123.0,21600.0,360.0,6.0
7.0,0.3352454317454208,1121.0,25200.0,420.0,7.0
8.0,0.32001618421699696,1119.0,28800.0,480.0,8.0
9.0,0.2921349611861702,1117.0,32400.0,540.0,9.0
10.0,0.26870458615577164,1115.0,36000.0,600.0,10.0
11.0,0.2447819567960838,1113.0,39600.0,660.0,11.0
12.0,0.22292253450054866,1111.0,43200.0,720.0,12.0
13.0,0.20153399128111713,1109.0,46800.0,780.0,13.0
14.0,0.19364235157559914,1107.0,50400.0,840.0,14.0
15.0,0.1911539567526016,1106.0,54000.0,900.0,15.0
16.0,0.19398911193513238,1105.0,57600.0,960.0,16.0
17.0,0.20471211301919673,1104.0,61200.0,1020.0,17.0
18.0,0.21222589164385022,1103.0,64800.0,1080.0,18.0
19.0,0.21224981487466713,1102.0,68400.0,1140.0,19.0
20.0,0.20189523559910144,1101.0,72000.0,1200.0,20.0
21.0,0.18425387559965486,1100.0,75600.0,1260.0,21.0
22.0,0.16103096741385384,1099.0,79200.0,1320.0,22.0
23.0,0.14114586871510879,1098.0,82800.0,1380.0,23.0
24.0,0.12909814267183325,1097.0,86400.0,1440.0,24.0
