lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.43397302596408693,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.43517573118453845,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.437113312612185,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.4392531286162643,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.4428212901008074,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.4474087710278434,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.4509291542782688,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.4522098986081526,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.44937225185057905,1105.0,-57600.0,-960.0,-16.0
-15.0,0.44610489350578775,1106.0,-54000.0,-900.0,-15.0
-14.0,0.44348765440551996,1107.0,-50400.0,-840.0,-14.0
-13.0,0.44130250606904203,1109.0,-46800.0,-780.0,-13.0
-12.0,0.4382770569502258,1111.0,-43200.0,-720.0,-12.0
-11.0,0.4584376940851936,1113.0,-39600.0,-660.0,-11.0
-10.0,0.4576204267097984,1115.0,-36000.0,-600.0,-10.0
-9.0,0.4385718639911002,1117.0,-32400.0,-540.0,-9.0
-8.0,0.4438760283808426,1119.0,-28800.0,-480.0,-8.0
-7.0,0.4472240720506695,1121.0,-25200.0,-420.0,-7.0
-6.0,0.4494354508022882,1123.0,-21600.0,-360.0,-6.0
-5.0,0.449314481572142,1125.0,-18000.0,-300.0,-5.0
-4.0,0.44970412986565256,1127.0,-14400.0,-240.0,-4.0
-3.0,0.4523904280358862,1129.0,-10800.0,-180.0,-3.0
-2.0,0.4548536612628542,1131.0,-7200.0,-120.0,-2.0
-1.0,0.4563148096736633,1134.0,-3600.0,-60.0,-1.0
0.0,0.4575789844711764,1137.0,0.0,0.0,0.0
1.0,0.46058219353119,1134.0,3600.0,60.0,1.0
2.0,0.46195449878502454,1131.0,7200.0,120.0,2.0
3.0,0.46596307627678774,1129.0,10800.0,180.0,3.0
4.0,0.4672913250541373,1127.0,14400.0,240.0,4.0
5.0,0.4710545210405384,1125.0,18000.0,300.0,5.0
6.0,0.4731902068470372,1123.0,21600.0,360.0,6.0
7.0,0.4719000929441157,1121.0,25200.0,420.0,7.0
8.0,0.4686718963764973,1119.0,28800.0,480.0,8.0
9.0,0.4651035009372679,1117.0,32400.0,540.0,9.0
10.0,0.4623944057327544,1115.0,36000.0,600.0,10.0
11.0,0.4598473982478462,1113.0,39600.0,660.0,11.0
12.0,0.45696156664862186,1111.0,43200.0,720.0,12.0
13.0,0.4553754383675867,1109.0,46800.0,780.0,13.0
14.0,0.4559090056062764,1107.0,50400.0,840.0,14.0
15.0,0.4583375074495747,1106.0,54000.0,900.0,15.0
16.0,0.46254713761438776,1105.0,57600.0,960.0,16.0
17.0,0.4655381632484822,1104.0,61200.0,1020.0,17.0
18.0,0.4675739160793547,1103.0,64800.0,1080.0,18.0
19.0,0.46871515828005134,1102.0,68400.0,1140.0,19.0
20.0,0.46729692297415604,1101.0,72000.0,1200.0,20.0
21.0,0.46909885031529214,1100.0,75600.0,1260.0,21.0
22.0,0.47126142472753807,1099.0,79200.0,1320.0,22.0
23.0,0.47409488594350113,1098.0,82800.0,1380.0,23.0
24.0,0.47634618620118196,1097.0,86400.0,1440.0,24.0
