lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-48.0,0.14661040876363932,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.14837188635520815,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.15598394130542168,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.17261976363529463,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.1958858350369808,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.21989057194795505,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.25011394985166646,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.2351652166381553,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.21087097455481613,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.18650897978448056,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.17469771517599952,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.1554722122022175,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.13657057668275488,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.1307349532456585,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.1358148013796102,1087.0,-122400.0,-2040.0,-34.0
-33.0,0.14513934199523612,1088.0,-118800.0,-1980.0,-33.0
-32.0,0.16235308331723156,1089.0,-115200.0,-1920.0,-32.0
-31.0,0.1799596757355293,1090.0,-111600.0,-1860.0,-31.0
-30.0,0.1852518562654517,1091.0,-108000.0,-1800.0,-30.0
-29.0,0.18056094883355536,1092.0,-104400.0,-1740.0,-29.0
-28.0,0.18309547564701625,1093.0,-100800.0,-1680.0,-28.0
-27.0,0.17164564389044143,1094.0,-97200.0,-1620.0,-27.0
-26.0,0.18118469919809393,1095.0,-93600.0,-1560.0,-26.0
-25.0,0.1807063366904585,1096.0,-90000.0,-1500.0,-25.0
-24.0,0.17161293831086427,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.18321481007135176,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.19437807246934166,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.20951294336793622,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.2254088957489645,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.2511970918741232,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.27871069480966026,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.2650808390177297,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.24166667632371366,1105.0,-57600.0,-960.0,-16.0
-15.0,0.22028590888608485,1106.0,-54000.0,-900.0,-15.0
-14.0,0.20102583943672855,1107.0,-50400.0,-840.0,-14.0
-13.0,0.18122637828563307,1109.0,-46800.0,-780.0,-13.0
-12.0,0.16844940023368715,1111.0,-43200.0,-720.0,-12.0
