lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-72.0,0.13445198481782253,1049.0,-259200.0,-4320.0,-72.0
-71.0,0.13620636053835014,1050.0,-255600.0,-4260.0,-71.0
-70.0,0.14450833821569212,1051.0,-252000.0,-4200.0,-70.0
-69.0,0.16053021535257514,1052.0,-248400.0,-4140.0,-69.0
-68.0,0.17770811392742258,1053.0,-244800.0,-4080.0,-68.0
-67.0,0.19765886673359426,1054.0,-241200.0,-4020.0,-67.0
-66.0,0.22166406695058438,1055.0,-237600.0,-3960.0,-66.0
-65.0,0.22823487836752054,1056.0,-234000.0,-3900.0,-65.0
-64.0,0.20617743063675698,1057.0,-230400.0,-3840.0,-64.0
-63.0,0.18514885589629973,1058.0,-226800.0,-3780.0,-63.0
-62.0,0.16641772417423228,1059.0,-223200.0,-3720.0,-62.0
-61.0,0.1502691137806408,1060.0,-219600.0,-3660.0,-61.0
-60.0,0.13735238633262015,1061.0,-216000.0,-3600.0,-60.0
-59.0,0.13017572278005882,1062.0,-212400.0,-3540.0,-59.0
-58.0,0.13258325118960884,1063.0,-208800.0,-3480.0,-58.0
-57.0,0.14259865357915752,1064.0,-205200.0,-3420.0,-57.0
-56.0,0.16279915196617026,1065.0,-201600.0,-3360.0,-56.0
-55.0,0.18171569293116294,1066.0,-198000.0,-3300.0,-55.0
-54.0,0.19133213633269558,1067.0,-194400.0,-3240.0,-54.0
-53.0,0.18678422556206298,1068.0,-190800.0,-3180.0,-53.0
-52.0,0.17699778796498014,1069.0,-187200.0,-3120.0,-52.0
-51.0,0.16248704370380213,1070.0,-183600.0,-3060.0,-51.0
-50.0,0.15889567054055656,1071.0,-180000.0,-3000.0,-50.0
-49.0,0.1583279613008497,1072.0,-176400.0,-2940.0,-49.0
-48.0,0.15600596602864983,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.16335871924176806,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.17181065471391405,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.1823802562985044,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.20246093704437648,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.22721777932317141,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.250839106289195,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.25437119742582015,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.23483754951610983,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.21370466381358252,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.19442687554391483,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.17598899273606547,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.15905036001334114,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.1511732001784468,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.16031625530960247,1087.0,-122400.0,-2040.0,-34.0
