item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,1137.0,0.3550331870717427,4.125829289591922e-35,0.24331320740133547,8.743531822714535e-17
4.6x30mm AP SX,1137.0,0.3318264459005399,1.2563241920300541e-30,0.2527992439335675,4.8927816075918e-18
5.56x45mm M995,1137.0,0.4463113582154612,9.4404402450806e-57,0.29375066522705146,4.584742429788299e-24
5.7x28mm SS190,1137.0,0.19073591483290475,8.929408604712853e-11,0.14968690821241362,3.9698559892648626e-07
5.8x42mm DVC12,1137.0,0.26779258097051173,3.994473790660343e-20,0.20799728684128915,1.406156476807608e-12
6.8x51mm Hybrid,1137.0,0.2848947052981883,1.129121194693315e-22,0.16337801715855224,3.020931442397105e-08
7.62x39mm AP,1137.0,0.45757898447117573,6.451094879609313e-60,0.3179230122717297,4.0433629075732475e-28
7.62x51mm M62,1137.0,0.6566934478227131,2.9922065596398296e-141,0.3875883107334438,4.612331016723799e-42
7.62x54R BT,1137.0,0.6415335546305883,7.419132335212816e-133,0.3723808682755833,1.0243854670192746e-38
9x39mm BP,1137.0,0.25766586031950545,1.0630299670312165e-18,0.2277781428080038,7.573423492314682e-15
