lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.3654791487251746,1001.0,-432000.0,-7200.0,-120.0
-119.0,0.3043038242297665,1002.0,-428400.0,-7140.0,-119.0
-118.0,0.3074044128797397,1003.0,-424800.0,-7080.0,-118.0
-117.0,0.3225465316042682,1004.0,-421200.0,-7020.0,-117.0
-116.0,0.34418046082775233,1005.0,-417600.0,-6960.0,-116.0
-115.0,0.36415716147042554,1006.0,-414000.0,-6900.0,-115.0
-114.0,0.38923317925243195,1007.0,-410400.0,-6840.0,-114.0
-113.0,0.3718288253426599,1008.0,-406800.0,-6780.0,-113.0
-112.0,0.3585782343598566,1009.0,-403200.0,-6720.0,-112.0
-111.0,0.34799193365559267,1010.0,-399600.0,-6660.0,-111.0
-110.0,0.335692902729653,1011.0,-396000.0,-6600.0,-110.0
-109.0,0.3268989684838356,1012.0,-392400.0,-6540.0,-109.0
-108.0,0.31944818897010224,1013.0,-388800.0,-6480.0,-108.0
-107.0,0.3137622380066969,1014.0,-385200.0,-6420.0,-107.0
-106.0,0.305358406400998,1015.0,-381600.0,-6360.0,-106.0
-105.0,0.3134390151718538,1016.0,-378000.0,-6300.0,-105.0
-104.0,0.33125804861809127,1017.0,-374400.0,-6240.0,-104.0
-103.0,0.33334741218723,1018.0,-370800.0,-6180.0,-103.0
-102.0,0.3291790064966977,1019.0,-367200.0,-6120.0,-102.0
-101.0,0.32398831724561405,1020.0,-363600.0,-6060.0,-101.0
-100.0,0.31554588034477815,1021.0,-360000.0,-6000.0,-100.0
-99.0,0.3203503224189423,1022.0,-356400.0,-5940.0,-99.0
-98.0,0.31750382020208173,1023.0,-352800.0,-5880.0,-98.0
-97.0,0.328081334011019,1024.0,-349200.0,-5820.0,-97.0
-96.0,0.3347084879132324,1025.0,-345600.0,-5760.0,-96.0
-95.0,0.3432472629107453,1026.0,-342000.0,-5700.0,-95.0
-94.0,0.347019793338091,1027.0,-338400.0,-5640.0,-94.0
-93.0,0.35201390276627176,1028.0,-334800.0,-5580.0,-93.0
-92.0,0.3828997218604912,1029.0,-331200.0,-5520.0,-92.0
-91.0,0.39152427489614966,1030.0,-327600.0,-5460.0,-91.0
-90.0,0.4156091939644943,1031.0,-324000.0,-5400.0,-90.0
-89.0,0.4145755495378915,1032.0,-320400.0,-5340.0,-89.0
-88.0,0.3998357429897199,1033.0,-316800.0,-5280.0,-88.0
-87.0,0.392782069510176,1034.0,-313200.0,-5220.0,-87.0
-86.0,0.37506668253205827,1035.0,-309600.0,-5160.0,-86.0
-85.0,0.3666955121002064,1036.0,-306000.0,-5100.0,-85.0
-84.0,0.3640738715208293,1037.0,-302400.0,-5040.0,-84.0
-83.0,0.3632632279287129,1038.0,-298800.0,-4980.0,-83.0
-82.0,0.348241143932861,1039.0,-295200.0,-4920.0,-82.0
-81.0,0.35563577764634574,1040.0,-291600.0,-4860.0,-81.0
-80.0,0.362478197706804,1041.0,-288000.0,-4800.0,-80.0
-79.0,0.3746545173780499,1042.0,-284400.0,-4740.0,-79.0
-78.0,0.3659762150775722,1043.0,-280800.0,-4680.0,-78.0
-77.0,0.3624181547352637,1044.0,-277200.0,-4620.0,-77.0
-76.0,0.3520791810470211,1045.0,-273600.0,-4560.0,-76.0
-75.0,0.35522982958037114,1046.0,-270000.0,-4500.0,-75.0
-74.0,0.3572714465926032,1047.0,-266400.0,-4440.0,-74.0
-73.0,0.3630981447484785,1048.0,-262800.0,-4380.0,-73.0
-72.0,0.36060793965366494,1049.0,-259200.0,-4320.0,-72.0
-71.0,0.3663975920965923,1050.0,-255600.0,-4260.0,-71.0
-70.0,0.365465792972813,1051.0,-252000.0,-4200.0,-70.0
-69.0,0.36991580317455325,1052.0,-248400.0,-4140.0,-69.0
-68.0,0.3946159975370469,1053.0,-244800.0,-4080.0,-68.0
-67.0,0.4056592054207545,1054.0,-241200.0,-4020.0,-67.0
-66.0,0.4183727154280713,1055.0,-237600.0,-3960.0,-66.0
-65.0,0.4075131095528042,1056.0,-234000.0,-3900.0,-65.0
-64.0,0.39266820611874714,1057.0,-230400.0,-3840.0,-64.0
-63.0,0.38028863714101113,1058.0,-226800.0,-3780.0,-63.0
-62.0,0.36930030236821276,1059.0,-223200.0,-3720.0,-62.0
-61.0,0.352982341687833,1060.0,-219600.0,-3660.0,-61.0
-60.0,0.349827558887141,1061.0,-216000.0,-3600.0,-60.0
-59.0,0.3417615999087647,1062.0,-212400.0,-3540.0,-59.0
-58.0,0.3334363088145371,1063.0,-208800.0,-3480.0,-58.0
-57.0,0.3404493985899796,1064.0,-205200.0,-3420.0,-57.0
-56.0,0.3461159539364578,1065.0,-201600.0,-3360.0,-56.0
-55.0,0.3499406969769152,1066.0,-198000.0,-3300.0,-55.0
-54.0,0.3473219345526043,1067.0,-194400.0,-3240.0,-54.0
-53.0,0.33788487937288225,1068.0,-190800.0,-3180.0,-53.0
-52.0,0.32680481225230495,1069.0,-187200.0,-3120.0,-52.0
-51.0,0.3288293217606669,1070.0,-183600.0,-3060.0,-51.0
-50.0,0.33760183903687835,1071.0,-180000.0,-3000.0,-50.0
-49.0,0.3452273927519307,1072.0,-176400.0,-2940.0,-49.0
-48.0,0.34026875440239746,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.3469875827447917,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.3482773938243538,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.3511672492247299,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.3768949134364564,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.3914052158733727,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.3937090599344915,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.3828257631779027,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.3748061512910032,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.36483501492122805,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.35430440656614065,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.3451581532799333,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.34235236921936996,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.3324401252480368,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.33276352807341203,1087.0,-122400.0,-2040.0,-34.0
-33.0,0.3365470713496813,1088.0,-118800.0,-1980.0,-33.0
-32.0,0.346711864829391,1089.0,-115200.0,-1920.0,-32.0
-31.0,0.342366149415051,1090.0,-111600.0,-1860.0,-31.0
