lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.41957131003954456,1001.0,-432000.0,-7200.0,-120.0
-119.0,0.4212875499100291,1002.0,-428400.0,-7140.0,-119.0
-118.0,0.42852748530009355,1003.0,-424800.0,-7080.0,-118.0
-117.0,0.4379636269587332,1004.0,-421200.0,-7020.0,-117.0
-116.0,0.45603155645836585,1005.0,-417600.0,-6960.0,-116.0
-115.0,0.4876920655919783,1006.0,-414000.0,-6900.0,-115.0
-114.0,0.5095486845520022,1007.0,-410400.0,-6840.0,-114.0
-113.0,0.520182506562739,1008.0,-406800.0,-6780.0,-113.0
-112.0,0.5021239076370762,1009.0,-403200.0,-6720.0,-112.0
-111.0,0.4739978815758593,1010.0,-399600.0,-6660.0,-111.0
-110.0,0.44672698129475985,1011.0,-396000.0,-6600.0,-110.0
-109.0,0.4155912092651007,1012.0,-392400.0,-6540.0,-109.0
-108.0,0.40010996984476366,1013.0,-388800.0,-6480.0,-108.0
-107.0,0.3780618053117322,1014.0,-385200.0,-6420.0,-107.0
-106.0,0.3700546350194075,1015.0,-381600.0,-6360.0,-106.0
-105.0,0.3751680702490754,1016.0,-378000.0,-6300.0,-105.0
-104.0,0.3858990461622377,1017.0,-374400.0,-6240.0,-104.0
-103.0,0.40246123285402036,1018.0,-370800.0,-6180.0,-103.0
-102.0,0.409541133897262,1019.0,-367200.0,-6120.0,-102.0
-101.0,0.41941886925531263,1020.0,-363600.0,-6060.0,-101.0
-100.0,0.41926001718076333,1021.0,-360000.0,-6000.0,-100.0
-99.0,0.4124262306795356,1022.0,-356400.0,-5940.0,-99.0
-98.0,0.3956282556119226,1023.0,-352800.0,-5880.0,-98.0
-97.0,0.3920097613728999,1024.0,-349200.0,-5820.0,-97.0
-96.0,0.38874110276705237,1025.0,-345600.0,-5760.0,-96.0
-95.0,0.39456209426473465,1026.0,-342000.0,-5700.0,-95.0
-94.0,0.39825855675835026,1027.0,-338400.0,-5640.0,-94.0
-93.0,0.40089105838437095,1028.0,-334800.0,-5580.0,-93.0
-92.0,0.415369640752547,1029.0,-331200.0,-5520.0,-92.0
-91.0,0.43852621147596565,1030.0,-327600.0,-5460.0,-91.0
-90.0,0.46587685546117935,1031.0,-324000.0,-5400.0,-90.0
-89.0,0.47096243361206397,1032.0,-320400.0,-5340.0,-89.0
-88.0,0.4604822072977907,1033.0,-316800.0,-5280.0,-88.0
-87.0,0.43616204938889086,1034.0,-313200.0,-5220.0,-87.0
-86.0,0.41129320591038365,1035.0,-309600.0,-5160.0,-86.0
-85.0,0.3805436013080869,1036.0,-306000.0,-5100.0,-85.0
-84.0,0.36018102355523274,1037.0,-302400.0,-5040.0,-84.0
-83.0,0.34600575035053854,1038.0,-298800.0,-4980.0,-83.0
-82.0,0.3377049813034722,1039.0,-295200.0,-4920.0,-82.0
