item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,0.006078318667266625,15.0,0.011854978854906693,-138.0,0.41901027916735445,-138.0,0.41901027916735445,6.0,0.4031588910674973,-138.0,0.41901027916735445
4.6x30mm AP SX,14.0,0.015447454659461192,16.0,0.00463744193840325,30.0,0.41690185468743357,30.0,0.41690185468743357,30.0,0.41690185468743357,-5.0,0.3664371770842202
5.56x45mm M995,11.0,8.439225475127739e-07,17.0,2.394904892564446e-07,151.0,0.5579579039770323,151.0,0.5579579039770323,151.0,0.5579579039770323,-17.0,0.46762394737045904
5.7x28mm SS190,12.0,0.000996604792989861,16.0,4.066681566726759e-06,6.0,0.29696508301838304,6.0,0.29696508301838304,6.0,0.29696508301838304,-18.0,0.2783785242540554
5.8x42mm DVC12,14.0,5.325339425283637e-07,18.0,1.6689814785485402e-07,7.0,0.335113067488075,7.0,0.335113067488075,7.0,0.335113067488075,-17.0,0.3097030442022762
6.8x51mm Hybrid,12.0,0.003083716115322466,15.0,4.7049269498042565e-05,-137.0,0.54744172443137,-137.0,0.54744172443137,7.0,0.33533193715534326,-137.0,0.54744172443137
7.62x39mm AP,12.0,0.00017761063160820416,15.0,2.549570315940264e-06,168.0,0.5701203859594299,168.0,0.5701203859594299,168.0,0.5701203859594299,-12.0,0.46177570123884243
7.62x51mm M62,10.0,1.5395771571527614e-06,18.0,0.0003148415604604272,55.0,0.7060730122703865,55.0,0.7060730122703865,55.0,0.7060730122703865,-17.0,0.6798436229123337
7.62x54R BT,17.0,0.07954288201699222,72.0,3.1858870811172226e-26,6.0,0.6520776149133645,6.0,0.6520776149133645,6.0,0.6520776149133645,-18.0,0.651040623994983
9x39mm BP,13.0,1.337859605055458e-05,72.0,1.4326079490365138e-07,54.0,0.3914735495123635,54.0,0.3914735495123635,54.0,0.3914735495123635,-17.0,0.30662219283314684
