item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,1141.0,0.35500151045418993,3.1925269815174697e-35,0.2419250308987764,1.1678136758328921e-16
4.6x30mm AP SX,1141.0,0.33204052481373825,9.062407104449894e-31,0.25280791608701747,4.2684995941384645e-18
5.56x45mm M995,1141.0,0.44577182721018704,8.519565450297094e-57,0.29237909011923313,6.334193809792515e-24
5.7x28mm SS190,1141.0,0.19088628737702867,7.995499179180276e-11,0.14777733483153707,5.33640301230446e-07
5.8x42mm DVC12,1141.0,0.2682029230779226,2.997918497087137e-20,0.20801321968611974,1.279784578367413e-12
6.8x51mm Hybrid,1141.0,0.2852597442629303,8.353946967318618e-23,0.161963589990331,3.7703983504308576e-08
7.62x39mm AP,1141.0,0.4568247019462728,6.625120225601122e-60,0.31660715945293166,5.556867180005148e-28
7.62x51mm M62,1141.0,0.6567027832810958,9.544212037966901e-142,0.3855371703006545,9.664312956150113e-42
7.62x54R BT,1141.0,0.6409498459963936,5.294580769266874e-133,0.3709997623021695,1.50065202974831e-38
9x39mm BP,1141.0,0.2580799069407552,8.1072035614131095e-19,0.22700938284093525,8.411721415025706e-15
