lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.03360583046106763,961.0,-604800.0,-10080.0,-168.0
-167.0,0.05147695403505405,962.0,-601200.0,-10020.0,-167.0
-166.0,0.05800182088003037,963.0,-597600.0,-9960.0,-166.0
-165.0,0.08459368217258988,964.0,-594000.0,-9900.0,-165.0
-164.0,0.12352858922610829,965.0,-590400.0,-9840.0,-164.0
-163.0,0.17505663422296294,966.0,-586800.0,-9780.0,-163.0
-162.0,0.20757519944289693,967.0,-583200.0,-9720.0,-162.0
-161.0,0.21621559224091555,968.0,-579600.0,-9660.0,-161.0
-160.0,0.1694275675953582,969.0,-576000.0,-9600.0,-160.0
-159.0,0.1338739200407259,970.0,-572400.0,-9540.0,-159.0
-158.0,0.11475450826189093,971.0,-568800.0,-9480.0,-158.0
-157.0,0.07175617596782342,972.0,-565200.0,-9420.0,-157.0
-156.0,0.039133050809265296,973.0,-561600.0,-9360.0,-156.0
-155.0,0.04566248269746051,974.0,-558000.0,-9300.0,-155.0
-154.0,0.05802659706110141,975.0,-554400.0,-9240.0,-154.0
-153.0,0.06440351366372017,976.0,-550800.0,-9180.0,-153.0
-152.0,0.09206979725837483,977.0,-547200.0,-9120.0,-152.0
-151.0,0.12434905295799475,978.0,-543600.0,-9060.0,-151.0
-150.0,0.13657942015646404,979.0,-540000.0,-9000.0,-150.0
-149.0,0.1149068163942522,980.0,-536400.0,-8940.0,-149.0
-148.0,0.08752907810859988,981.0,-532800.0,-8880.0,-148.0
-147.0,0.07053549395449378,982.0,-529200.0,-8820.0,-147.0
-146.0,0.07653071740665468,983.0,-525600.0,-8760.0,-146.0
-145.0,0.0812017643730622,984.0,-522000.0,-8700.0,-145.0
-144.0,0.07763664338921493,985.0,-518400.0,-8640.0,-144.0
-143.0,0.08113172979841285,986.0,-514800.0,-8580.0,-143.0
-142.0,0.09095772126537315,987.0,-511200.0,-8520.0,-142.0
-141.0,0.10555876811901707,988.0,-507600.0,-8460.0,-141.0
-140.0,0.13082839952250405,989.0,-504000.0,-8400.0,-140.0
-139.0,0.1654888386934216,990.0,-500400.0,-8340.0,-139.0
-138.0,0.2008529748108088,991.0,-496800.0,-8280.0,-138.0
-137.0,0.1919125922237244,992.0,-493200.0,-8220.0,-137.0
-136.0,0.16363087001709967,993.0,-489600.0,-8160.0,-136.0
-135.0,0.12470281348800294,994.0,-486000.0,-8100.0,-135.0
-134.0,0.10645665634190654,995.0,-482400.0,-8040.0,-134.0
-133.0,0.08909662782337953,996.0,-478800.0,-7980.0,-133.0
-132.0,0.05926513924334652,997.0,-475200.0,-7920.0,-132.0
-131.0,0.036505900443084084,998.0,-471600.0,-7860.0,-131.0
-130.0,0.06084340417383799,999.0,-468000.0,-7800.0,-130.0
-129.0,0.07415256014610798,1000.0,-464400.0,-7740.0,-129.0
-128.0,0.08994645243722241,1001.0,-460800.0,-7680.0,-128.0
-127.0,0.10480375624192632,1002.0,-457200.0,-7620.0,-127.0
-126.0,0.11174031822106598,1003.0,-453600.0,-7560.0,-126.0
-125.0,0.11050729131266311,1004.0,-450000.0,-7500.0,-125.0
-124.0,0.08623979003001922,1005.0,-446400.0,-7440.0,-124.0
-123.0,0.07257456346939836,1006.0,-442800.0,-7380.0,-123.0
-122.0,0.0698564291591856,1007.0,-439200.0,-7320.0,-122.0
-121.0,0.06559659078823092,1008.0,-435600.0,-7260.0,-121.0
-120.0,0.06414313280890992,1009.0,-432000.0,-7200.0,-120.0
-119.0,0.07323848801465498,1010.0,-428400.0,-7140.0,-119.0
-118.0,0.07901458653142066,1011.0,-424800.0,-7080.0,-118.0
-117.0,0.09580890561644809,1012.0,-421200.0,-7020.0,-117.0
-116.0,0.11909892959637253,1013.0,-417600.0,-6960.0,-116.0
-115.0,0.15419796462285826,1014.0,-414000.0,-6900.0,-115.0
-114.0,0.18531921055958667,1015.0,-410400.0,-6840.0,-114.0
-113.0,0.1828340874217633,1016.0,-406800.0,-6780.0,-113.0
-112.0,0.15668092465143085,1017.0,-403200.0,-6720.0,-112.0
-111.0,0.12262401142564507,1018.0,-399600.0,-6660.0,-111.0
-110.0,0.1025523382046866,1019.0,-396000.0,-6600.0,-110.0
-109.0,0.08380755553535789,1020.0,-392400.0,-6540.0,-109.0
-108.0,0.05881102966415081,1021.0,-388800.0,-6480.0,-108.0
-107.0,0.049839860607955075,1022.0,-385200.0,-6420.0,-107.0
-106.0,0.06945976896268775,1023.0,-381600.0,-6360.0,-106.0
-105.0,0.08541213514813802,1024.0,-378000.0,-6300.0,-105.0
-104.0,0.11151158247702961,1025.0,-374400.0,-6240.0,-104.0
-103.0,0.13034866967306863,1026.0,-370800.0,-6180.0,-103.0
-102.0,0.13218768685510365,1027.0,-367200.0,-6120.0,-102.0
-101.0,0.127655047655561,1028.0,-363600.0,-6060.0,-101.0
-100.0,0.11270881189954715,1029.0,-360000.0,-6000.0,-100.0
-99.0,0.10430908060633814,1030.0,-356400.0,-5940.0,-99.0
-98.0,0.10471815459148806,1031.0,-352800.0,-5880.0,-98.0
-97.0,0.09032826909906592,1032.0,-349200.0,-5820.0,-97.0
-96.0,0.0922658714377678,1033.0,-345600.0,-5760.0,-96.0
-95.0,0.1041079421712808,1034.0,-342000.0,-5700.0,-95.0
-94.0,0.10671757768984569,1035.0,-338400.0,-5640.0,-94.0
-93.0,0.12500014303388857,1036.0,-334800.0,-5580.0,-93.0
-92.0,0.14541521822568737,1037.0,-331200.0,-5520.0,-92.0
-91.0,0.17821837762819454,1038.0,-327600.0,-5460.0,-91.0
-90.0,0.21008393749955856,1039.0,-324000.0,-5400.0,-90.0
-89.0,0.20948888901038715,1040.0,-320400.0,-5340.0,-89.0
-88.0,0.1798063813762769,1041.0,-316800.0,-5280.0,-88.0
-87.0,0.16014386108746403,1042.0,-313200.0,-5220.0,-87.0
-86.0,0.1424023228315095,1043.0,-309600.0,-5160.0,-86.0
-85.0,0.12656435312007314,1044.0,-306000.0,-5100.0,-85.0
-84.0,0.10420945212661602,1045.0,-302400.0,-5040.0,-84.0
-83.0,0.10425262349778387,1046.0,-298800.0,-4980.0,-83.0
-82.0,0.11033102903831066,1047.0,-295200.0,-4920.0,-82.0
-81.0,0.13282808173367355,1048.0,-291600.0,-4860.0,-81.0
-80.0,0.13242646006533565,1049.0,-288000.0,-4800.0,-80.0
-79.0,0.16097491900028058,1050.0,-284400.0,-4740.0,-79.0
-78.0,0.16800168628910017,1051.0,-280800.0,-4680.0,-78.0
-77.0,0.1540435087416888,1052.0,-277200.0,-4620.0,-77.0
-76.0,0.1442305573449585,1053.0,-273600.0,-4560.0,-76.0
-75.0,0.13696218631964874,1054.0,-270000.0,-4500.0,-75.0
-74.0,0.1393317205422539,1055.0,-266400.0,-4440.0,-74.0
-73.0,0.13840901426364077,1056.0,-262800.0,-4380.0,-73.0
-72.0,0.12928882010397102,1057.0,-259200.0,-4320.0,-72.0
-71.0,0.13329279213658446,1058.0,-255600.0,-4260.0,-71.0
-70.0,0.13250547040741742,1059.0,-252000.0,-4200.0,-70.0
-69.0,0.1499685238076134,1060.0,-248400.0,-4140.0,-69.0
-68.0,0.17257683602754922,1061.0,-244800.0,-4080.0,-68.0
-67.0,0.19989602498181944,1062.0,-241200.0,-4020.0,-67.0
-66.0,0.2276765925497858,1063.0,-237600.0,-3960.0,-66.0
-65.0,0.2260025082193412,1064.0,-234000.0,-3900.0,-65.0
-64.0,0.20048244054252187,1065.0,-230400.0,-3840.0,-64.0
-63.0,0.17300786446523553,1066.0,-226800.0,-3780.0,-63.0
-62.0,0.15861390617896848,1067.0,-223200.0,-3720.0,-62.0
-61.0,0.14474582769506258,1068.0,-219600.0,-3660.0,-61.0
-60.0,0.12397230812328344,1069.0,-216000.0,-3600.0,-60.0
-59.0,0.11808476203081963,1070.0,-212400.0,-3540.0,-59.0
-58.0,0.13301378324239657,1071.0,-208800.0,-3480.0,-58.0
-57.0,0.1399160498673757,1072.0,-205200.0,-3420.0,-57.0
-56.0,0.16287989457220886,1073.0,-201600.0,-3360.0,-56.0
-55.0,0.17697991267483876,1074.0,-198000.0,-3300.0,-55.0
-54.0,0.17907543583663907,1075.0,-194400.0,-3240.0,-54.0
-53.0,0.17558978523637803,1076.0,-190800.0,-3180.0,-53.0
-52.0,0.15929607784539626,1077.0,-187200.0,-3120.0,-52.0
-51.0,0.1446875229492186,1078.0,-183600.0,-3060.0,-51.0
-50.0,0.14018493508955443,1079.0,-180000.0,-3000.0,-50.0
-49.0,0.14886255237493534,1080.0,-176400.0,-2940.0,-49.0
-48.0,0.14660207317564491,1081.0,-172800.0,-2880.0,-48.0
-47.0,0.1481493439908218,1082.0,-169200.0,-2820.0,-47.0
-46.0,0.15540796113333394,1083.0,-165600.0,-2760.0,-46.0
-45.0,0.17151841650482794,1084.0,-162000.0,-2700.0,-45.0
-44.0,0.19457631419789811,1085.0,-158400.0,-2640.0,-44.0
-43.0,0.21793505592946122,1086.0,-154800.0,-2580.0,-43.0
-42.0,0.247242558315797,1087.0,-151200.0,-2520.0,-42.0
-41.0,0.23485023814462017,1088.0,-147600.0,-2460.0,-41.0
-40.0,0.21295021964757113,1089.0,-144000.0,-2400.0,-40.0
-39.0,0.18859604123222382,1090.0,-140400.0,-2340.0,-39.0
-38.0,0.17667978839133117,1091.0,-136800.0,-2280.0,-38.0
-37.0,0.157635075332166,1092.0,-133200.0,-2220.0,-37.0
-36.0,0.13857470033169533,1093.0,-129600.0,-2160.0,-36.0
-35.0,0.13263733649757828,1094.0,-126000.0,-2100.0,-35.0
-34.0,0.13782339356364579,1095.0,-122400.0,-2040.0,-34.0
-33.0,0.14710478468648605,1096.0,-118800.0,-1980.0,-33.0
-32.0,0.16399922635638067,1097.0,-115200.0,-1920.0,-32.0
-31.0,0.18138157914470185,1098.0,-111600.0,-1860.0,-31.0
-30.0,0.18675019492463354,1099.0,-108000.0,-1800.0,-30.0
-29.0,0.18214901141204382,1100.0,-104400.0,-1740.0,-29.0
-28.0,0.1846477677631021,1101.0,-100800.0,-1680.0,-28.0
-27.0,0.17255295409551225,1102.0,-97200.0,-1620.0,-27.0
-26.0,0.18129607294221914,1103.0,-93600.0,-1560.0,-26.0
-25.0,0.18093002885032783,1104.0,-90000.0,-1500.0,-25.0
-24.0,0.17210569099715148,1105.0,-86400.0,-1440.0,-24.0
-23.0,0.18371498475879766,1106.0,-82800.0,-1380.0,-23.0
-22.0,0.1946004128581601,1107.0,-79200.0,-1320.0,-22.0
-21.0,0.20927453543069438,1108.0,-75600.0,-1260.0,-21.0
-20.0,0.22490318568402218,1109.0,-72000.0,-1200.0,-20.0
-19.0,0.2505364345631462,1110.0,-68400.0,-1140.0,-19.0
-18.0,0.27757258045514693,1111.0,-64800.0,-1080.0,-18.0
-17.0,0.26525843494105794,1112.0,-61200.0,-1020.0,-17.0
