lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-56.0,-0.2422049316915791,135.0,-1209600.0,-20160.0,-336.0
-55.0,0.12355661992448481,136.0,-1188000.0,-19800.0,-330.0
-54.0,-0.19165721057968424,137.0,-1166400.0,-19440.0,-324.0
-53.0,-0.23294429198499694,138.0,-1144800.0,-19080.0,-318.0
-52.0,-0.2127270571165914,139.0,-1123200.0,-18720.0,-312.0
-51.0,0.19182407739297133,140.0,-1101600.0,-18360.0,-306.0
-50.0,-0.14936873560913258,141.0,-1080000.0,-18000.0,-300.0
-49.0,-0.21605767170758786,142.0,-1058400.0,-17640.0,-294.0
-48.0,-0.1322878531063619,143.0,-1036800.0,-17280.0,-288.0
-47.0,0.23295871698506251,144.0,-1015200.0,-16920.0,-282.0
-46.0,-0.18495074736112058,145.0,-993600.0,-16560.0,-276.0
-45.0,-0.2129143811311054,146.0,-972000.0,-16200.0,-270.0
-44.0,-0.09664953050933897,147.0,-950400.0,-15840.0,-264.0
-43.0,0.21963563282852133,148.0,-928800.0,-15480.0,-258.0
-42.0,-0.16835703571687155,149.0,-907200.0,-15120.0,-252.0
-41.0,-0.1640120952890503,150.0,-885600.0,-14760.0,-246.0
-40.0,-0.07503410401606206,151.0,-864000.0,-14400.0,-240.0
-39.0,0.1986143352023444,152.0,-842400.0,-14040.0,-234.0
-38.0,-0.179713463225892,153.0,-820800.0,-13680.0,-228.0
-37.0,-0.12212319688722735,154.0,-799200.0,-13320.0,-222.0
-36.0,-0.04673166899534097,155.0,-777600.0,-12960.0,-216.0
-35.0,0.1758650750675544,156.0,-756000.0,-12600.0,-210.0
-34.0,-0.20737324862114315,157.0,-734400.0,-12240.0,-204.0
-33.0,-0.12665388933031194,158.0,-712800.0,-11880.0,-198.0
-32.0,-0.024323363280135908,159.0,-691200.0,-11520.0,-192.0
-31.0,0.18385712256712805,160.0,-669600.0,-11160.0,-186.0
-30.0,-0.09298626153020444,161.0,-648000.0,-10800.0,-180.0
-29.0,-0.03386720363330087,162.0,-626400.0,-10440.0,-174.0
-28.0,0.005328435016696824,163.0,-604800.0,-10080.0,-168.0
-27.0,0.14828877536951607,164.0,-583200.0,-9720.0,-162.0
-26.0,-0.04002633634100233,165.0,-561600.0,-9360.0,-156.0
-25.0,0.006009975117075816,166.0,-540000.0,-9000.0,-150.0
-24.0,0.039951858567792244,167.0,-518400.0,-8640.0,-144.0
-23.0,0.11970142236092442,168.0,-496800.0,-8280.0,-138.0
-22.0,-0.02993962251666487,169.0,-475200.0,-7920.0,-132.0
-21.0,0.013662697373099539,170.0,-453600.0,-7560.0,-126.0
-20.0,0.04796121753925697,171.0,-432000.0,-7200.0,-120.0
-19.0,0.12331528374863177,172.0,-410400.0,-6840.0,-114.0
