item,usage_rate,n_experiments,lag_mean_h,lag_median_h,lag_std_h,corr_mean,corr_median,share_peak_in_96_168h,share_granger_p_lt_0_05,corr_lag_vs_maxlag
6.8x51mm Hybrid,0.086,8,6.75,7.0,0.4629100498862757,0.3434702131635231,0.3352454317454208,0.0,0.875,-0.715581398296974
5.8x42mm DVC12,0.062,8,6.75,7.0,0.4629100498862757,0.3382194592173794,0.3339571451841844,0.0,1.0,-0.715581398296974
5.56x45mm M995,0.034,8,109.75,127.0,74.61663927799789,0.5418740536933783,0.5402893612933954,0.5,1.0,0.9675459445539917
4.6x30mm AP SX,0.019,8,30.0,30.0,12.828539611796371,0.4247687563890969,0.4164942397614232,0.0,0.875,0.3913968438320653
7.62x51mm M62,0.016,8,43.5,55.0,22.60214907607555,0.7070912560825068,0.7057493365929202,0.0,1.0,0.6911309242108149
9x39mm BP,0.015,8,45.125,54.0,17.739685131687896,0.3852493320722403,0.39131839623614945,0.0,1.0,0.6176769940475566
12.7x55mm PS12B,0.011000000000000001,8,6.0,6.0,0.0,0.40559899574371494,0.4027196079940078,0.0,0.875,
5.7x28mm SS190,0.01,8,6.0,6.0,0.0,0.28883604391970863,0.29723686917944525,0.0,1.0,
7.62x54R BT,0.006,8,8.75,6.0,8.614771367499298,0.6438143759938735,0.6519792058239628,0.0,0.0,0.7912888615264669
7.62x39mm AP,,8,126.75,126.0,94.78358809112773,0.5403890220791295,0.5487286395161723,0.5,1.0,0.9960184123066528
