lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,-0.11119115510194448,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.052304067487827184,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.005176869662548931,534.0,-79200.0,-1320.0,-22.0
-21.0,0.05334489057861363,535.0,-75600.0,-1260.0,-21.0
-20.0,0.09045973618943402,536.0,-72000.0,-1200.0,-20.0
-19.0,0.0852335098695589,537.0,-68400.0,-1140.0,-19.0
-18.0,0.07301128760092677,538.0,-64800.0,-1080.0,-18.0
-17.0,0.046132996073173706,539.0,-61200.0,-1020.0,-17.0
-16.0,-0.0010248653036362624,540.0,-57600.0,-960.0,-16.0
-15.0,-0.06522620370577412,541.0,-54000.0,-900.0,-15.0
-14.0,-0.16246370003675228,542.0,-50400.0,-840.0,-14.0
-13.0,-0.23206326988634832,543.0,-46800.0,-780.0,-13.0
-12.0,-0.288384008374363,544.0,-43200.0,-720.0,-12.0
-11.0,-0.34943509796471717,545.0,-39600.0,-660.0,-11.0
-10.0,-0.38504036740166336,546.0,-36000.0,-600.0,-10.0
-9.0,-0.3791076797720711,547.0,-32400.0,-540.0,-9.0
-8.0,-0.3519841853046205,548.0,-28800.0,-480.0,-8.0
-7.0,-0.3145393894147826,549.0,-25200.0,-420.0,-7.0
-6.0,-0.31648682436060455,550.0,-21600.0,-360.0,-6.0
-5.0,-0.3462776279672088,551.0,-18000.0,-300.0,-5.0
-4.0,-0.35099301837171026,552.0,-14400.0,-240.0,-4.0
-3.0,-0.3206764609139523,555.0,-10800.0,-180.0,-3.0
-2.0,-0.24444211399230276,558.0,-7200.0,-120.0,-2.0
-1.0,-0.17943509667939153,562.0,-3600.0,-60.0,-1.0
0.0,-0.1346322352978609,566.0,0.0,0.0,0.0
1.0,-0.07563809548096975,562.0,3600.0,60.0,1.0
2.0,-0.04632815777940339,558.0,7200.0,120.0,2.0
3.0,0.002033582032158829,555.0,10800.0,180.0,3.0
4.0,0.041200150984833206,552.0,14400.0,240.0,4.0
5.0,0.028752956724385107,551.0,18000.0,300.0,5.0
6.0,0.04218878740901511,550.0,21600.0,360.0,6.0
7.0,0.02058594923414119,549.0,25200.0,420.0,7.0
8.0,-0.027133412934235705,548.0,28800.0,480.0,8.0
9.0,-0.09659203760416814,547.0,32400.0,540.0,9.0
10.0,-0.1874881586330509,546.0,36000.0,600.0,10.0
11.0,-0.23108583075224653,545.0,39600.0,660.0,11.0
12.0,-0.2962758047302725,544.0,43200.0,720.0,12.0
13.0,-0.34219865117230935,543.0,46800.0,780.0,13.0
14.0,-0.371444383340316,542.0,50400.0,840.0,14.0
15.0,-0.36193917787481794,541.0,54000.0,900.0,15.0
16.0,-0.3534594307128806,540.0,57600.0,960.0,16.0
17.0,-0.315319624334229,539.0,61200.0,1020.0,17.0
18.0,-0.30886446581296106,538.0,64800.0,1080.0,18.0
19.0,-0.3327656733206285,537.0,68400.0,1140.0,19.0
20.0,-0.33364277235038375,536.0,72000.0,1200.0,20.0
21.0,-0.3040085987549317,535.0,75600.0,1260.0,21.0
22.0,-0.23627448937214554,534.0,79200.0,1320.0,22.0
23.0,-0.17470123285084593,533.0,82800.0,1380.0,23.0
24.0,-0.13508461623589552,532.0,86400.0,1440.0,24.0
