lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,-0.16889311304299168,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.13218811119519727,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.08105384474112862,534.0,-79200.0,-1320.0,-22.0
-21.0,-0.04093310574823089,535.0,-75600.0,-1260.0,-21.0
-20.0,0.01525845992439904,536.0,-72000.0,-1200.0,-20.0
-19.0,0.0811116483681674,537.0,-68400.0,-1140.0,-19.0
-18.0,0.1418130641871104,538.0,-64800.0,-1080.0,-18.0
-17.0,0.16156512223727532,539.0,-61200.0,-1020.0,-17.0
-16.0,0.13493977731509563,540.0,-57600.0,-960.0,-16.0
-15.0,0.052894448020046524,541.0,-54000.0,-900.0,-15.0
-14.0,-0.0038522266005577032,542.0,-50400.0,-840.0,-14.0
-13.0,-0.09007983473279003,543.0,-46800.0,-780.0,-13.0
-12.0,-0.18285204312727385,544.0,-43200.0,-720.0,-12.0
-11.0,-0.2542541370227503,545.0,-39600.0,-660.0,-11.0
-10.0,-0.2922413340879468,546.0,-36000.0,-600.0,-10.0
-9.0,-0.29422626833216087,547.0,-32400.0,-540.0,-9.0
-8.0,-0.2558866558192981,548.0,-28800.0,-480.0,-8.0
-7.0,-0.20294359426929126,549.0,-25200.0,-420.0,-7.0
-6.0,-0.2067861400515329,550.0,-21600.0,-360.0,-6.0
-5.0,-0.2585249083361329,551.0,-18000.0,-300.0,-5.0
-4.0,-0.30644857901008976,552.0,-14400.0,-240.0,-4.0
-3.0,-0.2970466683462777,555.0,-10800.0,-180.0,-3.0
-2.0,-0.2754825970348049,558.0,-7200.0,-120.0,-2.0
-1.0,-0.2255959042870211,562.0,-3600.0,-60.0,-1.0
0.0,-0.199339986864092,566.0,0.0,0.0,0.0
1.0,-0.1508945357120588,562.0,3600.0,60.0,1.0
2.0,-0.10162881936399043,558.0,7200.0,120.0,2.0
3.0,-0.05530108942038541,555.0,10800.0,180.0,3.0
4.0,-0.007782311979279636,552.0,14400.0,240.0,4.0
5.0,0.06114693177802934,551.0,18000.0,300.0,5.0
6.0,0.10777990657736568,550.0,21600.0,360.0,6.0
7.0,0.12844334624439047,549.0,25200.0,420.0,7.0
8.0,0.11018068305046201,548.0,28800.0,480.0,8.0
9.0,0.024268233426130242,547.0,32400.0,540.0,9.0
10.0,-0.03722572334660919,546.0,36000.0,600.0,10.0
11.0,-0.11788123646173511,545.0,39600.0,660.0,11.0
12.0,-0.20645881522218584,544.0,43200.0,720.0,12.0
13.0,-0.2655057008878426,543.0,46800.0,780.0,13.0
14.0,-0.2965930396388726,542.0,50400.0,840.0,14.0
15.0,-0.2979534071646117,541.0,54000.0,900.0,15.0
16.0,-0.2575577482398833,540.0,57600.0,960.0,16.0
17.0,-0.20488578301228483,539.0,61200.0,1020.0,17.0
18.0,-0.20653716804416422,538.0,64800.0,1080.0,18.0
19.0,-0.25867642261931506,537.0,68400.0,1140.0,19.0
20.0,-0.3062131913976441,536.0,72000.0,1200.0,20.0
21.0,-0.3068058517291976,535.0,75600.0,1260.0,21.0
22.0,-0.2753859279188264,534.0,79200.0,1320.0,22.0
23.0,-0.22109651353007043,533.0,82800.0,1380.0,23.0
24.0,-0.18553272884395153,532.0,86400.0,1440.0,24.0
