lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.10913746145944479,532.0,-86400.0,-1440.0,-24.0
-23.0,0.18189683517814983,533.0,-82800.0,-1380.0,-23.0
-22.0,0.246549994989571,534.0,-79200.0,-1320.0,-22.0
-21.0,0.30963789284165893,535.0,-75600.0,-1260.0,-21.0
-20.0,0.38279868013097956,536.0,-72000.0,-1200.0,-20.0
-19.0,0.42366540628447874,537.0,-68400.0,-1140.0,-19.0
-18.0,0.43867217173698014,538.0,-64800.0,-1080.0,-18.0
-17.0,0.3886845717655318,539.0,-61200.0,-1020.0,-17.0
-16.0,0.31488819799441253,540.0,-57600.0,-960.0,-16.0
-15.0,0.23983758070574107,541.0,-54000.0,-900.0,-15.0
-14.0,0.18128152156578173,542.0,-50400.0,-840.0,-14.0
-13.0,0.12788757466448422,543.0,-46800.0,-780.0,-13.0
-12.0,0.07485312781681738,544.0,-43200.0,-720.0,-12.0
-11.0,0.031512672963039064,545.0,-39600.0,-660.0,-11.0
-10.0,0.0022654426065775372,546.0,-36000.0,-600.0,-10.0
-9.0,-0.014963318206227807,547.0,-32400.0,-540.0,-9.0
-8.0,-0.005700564349367185,548.0,-28800.0,-480.0,-8.0
-7.0,0.017826938075181147,549.0,-25200.0,-420.0,-7.0
-6.0,0.025563203534284595,550.0,-21600.0,-360.0,-6.0
-5.0,-0.018889184517842456,551.0,-18000.0,-300.0,-5.0
-4.0,-0.04247664639174426,552.0,-14400.0,-240.0,-4.0
-3.0,-0.03318117972853724,555.0,-10800.0,-180.0,-3.0
-2.0,0.02037217985928996,558.0,-7200.0,-120.0,-2.0
-1.0,0.08037354116163845,562.0,-3600.0,-60.0,-1.0
0.0,0.13500071429620478,566.0,0.0,0.0,0.0
1.0,0.2052704500352911,562.0,3600.0,60.0,1.0
2.0,0.2702494248753806,558.0,7200.0,120.0,2.0
3.0,0.3294231196416473,555.0,10800.0,180.0,3.0
4.0,0.3972101665766978,552.0,14400.0,240.0,4.0
5.0,0.4337803484743106,551.0,18000.0,300.0,5.0
6.0,0.4486211811181062,550.0,21600.0,360.0,6.0
7.0,0.40767633540054776,549.0,25200.0,420.0,7.0
8.0,0.3401775229955542,548.0,28800.0,480.0,8.0
9.0,0.26740051866145087,547.0,32400.0,540.0,9.0
10.0,0.20387051623333116,546.0,36000.0,600.0,10.0
11.0,0.15444567034372542,545.0,39600.0,660.0,11.0
12.0,0.10880754959088534,544.0,43200.0,720.0,12.0
13.0,0.06874425823813093,543.0,46800.0,780.0,13.0
14.0,0.04492812325551401,542.0,50400.0,840.0,14.0
15.0,0.03067246779715983,541.0,54000.0,900.0,15.0
16.0,0.03644025564889161,540.0,57600.0,960.0,16.0
17.0,0.05877872839517676,539.0,61200.0,1020.0,17.0
18.0,0.05607424058335243,538.0,64800.0,1080.0,18.0
19.0,0.016633117064890214,537.0,68400.0,1140.0,19.0
20.0,-0.013194031455883447,536.0,72000.0,1200.0,20.0
21.0,-0.008653468284377581,535.0,75600.0,1260.0,21.0
22.0,0.032977977321188685,534.0,79200.0,1320.0,22.0
23.0,0.08809202801558605,533.0,82800.0,1380.0,23.0
24.0,0.1434458360916476,532.0,86400.0,1440.0,24.0
