lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.9257079932182857,0.008702669182878285
2.0,0.8462134784151902,0.16703359310473495
3.0,0.9595021198306756,0.10086810102249397
4.0,0.9029993059288873,0.26086026007863705
5.0,0.7985784029875026,0.4701530851711919
6.0,1.179641733983612e-05,5.601524353513578
7.0,4.37383082965153e-28,23.637634800770698
8.0,3.744214579970233e-46,36.418464529828405
9.0,1.0506049998187823e-46,33.43440263577836
10.0,1.4626945893183647e-48,32.027772589441724
11.0,3.832334963586242e-52,32.142881634043796
12.0,1.058686570874328e-56,33.025942393556164
13.0,1.1503505923909841e-70,40.49147471900666
14.0,5.356393207593275e-76,41.846086118940796
15.0,1.9159219989246817e-74,38.55398955240382
16.0,2.217279269163384e-67,32.32023855178059
17.0,6.393685780487718e-55,24.17451824110336
18.0,2.793630715115994e-56,23.81212636624899
19.0,1.270445029793711e-56,23.02799956328434
20.0,1.50530485740057e-47,18.234360924049117
21.0,4.2358880984445204e-38,13.957123626623527
22.0,1.1629199216343406e-24,8.940828935063918
23.0,4.647614027721158e-23,8.191812887360628
24.0,3.2052812657017735e-14,5.375748006974456
