item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-20.0,0.09045973618943402,-10.0,-0.38504036740166336,6.0,0.04218878740901511,-20.0,0.09045973618943402
4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-18.0,0.1357268675971555,-10.0,-0.47574215961138316,6.0,0.10494323724699557,-18.0,0.1357268675971555
5.56x45mm M995,14.0,7.052574041671964e-54,17.0,2.4812844163034047e-40,-17.0,0.6434676971934971,-17.0,0.6434676971934971,7.0,0.6034938238443309,-17.0,0.6434676971934971
5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-17.0,0.16156512223727532,21.0,-0.3068058517291976,7.0,0.12844334624439047,-17.0,0.16156512223727532
5.8x42mm DVC12,12.0,2.2227985592681357e-35,17.0,3.578554754576519e-32,-18.0,0.17252505728837114,14.0,-0.3234994493236715,6.0,0.12176181972533459,-18.0,0.17252505728837114
6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.6428739728794515e-34,-17.0,0.4286313629755915,-17.0,0.4286313629755915,7.0,0.37931781642876444,-17.0,0.4286313629755915
7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,7.0,0.5667885970003542,7.0,0.5667885970003542,7.0,0.5667885970003542,-17.0,0.5551818631655042
7.62x51mm M62,13.0,3.6833841122700947e-62,17.0,9.578627049047003e-63,7.0,0.6706318375997747,7.0,0.6706318375997747,7.0,0.6706318375997747,-17.0,0.663704678892891
7.62x54R BT,8.0,2.618280544468799e-17,17.0,4.8166155631739406e-15,6.0,0.4486211811181062,6.0,0.4486211811181062,6.0,0.4486211811181062,-18.0,0.43867217173698014
9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-17.0,0.2667343116256674,14.0,-0.5936026176904299,7.0,0.22761364581533639,-17.0,0.2667343116256674
