item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,566.0,-0.13463223529786067,0.0013248131149501488,-0.1502258429386868,0.00033520067981032843
4.6x30mm AP SX,566.0,-0.17061681962391456,4.5019673801491704e-05,-0.16647396426492836,6.90347915305761e-05
5.56x45mm M995,566.0,-0.09621117901477612,0.022068373175623792,-0.11488086102206493,0.0062167570697179665
5.7x28mm SS190,566.0,-0.19933998686409166,1.7527852710579388e-06,-0.19501179865439378,2.9514440473367325e-06
5.8x42mm DVC12,566.0,-0.12098196146890262,0.003945537668802087,-0.11575206351997495,0.005833191281823116
6.8x51mm Hybrid,566.0,-0.23291811643713733,2.066553787677538e-08,-0.20902152458621895,5.239964025499525e-07
7.62x39mm AP,566.0,0.27385325395376503,3.405198072587566e-11,0.25444529375183256,8.178410078513787e-10
7.62x51mm M62,566.0,0.17269969893496545,3.617401610128515e-05,0.14201127172756728,0.0007033412951436619
7.62x54R BT,566.0,0.1350007142962048,0.001284510672942637,0.13936844727344747,0.00088548930860313
9x39mm BP,566.0,-0.17466687497203115,2.9352486626883544e-05,-0.17883789043918466,1.8703380236072792e-05
