lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-72.0,-0.03332163246836333,484.0,-259200.0,-4320.0,-72.0
-71.0,0.03194129424007322,485.0,-255600.0,-4260.0,-71.0
-70.0,0.07826559316739548,486.0,-252000.0,-4200.0,-70.0
-69.0,0.14130940718386065,487.0,-248400.0,-4140.0,-69.0
-68.0,0.19340595530316157,488.0,-244800.0,-4080.0,-68.0
-67.0,0.18392965329101787,489.0,-241200.0,-4020.0,-67.0
-66.0,0.1905366766046702,490.0,-237600.0,-3960.0,-66.0
-65.0,0.16855681318364257,491.0,-234000.0,-3900.0,-65.0
-64.0,0.09401901763556612,492.0,-230400.0,-3840.0,-64.0
-63.0,0.016790573803897216,493.0,-226800.0,-3780.0,-63.0
-62.0,-0.0938854106046103,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.1676168815150145,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.24938383637293995,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.2956798818125903,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.33438432986498684,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.3335593535085582,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.32590772353291353,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.2781382105785917,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.28031494501944776,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.3182024629387963,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.31853019561325463,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.2826320246590447,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.2015203761535677,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.1340133270752627,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.07555196839926062,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.013753971563842528,510.0,-169200.0,-2820.0,-47.0
-46.0,0.024889803440959764,510.0,-165600.0,-2760.0,-46.0
-45.0,0.07922881271377957,511.0,-162000.0,-2700.0,-45.0
-44.0,0.13496339542030406,512.0,-158400.0,-2640.0,-44.0
-43.0,0.13351886939202653,513.0,-154800.0,-2580.0,-43.0
-42.0,0.1358716131623512,514.0,-151200.0,-2520.0,-42.0
-41.0,0.09976326590911223,515.0,-147600.0,-2460.0,-41.0
-40.0,0.037720385641175046,516.0,-144000.0,-2400.0,-40.0
-39.0,-0.04260942804771936,517.0,-140400.0,-2340.0,-39.0
-38.0,-0.1431131553169376,518.0,-136800.0,-2280.0,-38.0
-37.0,-0.2151973462765305,519.0,-133200.0,-2220.0,-37.0
-36.0,-0.28164771048967646,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.3305251682338701,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.36680756852629987,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.3677806611003026,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.3497331707653118,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.300880624697708,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.29621747479487265,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.33616741161607266,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.34429495300931573,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.3048135167060929,529.0,-97200.0,-1620.0,-27.0
-26.0,-0.22791653302122802,530.0,-93600.0,-1560.0,-26.0
-25.0,-0.15785092865333633,531.0,-90000.0,-1500.0,-25.0
-24.0,-0.11119115510194448,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.052304067487827184,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.005176869662548931,534.0,-79200.0,-1320.0,-22.0
-21.0,0.05334489057861363,535.0,-75600.0,-1260.0,-21.0
-20.0,0.09045973618943402,536.0,-72000.0,-1200.0,-20.0
-19.0,0.0852335098695589,537.0,-68400.0,-1140.0,-19.0
-18.0,0.07301128760092677,538.0,-64800.0,-1080.0,-18.0
-17.0,0.046132996073173706,539.0,-61200.0,-1020.0,-17.0
-16.0,-0.0010248653036362624,540.0,-57600.0,-960.0,-16.0
-15.0,-0.06522620370577412,541.0,-54000.0,-900.0,-15.0
-14.0,-0.16246370003675228,542.0,-50400.0,-840.0,-14.0
-13.0,-0.23206326988634832,543.0,-46800.0,-780.0,-13.0
-12.0,-0.288384008374363,544.0,-43200.0,-720.0,-12.0
-11.0,-0.34943509796471717,545.0,-39600.0,-660.0,-11.0
-10.0,-0.38504036740166336,546.0,-36000.0,-600.0,-10.0
-9.0,-0.3791076797720711,547.0,-32400.0,-540.0,-9.0
-8.0,-0.3519841853046205,548.0,-28800.0,-480.0,-8.0
-7.0,-0.3145393894147826,549.0,-25200.0,-420.0,-7.0
-6.0,-0.31648682436060455,550.0,-21600.0,-360.0,-6.0
-5.0,-0.3462776279672088,551.0,-18000.0,-300.0,-5.0
-4.0,-0.35099301837171026,552.0,-14400.0,-240.0,-4.0
-3.0,-0.3206764609139523,555.0,-10800.0,-180.0,-3.0
-2.0,-0.24444211399230276,558.0,-7200.0,-120.0,-2.0
-1.0,-0.17943509667939153,562.0,-3600.0,-60.0,-1.0
0.0,-0.1346322352978609,566.0,0.0,0.0,0.0
1.0,-0.07563809548096975,562.0,3600.0,60.0,1.0
2.0,-0.04632815777940339,558.0,7200.0,120.0,2.0
3.0,0.002033582032158829,555.0,10800.0,180.0,3.0
4.0,0.041200150984833206,552.0,14400.0,240.0,4.0
5.0,0.028752956724385107,551.0,18000.0,300.0,5.0
6.0,0.04218878740901511,550.0,21600.0,360.0,6.0
7.0,0.02058594923414119,549.0,25200.0,420.0,7.0
8.0,-0.027133412934235705,548.0,28800.0,480.0,8.0
9.0,-0.09659203760416814,547.0,32400.0,540.0,9.0
10.0,-0.1874881586330509,546.0,36000.0,600.0,10.0
11.0,-0.23108583075224653,545.0,39600.0,660.0,11.0
12.0,-0.2962758047302725,544.0,43200.0,720.0,12.0
13.0,-0.34219865117230935,543.0,46800.0,780.0,13.0
14.0,-0.371444383340316,542.0,50400.0,840.0,14.0
15.0,-0.36193917787481794,541.0,54000.0,900.0,15.0
16.0,-0.3534594307128806,540.0,57600.0,960.0,16.0
17.0,-0.315319624334229,539.0,61200.0,1020.0,17.0
18.0,-0.30886446581296106,538.0,64800.0,1080.0,18.0
19.0,-0.3327656733206285,537.0,68400.0,1140.0,19.0
20.0,-0.33364277235038375,536.0,72000.0,1200.0,20.0
21.0,-0.3040085987549317,535.0,75600.0,1260.0,21.0
22.0,-0.23627448937214554,534.0,79200.0,1320.0,22.0
23.0,-0.17470123285084593,533.0,82800.0,1380.0,23.0
24.0,-0.13508461623589552,532.0,86400.0,1440.0,24.0
25.0,-0.07127697635842858,531.0,90000.0,1500.0,25.0
26.0,-0.032885567536519965,530.0,93600.0,1560.0,26.0
27.0,0.012343324961240597,529.0,97200.0,1620.0,27.0
28.0,0.04720928654604922,528.0,100800.0,1680.0,28.0
29.0,0.033667506414124644,527.0,104400.0,1740.0,29.0
30.0,0.027469916013706876,526.0,108000.0,1800.0,30.0
31.0,0.009008122690898889,525.0,111600.0,1860.0,31.0
32.0,-0.04851283774278485,524.0,115200.0,1920.0,32.0
33.0,-0.11861042234978826,523.0,118800.0,1980.0,33.0
34.0,-0.19290044624181737,522.0,122400.0,2040.0,34.0
35.0,-0.23825359071300412,521.0,126000.0,2100.0,35.0
