lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-72.0,-0.06326095692537836,484.0,-259200.0,-4320.0,-72.0
-71.0,-0.01806351778594533,485.0,-255600.0,-4260.0,-71.0
-70.0,0.023863304513169252,486.0,-252000.0,-4200.0,-70.0
-69.0,0.06904839330444928,487.0,-248400.0,-4140.0,-69.0
-68.0,0.12930308424249723,488.0,-244800.0,-4080.0,-68.0
-67.0,0.18597877550464115,489.0,-241200.0,-4020.0,-67.0
-66.0,0.24615776250654506,490.0,-237600.0,-3960.0,-66.0
-65.0,0.2390421752028062,491.0,-234000.0,-3900.0,-65.0
-64.0,0.13471756506316937,492.0,-230400.0,-3840.0,-64.0
-63.0,-0.011235387092853742,493.0,-226800.0,-3780.0,-63.0
-62.0,-0.14251388109033264,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.26187985309653383,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.35463260529580504,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.4404503809783599,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.48334557818044643,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.43776496891700134,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.37605472004786117,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.3110606991470647,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.26070654706273183,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.24663545470821144,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.24000662126654917,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.22371684787210291,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.19744100393876626,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.15607274660262063,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.10881811747448195,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.06549124022843521,510.0,-169200.0,-2820.0,-47.0
-46.0,-0.02840859453853085,510.0,-165600.0,-2760.0,-46.0
-45.0,0.013629318002098583,511.0,-162000.0,-2700.0,-45.0
-44.0,0.06942071855023603,512.0,-158400.0,-2640.0,-44.0
-43.0,0.12276776692554485,513.0,-154800.0,-2580.0,-43.0
-42.0,0.17991910820000362,514.0,-151200.0,-2520.0,-42.0
-41.0,0.17594730285957444,515.0,-147600.0,-2460.0,-41.0
-40.0,0.07862861015451955,516.0,-144000.0,-2400.0,-40.0
-39.0,-0.05330097270973916,517.0,-140400.0,-2340.0,-39.0
-38.0,-0.1759316440101386,518.0,-136800.0,-2280.0,-38.0
-37.0,-0.28614983663660437,519.0,-133200.0,-2220.0,-37.0
-36.0,-0.37010646406833714,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.4455557637601985,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.48469778747475073,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.4446206922057722,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.39057691117143584,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.3305664658064714,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.28540330006758413,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.27431499231716877,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.26842852139725354,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.25088952723428337,529.0,-97200.0,-1620.0,-27.0
-26.0,-0.2248275956858173,530.0,-93600.0,-1560.0,-26.0
-25.0,-0.18801379377880173,531.0,-90000.0,-1500.0,-25.0
-24.0,-0.14575367086672641,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.10401520061267594,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.0654858873147456,534.0,-79200.0,-1320.0,-22.0
-21.0,-0.024888037041165923,535.0,-75600.0,-1260.0,-21.0
-20.0,0.03238827936893647,536.0,-72000.0,-1200.0,-20.0
-19.0,0.08267384587078702,537.0,-68400.0,-1140.0,-19.0
-18.0,0.1357268675971555,538.0,-64800.0,-1080.0,-18.0
-17.0,0.1297192302356668,539.0,-61200.0,-1020.0,-17.0
-16.0,0.03795894272223462,540.0,-57600.0,-960.0,-16.0
-15.0,-0.08360972058015834,541.0,-54000.0,-900.0,-15.0
-14.0,-0.19518556832212908,542.0,-50400.0,-840.0,-14.0
-13.0,-0.29603679953732004,543.0,-46800.0,-780.0,-13.0
-12.0,-0.3731747821185804,544.0,-43200.0,-720.0,-12.0
-11.0,-0.44157283349121595,545.0,-39600.0,-660.0,-11.0
-10.0,-0.47574215961138316,546.0,-36000.0,-600.0,-10.0
-9.0,-0.4382017740023803,547.0,-32400.0,-540.0,-9.0
-8.0,-0.3873912327374077,548.0,-28800.0,-480.0,-8.0
-7.0,-0.32896534879696215,549.0,-25200.0,-420.0,-7.0
-6.0,-0.2858933826124626,550.0,-21600.0,-360.0,-6.0
-5.0,-0.27504432023088676,551.0,-18000.0,-300.0,-5.0
-4.0,-0.27056680366724456,552.0,-14400.0,-240.0,-4.0
-3.0,-0.25517771518493737,555.0,-10800.0,-180.0,-3.0
-2.0,-0.23771856588940346,558.0,-7200.0,-120.0,-2.0
-1.0,-0.209981333481776,562.0,-3600.0,-60.0,-1.0
0.0,-0.1706168196239145,566.0,0.0,0.0,0.0
1.0,-0.12427686471959813,562.0,3600.0,60.0,1.0
2.0,-0.08242917208226505,558.0,7200.0,120.0,2.0
3.0,-0.040300875594762496,555.0,10800.0,180.0,3.0
4.0,0.01272181368291045,552.0,14400.0,240.0,4.0
5.0,0.059033185371754233,551.0,18000.0,300.0,5.0
6.0,0.10494323724699557,550.0,21600.0,360.0,6.0
7.0,0.09467455434216271,549.0,25200.0,420.0,7.0
8.0,0.005920839801890128,548.0,28800.0,480.0,8.0
9.0,-0.11049766734078376,547.0,32400.0,540.0,9.0
10.0,-0.21336591036839944,546.0,36000.0,600.0,10.0
11.0,-0.30568346753424325,545.0,39600.0,660.0,11.0
12.0,-0.3764605122565411,544.0,43200.0,720.0,12.0
13.0,-0.43948899457866897,543.0,46800.0,780.0,13.0
14.0,-0.4717555953950274,542.0,50400.0,840.0,14.0
15.0,-0.436485274458227,541.0,54000.0,900.0,15.0
16.0,-0.3854114482445614,540.0,57600.0,960.0,16.0
17.0,-0.330580307181676,539.0,61200.0,1020.0,17.0
18.0,-0.28964438476402476,538.0,64800.0,1080.0,18.0
19.0,-0.2822333365395011,537.0,68400.0,1140.0,19.0
20.0,-0.27836145541777435,536.0,72000.0,1200.0,20.0
21.0,-0.26261953797381044,535.0,75600.0,1260.0,21.0
22.0,-0.24358037529378812,534.0,79200.0,1320.0,22.0
23.0,-0.2131153730399253,533.0,82800.0,1380.0,23.0
24.0,-0.17220450652020083,532.0,86400.0,1440.0,24.0
25.0,-0.1329026055070585,531.0,90000.0,1500.0,25.0
26.0,-0.09496090185077566,530.0,93600.0,1560.0,26.0
27.0,-0.05524761984154646,529.0,97200.0,1620.0,27.0
28.0,-0.0013702642350625783,528.0,100800.0,1680.0,28.0
29.0,0.04457218762032176,527.0,104400.0,1740.0,29.0
30.0,0.09165511981130955,526.0,108000.0,1800.0,30.0
31.0,0.08309102874789412,525.0,111600.0,1860.0,31.0
32.0,-0.004171157900637655,524.0,115200.0,1920.0,32.0
33.0,-0.1171006494926818,523.0,118800.0,1980.0,33.0
34.0,-0.2205748089174462,522.0,122400.0,2040.0,34.0
35.0,-0.3109615596180687,521.0,126000.0,2100.0,35.0
36.0,-0.3821262406868608,520.0,129600.0,2160.0,36.0
37.0,-0.4413224357399031,519.0,133200.0,2220.0,37.0
38.0,-0.473483078644075,518.0,136800.0,2280.0,38.0
39.0,-0.4378301474627958,517.0,140400.0,2340.0,39.0
40.0,-0.3854177481122478,516.0,144000.0,2400.0,40.0
41.0,-0.3316851954610281,515.0,147600.0,2460.0,41.0
42.0,-0.29583204877586255,514.0,151200.0,2520.0,42.0
43.0,-0.2898314936094093,513.0,154800.0,2580.0,43.0
44.0,-0.283308729204442,512.0,158400.0,2640.0,44.0
45.0,-0.2685915693970393,511.0,162000.0,2700.0,45.0
46.0,-0.24649472925168897,510.0,165600.0,2760.0,46.0
47.0,-0.2166834924432346,510.0,169200.0,2820.0,47.0
48.0,-0.18058203550264507,510.0,172800.0,2880.0,48.0
49.0,-0.14422073742131436,509.0,176400.0,2940.0,49.0
50.0,-0.11134021352740164,508.0,180000.0,3000.0,50.0
51.0,-0.07248966689562075,506.0,183600.0,3060.0,51.0
52.0,-0.012891714642217163,504.0,187200.0,3120.0,52.0
53.0,0.038416607488877985,503.0,190800.0,3180.0,53.0
54.0,0.08780220172334972,502.0,194400.0,3240.0,54.0
55.0,0.07918668579278378,501.0,198000.0,3300.0,55.0
56.0,-0.004003968212082963,500.0,201600.0,3360.0,56.0
