lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-72.0,-0.17193786163360736,484.0,-259200.0,-4320.0,-72.0
-71.0,-0.13710100695525732,485.0,-255600.0,-4260.0,-71.0
-70.0,-0.09343815135088619,486.0,-252000.0,-4200.0,-70.0
-69.0,-0.015012580337768347,487.0,-248400.0,-4140.0,-69.0
-68.0,0.12169519655758118,488.0,-244800.0,-4080.0,-68.0
-67.0,0.2852186188842799,489.0,-241200.0,-4020.0,-67.0
-66.0,0.4677788864268226,490.0,-237600.0,-3960.0,-66.0
-65.0,0.5558012080888269,491.0,-234000.0,-3900.0,-65.0
-64.0,0.4938688368394017,492.0,-230400.0,-3840.0,-64.0
-63.0,0.34104511245698127,493.0,-226800.0,-3780.0,-63.0
-62.0,0.19591661104225375,494.0,-223200.0,-3720.0,-62.0
-61.0,0.0508001853488428,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.07459431871439098,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.19909022046728223,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.30390649559884,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.35608991257807876,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.3449645840558657,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.3043367804702973,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.26734733840142594,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.271211378718833,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.28113542520261325,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.27894396572652885,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.2629771985313958,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.23617961777154473,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.1982637916796971,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.1594063883147361,510.0,-169200.0,-2820.0,-47.0
-46.0,-0.11623377881226359,510.0,-165600.0,-2760.0,-46.0
-45.0,-0.04009198771113294,511.0,-162000.0,-2700.0,-45.0
-44.0,0.08983459140628242,512.0,-158400.0,-2640.0,-44.0
-43.0,0.25230344244389985,513.0,-154800.0,-2580.0,-43.0
-42.0,0.4218270793529589,514.0,-151200.0,-2520.0,-42.0
-41.0,0.5040234015983216,515.0,-147600.0,-2460.0,-41.0
-40.0,0.44923017445916585,516.0,-144000.0,-2400.0,-40.0
-39.0,0.31011775479995957,517.0,-140400.0,-2340.0,-39.0
-38.0,0.17235695277085503,518.0,-136800.0,-2280.0,-38.0
-37.0,0.03799245997658542,519.0,-133200.0,-2220.0,-37.0
-36.0,-0.0844914947555889,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.19463165037645228,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.29206937747643014,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.3420611358053988,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.33592669022211347,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.2974320884515293,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.26409080214331154,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.27219819954890206,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.2837620457059726,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.28072759684489085,529.0,-97200.0,-1620.0,-27.0
-26.0,-0.26665695502675085,530.0,-93600.0,-1560.0,-26.0
-25.0,-0.24365824577567996,531.0,-90000.0,-1500.0,-25.0
-24.0,-0.20809527475855394,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.16993742546801457,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.12684266336653555,534.0,-79200.0,-1320.0,-22.0
-21.0,-0.05564162633630515,535.0,-75600.0,-1260.0,-21.0
-20.0,0.06566411130750814,536.0,-72000.0,-1200.0,-20.0
-19.0,0.2103116796437675,537.0,-68400.0,-1140.0,-19.0
-18.0,0.3585823945962225,538.0,-64800.0,-1080.0,-18.0
-17.0,0.4286313629755915,539.0,-61200.0,-1020.0,-17.0
-16.0,0.3798065679933149,540.0,-57600.0,-960.0,-16.0
-15.0,0.24982356473720357,541.0,-54000.0,-900.0,-15.0
-14.0,0.1211328043415019,542.0,-50400.0,-840.0,-14.0
-13.0,-0.0015181067139652948,543.0,-46800.0,-780.0,-13.0
-12.0,-0.10710578293075122,544.0,-43200.0,-720.0,-12.0
-11.0,-0.20769395455425865,545.0,-39600.0,-660.0,-11.0
-10.0,-0.29079675765724594,546.0,-36000.0,-600.0,-10.0
-9.0,-0.3406713368893097,547.0,-32400.0,-540.0,-9.0
-8.0,-0.33877734127015247,548.0,-28800.0,-480.0,-8.0
-7.0,-0.3034456515152945,549.0,-25200.0,-420.0,-7.0
-6.0,-0.2723379655177831,550.0,-21600.0,-360.0,-6.0
-5.0,-0.2822968306610881,551.0,-18000.0,-300.0,-5.0
-4.0,-0.2900190873016188,552.0,-14400.0,-240.0,-4.0
-3.0,-0.28867115559467127,555.0,-10800.0,-180.0,-3.0
-2.0,-0.28354702763875417,558.0,-7200.0,-120.0,-2.0
-1.0,-0.2674808811189212,562.0,-3600.0,-60.0,-1.0
0.0,-0.23291811643713742,566.0,0.0,0.0,0.0
1.0,-0.19495545721487528,562.0,3600.0,60.0,1.0
2.0,-0.15489572701562848,558.0,7200.0,120.0,2.0
3.0,-0.08831761887683251,555.0,10800.0,180.0,3.0
4.0,0.02736579987055888,552.0,14400.0,240.0,4.0
5.0,0.1655023046676376,551.0,18000.0,300.0,5.0
6.0,0.3071388664660361,550.0,21600.0,360.0,6.0
7.0,0.37931781642876444,549.0,25200.0,420.0,7.0
8.0,0.33742910671448123,548.0,28800.0,480.0,8.0
9.0,0.216652993837079,547.0,32400.0,540.0,9.0
10.0,0.0998175606650559,546.0,36000.0,600.0,10.0
11.0,-0.01697898159307583,545.0,39600.0,660.0,11.0
