lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-72.0,0.12007066178745157,484.0,-259200.0,-4320.0,-72.0
-71.0,0.19466404783702398,485.0,-255600.0,-4260.0,-71.0
-70.0,0.2691760805008554,486.0,-252000.0,-4200.0,-70.0
-69.0,0.33871068702554347,487.0,-248400.0,-4140.0,-69.0
-68.0,0.404526588609188,488.0,-244800.0,-4080.0,-68.0
-67.0,0.47275019510780136,489.0,-241200.0,-4020.0,-67.0
-66.0,0.5515253044997593,490.0,-237600.0,-3960.0,-66.0
-65.0,0.6142996569760255,491.0,-234000.0,-3900.0,-65.0
-64.0,0.5777596806323909,492.0,-230400.0,-3840.0,-64.0
-63.0,0.4307424279133427,493.0,-226800.0,-3780.0,-63.0
-62.0,0.2814925923875523,494.0,-223200.0,-3720.0,-62.0
-61.0,0.12958034657979375,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.003634536383718426,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.13761258467589027,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.24315986077977397,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.29469293004919583,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.2661474558166886,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.2082453254028351,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.14799930677750506,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.11070368225420724,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.07667116241537862,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.032269967601546296,506.0,-183600.0,-3060.0,-51.0
-50.0,0.01706171811947962,508.0,-180000.0,-3000.0,-50.0
-49.0,0.07159363993861448,509.0,-176400.0,-2940.0,-49.0
-48.0,0.13587943752853596,510.0,-172800.0,-2880.0,-48.0
-47.0,0.21115743519726055,510.0,-169200.0,-2820.0,-47.0
-46.0,0.2851297889363242,510.0,-165600.0,-2760.0,-46.0
-45.0,0.3534148286226206,511.0,-162000.0,-2700.0,-45.0
-44.0,0.41944748211100225,512.0,-158400.0,-2640.0,-44.0
-43.0,0.4901792942948519,513.0,-154800.0,-2580.0,-43.0
-42.0,0.5708305024379509,514.0,-151200.0,-2520.0,-42.0
-41.0,0.6348500554488102,515.0,-147600.0,-2460.0,-41.0
-40.0,0.6010146381528743,516.0,-144000.0,-2400.0,-40.0
-39.0,0.45707382041882444,517.0,-140400.0,-2340.0,-39.0
-38.0,0.3050768241728699,518.0,-136800.0,-2280.0,-38.0
-37.0,0.15362331549809027,519.0,-133200.0,-2220.0,-37.0
-36.0,0.02038213649121818,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.11084777072393613,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.2159644528364214,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.2650897347427621,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.2407201610792651,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.18751222558315378,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.129561520332638,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.09043909110316523,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.05855102625191438,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.016763896741880262,529.0,-97200.0,-1620.0,-27.0
-26.0,0.0335860082299994,530.0,-93600.0,-1560.0,-26.0
-25.0,0.08962950195808678,531.0,-90000.0,-1500.0,-25.0
-24.0,0.15182101201846493,532.0,-86400.0,-1440.0,-24.0
-23.0,0.22694053214109863,533.0,-82800.0,-1380.0,-23.0
-22.0,0.3044798125074925,534.0,-79200.0,-1320.0,-22.0
-21.0,0.37326820789760945,535.0,-75600.0,-1260.0,-21.0
-20.0,0.4402300513853056,536.0,-72000.0,-1200.0,-20.0
-19.0,0.5144830337828631,537.0,-68400.0,-1140.0,-19.0
-18.0,0.5974123361166245,538.0,-64800.0,-1080.0,-18.0
-17.0,0.663704678892891,539.0,-61200.0,-1020.0,-17.0
-16.0,0.6309307016054398,540.0,-57600.0,-960.0,-16.0
-15.0,0.48004124421486555,541.0,-54000.0,-900.0,-15.0
-14.0,0.3261434753050705,542.0,-50400.0,-840.0,-14.0
-13.0,0.16964752237472833,543.0,-46800.0,-780.0,-13.0
-12.0,0.03529030037136084,544.0,-43200.0,-720.0,-12.0
-11.0,-0.09561519434876359,545.0,-39600.0,-660.0,-11.0
-10.0,-0.20169786132498146,546.0,-36000.0,-600.0,-10.0
-9.0,-0.25109487953734994,547.0,-32400.0,-540.0,-9.0
-8.0,-0.2267720199841558,548.0,-28800.0,-480.0,-8.0
-7.0,-0.1690613724057717,549.0,-25200.0,-420.0,-7.0
-6.0,-0.1082050693477979,550.0,-21600.0,-360.0,-6.0
-5.0,-0.06832953184531941,551.0,-18000.0,-300.0,-5.0
-4.0,-0.03751799691184674,552.0,-14400.0,-240.0,-4.0
-3.0,0.006112284691663067,555.0,-10800.0,-180.0,-3.0
-2.0,0.054016350584494915,558.0,-7200.0,-120.0,-2.0
-1.0,0.1067403094490852,562.0,-3600.0,-60.0,-1.0
0.0,0.17269969893496523,566.0,0.0,0.0,0.0
1.0,0.24956397703529853,562.0,3600.0,60.0,1.0
2.0,0.3234197134872281,558.0,7200.0,120.0,2.0
3.0,0.3989866336124067,555.0,10800.0,180.0,3.0
4.0,0.46146318631334926,552.0,14400.0,240.0,4.0
5.0,0.531639349765,551.0,18000.0,300.0,5.0
6.0,0.6054144220537625,550.0,21600.0,360.0,6.0
7.0,0.6706318375997747,549.0,25200.0,420.0,7.0
8.0,0.6396826403555841,548.0,28800.0,480.0,8.0
9.0,0.49323625705909296,547.0,32400.0,540.0,9.0
10.0,0.34199388293715766,546.0,36000.0,600.0,10.0
11.0,0.1840391458706062,545.0,39600.0,660.0,11.0
12.0,0.04395101588458557,544.0,43200.0,720.0,12.0
13.0,-0.08515751789488338,543.0,46800.0,780.0,13.0
14.0,-0.1894832957928222,542.0,50400.0,840.0,14.0
15.0,-0.23887570779832382,541.0,54000.0,900.0,15.0
16.0,-0.21486111899602417,540.0,57600.0,960.0,16.0
17.0,-0.15470705672248738,539.0,61200.0,1020.0,17.0
18.0,-0.09366354021113847,538.0,64800.0,1080.0,18.0
19.0,-0.05485255380897268,537.0,68400.0,1140.0,19.0
20.0,-0.023779717994088675,536.0,72000.0,1200.0,20.0
21.0,0.01909829329466588,535.0,75600.0,1260.0,21.0
22.0,0.06449525439834851,534.0,79200.0,1320.0,22.0
23.0,0.11594021671958385,533.0,82800.0,1380.0,23.0
24.0,0.17794841085380383,532.0,86400.0,1440.0,24.0
