time_utc,6.8x51mm Hybrid,7.62x51mm M62,7.62x54R BT,5.8x42mm DVC12,5.7x28mm SS190,7.62x39mm AP,9x39mm BP,4.6x30mm AP SX,12.7x55mm PS12B,5.56x45mm M995
2025-11-20 19:00:00+00:00,,,,,,,,,,
2025-11-20 20:00:00+00:00,,,,,,,,,,
2025-11-20 21:00:00+00:00,,,,,,,,,,
2025-11-20 22:00:00+00:00,,,,,,,,,,
2025-11-20 23:00:00+00:00,,,,,,,,,,
2025-11-21 00:00:00+00:00,,,,,,,,,,
2025-11-21 01:00:00+00:00,,,,,,,,,,
2025-11-21 02:00:00+00:00,,,,,,,,,,
2025-11-21 03:00:00+00:00,,,,,,,,,,
2025-11-21 04:00:00+00:00,,,,,,,,,,
2025-11-21 05:00:00+00:00,,,,,,,,,,
2025-11-21 06:00:00+00:00,,,,,,,,,,
2025-11-21 07:00:00+00:00,,,,,,,,,,
2025-11-21 08:00:00+00:00,,,,,,,,,,
2025-11-21 09:00:00+00:00,,,,,,,,,,
2025-11-21 10:00:00+00:00,,,,,,,,,,
2025-11-21 11:00:00+00:00,,,,,,,,,,
2025-11-21 12:00:00+00:00,,,,,,,,,,
2025-11-21 13:00:00+00:00,,,,,,,,,,
2025-11-21 14:00:00+00:00,,,,,,,,,,
2025-11-21 15:00:00+00:00,,,,,,,,,,
2025-11-21 16:00:00+00:00,,,,,,,,,,
2025-11-21 17:00:00+00:00,,,,,,,,,,
2025-11-21 18:00:00+00:00,,,,,,,,,,
2025-11-21 19:00:00+00:00,,,,,,,,,,
2025-11-21 20:00:00+00:00,,,,,,,,,,
2025-11-21 21:00:00+00:00,,,,,,,,,,
2025-11-21 22:00:00+00:00,,,,,,,,,,
2025-11-21 23:00:00+00:00,,,,,,,,,,
2025-11-22 00:00:00+00:00,,,,,,,,,,
2025-11-22 01:00:00+00:00,,,,,,,,,,
2025-11-22 02:00:00+00:00,,,,,,,,,,
2025-11-22 03:00:00+00:00,,,,,,,,,,
2025-11-22 04:00:00+00:00,,,,,,,,,,
2025-11-22 05:00:00+00:00,,,,,,,,,,
2025-11-22 06:00:00+00:00,,,,,,,,,,
2025-11-22 07:00:00+00:00,,,,,,,,,,
2025-11-22 08:00:00+00:00,,,,,,,,,,
2025-11-22 09:00:00+00:00,,,,,,,,,,
2025-11-22 10:00:00+00:00,,,,,,,,,,
2025-11-22 11:00:00+00:00,,,,,,,,,,
2025-11-22 12:00:00+00:00,,,,,,,,,,
2025-11-22 13:00:00+00:00,,,,,,,,,,
2025-11-22 14:00:00+00:00,,,,,,,,,,
2025-11-22 15:00:00+00:00,,,,,,,,,,
2025-11-22 16:00:00+00:00,,,,,,,,,,
2025-11-22 17:00:00+00:00,,,,,,,,,,
2025-11-22 18:00:00+00:00,-0.3683454790815239,-0.20452260940176323,0.0,-0.07604554870902616,-0.20154527452919252,0.029627191278011968,-0.03813388156139998,0.08311726982806737,-0.09189536012895326,-0.22269879971353596
2025-11-22 19:00:00+00:00,-0.4023155244179072,-0.21186765195291318,-0.05295944604947439,-0.09840680045573372,-0.21243866744761,-0.0020511105257780935,-0.05320572652145532,0.0728446709066737,-0.10835249856449444,-0.22625136829975698
2025-11-22 20:00:00+00:00,-0.4307441437662594,-0.21872060737091914,-0.09805806756909169,-0.12668666587356467,-0.21770474144368793,-0.030680807100231626,-0.06714396622632729,0.06330909424193797,-0.1235315490074249,-0.22959948699082539
2025-11-22 21:00:00+00:00,-0.45434149024113246,-0.22513200274950176,-0.1370128717761497,-0.16513434662835627,-0.21263227065510795,-0.056681789824796935,-0.08007590096376203,0.048083918164741106,-0.1375791341026269,-0.23276128556593353
2025-11-22 22:00:00+00:00,-0.4754687331820536,-0.23114535353174645,-0.10438840534715893,-0.18721063755807302,-0.21287005719506127,-0.0804002223307048,-0.09210994980233267,0.03392874303723506,-0.12645502420392504,-0.23575269638932747
2025-11-22 23:00:00+00:00,-0.4643118369324615,-0.224475599989787,-0.10955484947186221,-0.17153694489424673,-0.20831717561040342,-0.05843814935111994,-0.08081265588492455,0.04954987540914233,-0.09032065847614806,-0.22867344485965907
2025-11-23 00:00:00+00:00,-0.45645634966968995,-0.22127631160423789,-0.10473814213659102,-0.16774438920276744,-0.20520845515504527,-0.05567464584333163,-0.07414934281143742,0.052325318423887095,-0.08495646420701954,-0.2231024702943981
2025-11-23 01:00:00+00:00,-0.4491032505967044,-0.21823536126504975,-0.10537903498275557,-0.16416308115757522,-0.20426563725410762,-0.05305946979597693,-0.06814991313600881,0.05488735268302161,-0.08404070945433918,-0.21429598669183003
2025-11-23 02:00:00+00:00,-0.44220410268676835,-0.21534105305245174,-0.10599574199882797,-0.1623806681060948,-0.20405289375798005,-0.05058054831613897,-0.06270873836221369,0.05726430202482733,-0.08315991584206128,-0.20627820402618008
2025-11-23 03:00:00+00:00,-0.4357166627266832,-0.21258283389723287,-0.1065896080202689,-0.1618717696885807,-0.20120864509685502,-0.04822712356064371,-0.05774278648191701,0.059479069167193956,-0.08231211663411403,-0.1989396358225782
2025-11-23 04:00:00+00:00,-0.44431782435457123,-0.22141728807854927,-0.10096340739642147,-0.16369421152636995,-0.2074996980613937,-0.05071892198237812,-0.07974700938444611,0.033784348496095386,-0.08681967653300546,-0.21593488080901124
2025-11-23 05:00:00+00:00,-0.4523794934872676,-0.2297635090265094,-0.09561089365168969,-0.15412139362600208,-0.20339818380307573,-0.042513298769576276,-0.09367592369726996,0.01782376670575971,-0.09111212719703629,-0.23160020180063318
2025-11-23 06:00:00+00:00,-0.45151131673241,-0.23766095549367358,-0.09051211511176457,-0.13284223283101398,-0.19198069538727067,-0.024250590799584356,-0.08611314463623723,0.024528700730405684,-0.09520485849242417,-0.2460906648477799
2025-11-23 07:00:00+00:00,-0.4445323711912326,-0.2284373774572358,-0.08564905193307702,-0.10091086845020811,-0.18114801721793874,-0.007224468307070239,-0.07525353286834194,0.034346934666757,-0.09911179621069094,-0.255524152659592
2025-11-23 08:00:00+00:00,-0.43057136222568126,-0.21965493370323644,-0.05648256028809228,-0.07225362174527815,-0.1708561838252803,0.008688343578650268,-0.06495119522484386,0.04366030388864462,-0.08674295303822133,-0.24047852455424884
2025-11-23 09:00:00+00:00,-0.4173107466251919,-0.2112824422445322,-0.05266846776351299,-0.05133528979433021,-0.1679170861172242,0.023595052116864128,-0.055164251666784105,0.05250682056789184,-0.09063137570464726,-0.22625121585106206
2025-11-23 10:00:00+00:00,-0.40469904662355916,-0.20329161571421533,-0.04901719619136397,-0.03661370606966822,-0.17120163032581287,0.03758936150814875,-0.04917811365771658,0.05780078082888242,-0.09435400479670189,-0.21944689220789954
2025-11-23 11:00:00+00:00,-0.39268971412213405,-0.19565673065967418,-0.045518323873397284,-0.027179421716570614,-0.174350598729152,0.050753556664467174,-0.043452122260277386,0.06286573830469719,-0.09792140821776772,-0.2129384795249066
2025-11-23 12:00:00+00:00,-0.38124055376863747,-0.18835434145842114,-0.042162316151709976,-0.01819398514242072,-0.17152221579149216,0.06316020905240699,-0.03796949313075109,0.0677164014260314,-0.10134325993122685,-0.2067068558710322
2025-11-23 13:00:00+00:00,-0.3529881304763736,-0.17038431503485832,-0.03429573665309016,0.001452512102895812,-0.16310164646732422,0.08968480425129441,-0.025574811393384755,0.07751692059301203,-0.10757229393269076,-0.1777522506425456
2025-11-23 14:00:00+00:00,-0.3271094759770612,-0.15386268138288078,-0.027028306702820876,0.01952270580120259,-0.14881100115776935,0.11386823332152858,-0.014129619325078011,0.08661045693588271,-0.11338779976140752,-0.15126288397687684
2025-11-23 15:00:00+00:00,-0.3032938640147993,-0.1386031826096771,-0.02028494527015039,0.03621528233886474,-0.15417942812391708,0.13601943364303987,-0.0035155376199453776,0.09508129509835607,-0.1188362874642915,-0.126917205279803
2025-11-23 16:00:00+00:00,-0.31085846356021946,-0.14564173034147607,-0.024686144744212348,0.02278256572130966,-0.1506314947234117,0.11442211220930276,-0.011221366192675964,0.08604806395784721,-0.11143498057132495,-0.1401336431475224
