lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.002987065378271347,436.0,-432000.0,-7200.0,-120.0
-119.0,0.0440322813080699,437.0,-428400.0,-7140.0,-119.0
-118.0,0.08467638820205446,438.0,-424800.0,-7080.0,-118.0
-117.0,0.1309872504408866,439.0,-421200.0,-7020.0,-117.0
-116.0,0.20764114502481085,440.0,-417600.0,-6960.0,-116.0
-115.0,0.2753433032373403,441.0,-414000.0,-6900.0,-115.0
-114.0,0.34979151250980567,442.0,-410400.0,-6840.0,-114.0
-113.0,0.35334018393764177,443.0,-406800.0,-6780.0,-113.0
-112.0,0.2436574536930126,444.0,-403200.0,-6720.0,-112.0
-111.0,0.08325368464907117,445.0,-399600.0,-6660.0,-111.0
-110.0,-0.06403374268255925,446.0,-396000.0,-6600.0,-110.0
-109.0,-0.19799537930124878,447.0,-392400.0,-6540.0,-109.0
-108.0,-0.30373811445144466,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.40548155934203245,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.4577129579825439,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.4094274223101683,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.3361577164974877,452.0,-374400.0,-6240.0,-104.0
-103.0,-0.2610050439967792,453.0,-370800.0,-6180.0,-103.0
-102.0,-0.19696480433309974,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.17978008603594162,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.16639897298370687,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.14387876166089658,457.0,-356400.0,-5940.0,-99.0
-98.0,-0.11603282057703602,458.0,-352800.0,-5880.0,-98.0
-97.0,-0.07468101927755726,459.0,-349200.0,-5820.0,-97.0
-96.0,-0.026423569915234167,460.0,-345600.0,-5760.0,-96.0
-95.0,0.015662809356474478,461.0,-342000.0,-5700.0,-95.0
-94.0,0.056753653838740856,462.0,-338400.0,-5640.0,-94.0
-93.0,0.10109813804362738,463.0,-334800.0,-5580.0,-93.0
-92.0,0.17293419405899313,464.0,-331200.0,-5520.0,-92.0
-91.0,0.23771388679883354,465.0,-327600.0,-5460.0,-91.0
-90.0,0.30531563002143836,466.0,-324000.0,-5400.0,-90.0
-89.0,0.3042434690534093,467.0,-320400.0,-5340.0,-89.0
-88.0,0.19238594863779288,468.0,-316800.0,-5280.0,-88.0
-87.0,0.037905193050696936,469.0,-313200.0,-5220.0,-87.0
-86.0,-0.10840167349520158,470.0,-309600.0,-5160.0,-86.0
-85.0,-0.23245540806786796,472.0,-306000.0,-5100.0,-85.0
-84.0,-0.3297417057323796,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.42270214807728607,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.46721954941669724,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.42010305241852797,476.0,-291600.0,-4860.0,-81.0
-80.0,-0.3551040518727498,476.0,-288000.0,-4800.0,-80.0
-79.0,-0.2843898206526866,477.0,-284400.0,-4740.0,-79.0
-78.0,-0.22940176003328586,478.0,-280800.0,-4680.0,-78.0
-77.0,-0.21004282400277585,479.0,-277200.0,-4620.0,-77.0
-76.0,-0.19998011091130338,480.0,-273600.0,-4560.0,-76.0
-75.0,-0.17951873113421377,481.0,-270000.0,-4500.0,-75.0
-74.0,-0.14993735448625217,482.0,-266400.0,-4440.0,-74.0
-73.0,-0.10954697437167299,483.0,-262800.0,-4380.0,-73.0
-72.0,-0.06326095692537836,484.0,-259200.0,-4320.0,-72.0
-71.0,-0.01806351778594533,485.0,-255600.0,-4260.0,-71.0
-70.0,0.023863304513169252,486.0,-252000.0,-4200.0,-70.0
-69.0,0.06904839330444928,487.0,-248400.0,-4140.0,-69.0
-68.0,0.12930308424249723,488.0,-244800.0,-4080.0,-68.0
-67.0,0.18597877550464115,489.0,-241200.0,-4020.0,-67.0
-66.0,0.24615776250654506,490.0,-237600.0,-3960.0,-66.0
-65.0,0.2390421752028062,491.0,-234000.0,-3900.0,-65.0
-64.0,0.13471756506316937,492.0,-230400.0,-3840.0,-64.0
-63.0,-0.011235387092853742,493.0,-226800.0,-3780.0,-63.0
-62.0,-0.14251388109033264,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.26187985309653383,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.35463260529580504,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.4404503809783599,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.48334557818044643,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.43776496891700134,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.37605472004786117,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.3110606991470647,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.26070654706273183,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.24663545470821144,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.24000662126654917,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.22371684787210291,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.19744100393876626,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.15607274660262063,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.10881811747448195,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.06549124022843521,510.0,-169200.0,-2820.0,-47.0
-46.0,-0.02840859453853085,510.0,-165600.0,-2760.0,-46.0
-45.0,0.013629318002098583,511.0,-162000.0,-2700.0,-45.0
-44.0,0.06942071855023603,512.0,-158400.0,-2640.0,-44.0
-43.0,0.12276776692554485,513.0,-154800.0,-2580.0,-43.0
-42.0,0.17991910820000362,514.0,-151200.0,-2520.0,-42.0
-41.0,0.17594730285957444,515.0,-147600.0,-2460.0,-41.0
-40.0,0.07862861015451955,516.0,-144000.0,-2400.0,-40.0
-39.0,-0.05330097270973916,517.0,-140400.0,-2340.0,-39.0
-38.0,-0.1759316440101386,518.0,-136800.0,-2280.0,-38.0
-37.0,-0.28614983663660437,519.0,-133200.0,-2220.0,-37.0
-36.0,-0.37010646406833714,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.4455557637601985,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.48469778747475073,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.4446206922057722,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.39057691117143584,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.3305664658064714,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.28540330006758413,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.27431499231716877,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.26842852139725354,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.25088952723428337,529.0,-97200.0,-1620.0,-27.0
-26.0,-0.2248275956858173,530.0,-93600.0,-1560.0,-26.0
-25.0,-0.18801379377880173,531.0,-90000.0,-1500.0,-25.0
-24.0,-0.14575367086672641,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.10401520061267594,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.0654858873147456,534.0,-79200.0,-1320.0,-22.0
-21.0,-0.024888037041165923,535.0,-75600.0,-1260.0,-21.0
-20.0,0.03238827936893647,536.0,-72000.0,-1200.0,-20.0
-19.0,0.08267384587078702,537.0,-68400.0,-1140.0,-19.0
-18.0,0.1357268675971555,538.0,-64800.0,-1080.0,-18.0
-17.0,0.1297192302356668,539.0,-61200.0,-1020.0,-17.0
-16.0,0.03795894272223462,540.0,-57600.0,-960.0,-16.0
-15.0,-0.08360972058015834,541.0,-54000.0,-900.0,-15.0
-14.0,-0.19518556832212908,542.0,-50400.0,-840.0,-14.0
