lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,-0.05883398507085509,436.0,-432000.0,-7200.0,-120.0
-119.0,-0.005572398313613934,437.0,-428400.0,-7140.0,-119.0
-118.0,0.0274873971516564,438.0,-424800.0,-7080.0,-118.0
-117.0,0.08446254387192081,439.0,-421200.0,-7020.0,-117.0
-116.0,0.1538582694466109,440.0,-417600.0,-6960.0,-116.0
-115.0,0.24155718830845982,441.0,-414000.0,-6900.0,-115.0
-114.0,0.3346652643054663,442.0,-410400.0,-6840.0,-114.0
-113.0,0.34904908163977894,443.0,-406800.0,-6780.0,-113.0
-112.0,0.33094950689019353,444.0,-403200.0,-6720.0,-112.0
-111.0,0.20918492625344326,445.0,-399600.0,-6660.0,-111.0
-110.0,0.1212030310364341,446.0,-396000.0,-6600.0,-110.0
-109.0,0.007609787966592556,447.0,-392400.0,-6540.0,-109.0
-108.0,-0.132399301638106,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.22975801839783958,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.28396648396924584,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.26837129065112936,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.203607520665938,452.0,-374400.0,-6240.0,-104.0
-103.0,-0.12419345641394626,453.0,-370800.0,-6180.0,-103.0
-102.0,-0.12417531200435022,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.1854762112884757,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.2538717614585849,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.24452417397261755,457.0,-356400.0,-5940.0,-99.0
-98.0,-0.19389602310121087,458.0,-352800.0,-5880.0,-98.0
-97.0,-0.12324175661052973,459.0,-349200.0,-5820.0,-97.0
-96.0,-0.09150176544993206,460.0,-345600.0,-5760.0,-96.0
-95.0,-0.05785457164949231,461.0,-342000.0,-5700.0,-95.0
-94.0,0.0016586708013316268,462.0,-338400.0,-5640.0,-94.0
-93.0,0.0504368594420902,463.0,-334800.0,-5580.0,-93.0
-92.0,0.11657181940615126,464.0,-331200.0,-5520.0,-92.0
-91.0,0.20641524761717062,465.0,-327600.0,-5460.0,-91.0
-90.0,0.2902259002839014,466.0,-324000.0,-5400.0,-90.0
-89.0,0.3046065772783014,467.0,-320400.0,-5340.0,-89.0
-88.0,0.2965464319997709,468.0,-316800.0,-5280.0,-88.0
-87.0,0.1875890332588863,469.0,-313200.0,-5220.0,-87.0
-86.0,0.10423824177829072,470.0,-309600.0,-5160.0,-86.0
-85.0,-0.0030181034426419806,472.0,-306000.0,-5100.0,-85.0
-84.0,-0.12251533087049217,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.2249670860111534,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.2722624303707294,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.262107316177588,476.0,-291600.0,-4860.0,-81.0
-80.0,-0.20924814074622014,476.0,-288000.0,-4800.0,-80.0
-79.0,-0.13195232864275275,477.0,-284400.0,-4740.0,-79.0
-78.0,-0.1321193442973349,478.0,-280800.0,-4680.0,-78.0
-77.0,-0.19168199889956547,479.0,-277200.0,-4620.0,-77.0
-76.0,-0.25934338946180696,480.0,-273600.0,-4560.0,-76.0
-75.0,-0.2539997898510583,481.0,-270000.0,-4500.0,-75.0
-74.0,-0.21646593360056204,482.0,-266400.0,-4440.0,-74.0
-73.0,-0.15019476352597885,483.0,-262800.0,-4380.0,-73.0
-72.0,-0.12931378831405682,484.0,-259200.0,-4320.0,-72.0
-71.0,-0.08985349194561218,485.0,-255600.0,-4260.0,-71.0
-70.0,-0.016562677239936152,486.0,-252000.0,-4200.0,-70.0
-69.0,0.03590826370553529,487.0,-248400.0,-4140.0,-69.0
-68.0,0.08617173302550894,488.0,-244800.0,-4080.0,-68.0
-67.0,0.1735856841527123,489.0,-241200.0,-4020.0,-67.0
-66.0,0.2442703991906344,490.0,-237600.0,-3960.0,-66.0
-65.0,0.25836642099950125,491.0,-234000.0,-3900.0,-65.0
-64.0,0.24156295447597897,492.0,-230400.0,-3840.0,-64.0
-63.0,0.14770633800342706,493.0,-226800.0,-3780.0,-63.0
-62.0,0.07545024134135388,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.028470244740407078,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.13454062471275327,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.2223004923064919,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.2710685880484146,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.2548661453586935,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.2080651747659001,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.1399224617669491,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.15675651931856444,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.2095510600994876,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.27510658520054765,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.26140694271945647,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.244124989640221,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.17676701754039065,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.1459965792934822,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.10782367244480377,510.0,-169200.0,-2820.0,-47.0
-46.0,-0.04121542990062773,510.0,-165600.0,-2760.0,-46.0
-45.0,-0.004403044891187794,511.0,-162000.0,-2700.0,-45.0
-44.0,0.042873501872661285,512.0,-158400.0,-2640.0,-44.0
-43.0,0.11268957570344601,513.0,-154800.0,-2580.0,-43.0
-42.0,0.1853275177995301,514.0,-151200.0,-2520.0,-42.0
-41.0,0.19706063000551885,515.0,-147600.0,-2460.0,-41.0
-40.0,0.17508593979383316,516.0,-144000.0,-2400.0,-40.0
