lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.04875187810563969,436.0,-432000.0,-7200.0,-120.0
-119.0,0.11164367472238085,437.0,-428400.0,-7140.0,-119.0
-118.0,0.18130552536067027,438.0,-424800.0,-7080.0,-118.0
-117.0,0.24344686288611234,439.0,-421200.0,-7020.0,-117.0
-116.0,0.3039646063823166,440.0,-417600.0,-6960.0,-116.0
-115.0,0.36982659904158516,441.0,-414000.0,-6900.0,-115.0
-114.0,0.4410412302120036,442.0,-410400.0,-6840.0,-114.0
-113.0,0.43784903472104886,443.0,-406800.0,-6780.0,-113.0
-112.0,0.3195844311362102,444.0,-403200.0,-6720.0,-112.0
-111.0,0.16669508364958852,445.0,-399600.0,-6660.0,-111.0
-110.0,0.03965884586267647,446.0,-396000.0,-6600.0,-110.0
-109.0,-0.07596451897751318,447.0,-392400.0,-6540.0,-109.0
-108.0,-0.18491933029871196,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.2844019257290286,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.352055877422791,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.33259278226076744,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.2673268777376047,452.0,-374400.0,-6240.0,-104.0
-103.0,-0.19957321119272997,453.0,-370800.0,-6180.0,-103.0
-102.0,-0.15479943365828483,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.15835961335253987,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.1601340568191414,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.14696779724617226,457.0,-356400.0,-5940.0,-99.0
-98.0,-0.10540976604569195,458.0,-352800.0,-5880.0,-98.0
-97.0,-0.040846435743076295,459.0,-349200.0,-5820.0,-97.0
-96.0,0.02234734312295874,460.0,-345600.0,-5760.0,-96.0
-95.0,0.0771546351306462,461.0,-342000.0,-5700.0,-95.0
-94.0,0.1355843136874932,462.0,-338400.0,-5640.0,-94.0
-93.0,0.1890882298456806,463.0,-334800.0,-5580.0,-93.0
-92.0,0.2423663778181327,464.0,-331200.0,-5520.0,-92.0
-91.0,0.3043022073610993,465.0,-327600.0,-5460.0,-91.0
-90.0,0.3717384808848497,466.0,-324000.0,-5400.0,-90.0
-89.0,0.3698198809213153,467.0,-320400.0,-5340.0,-89.0
-88.0,0.2653965654430344,468.0,-316800.0,-5280.0,-88.0
-87.0,0.1358010079398662,469.0,-313200.0,-5220.0,-87.0
-86.0,0.026306741037422875,470.0,-309600.0,-5160.0,-86.0
-85.0,-0.07568578605684352,472.0,-306000.0,-5100.0,-85.0
-84.0,-0.17120105615185133,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.25674834976409294,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.31417518731531713,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.3020148721866879,476.0,-291600.0,-4860.0,-81.0
-80.0,-0.24933631988874938,476.0,-288000.0,-4800.0,-80.0
-79.0,-0.19151393291431149,477.0,-284400.0,-4740.0,-79.0
-78.0,-0.15586912491881078,478.0,-280800.0,-4680.0,-78.0
-77.0,-0.16039410606934998,479.0,-277200.0,-4620.0,-77.0
-76.0,-0.16629202224773051,480.0,-273600.0,-4560.0,-76.0
-75.0,-0.15622058375274572,481.0,-270000.0,-4500.0,-75.0
-74.0,-0.12060367100419662,482.0,-266400.0,-4440.0,-74.0
-73.0,-0.06533100884805042,483.0,-262800.0,-4380.0,-73.0
-72.0,-0.008989424309317493,484.0,-259200.0,-4320.0,-72.0
-71.0,0.04250501022741635,485.0,-255600.0,-4260.0,-71.0
-70.0,0.09468243180672961,486.0,-252000.0,-4200.0,-70.0
-69.0,0.14057325252307398,487.0,-248400.0,-4140.0,-69.0
-68.0,0.18987484416305092,488.0,-244800.0,-4080.0,-68.0
-67.0,0.24379327452286964,489.0,-241200.0,-4020.0,-67.0
-66.0,0.30298403156547243,490.0,-237600.0,-3960.0,-66.0
-65.0,0.29917189873728456,491.0,-234000.0,-3900.0,-65.0
-64.0,0.2124431343967435,492.0,-230400.0,-3840.0,-64.0
-63.0,0.10110697045945997,493.0,-226800.0,-3780.0,-63.0
-62.0,0.0023558783767238804,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.08681252889343441,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.16809193783082582,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.24351261286382206,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.2962186941407904,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.2873798874343642,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.2414201386763996,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.19180413583177713,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.16516916244233323,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.1725024315874546,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.1818572328015414,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.17535309545090494,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.14391235646417153,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.09275836607430239,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.04220256757578927,510.0,-172800.0,-2880.0,-48.0
-47.0,0.003486309456207691,510.0,-169200.0,-2820.0,-47.0
-46.0,0.050977369734236236,510.0,-165600.0,-2760.0,-46.0
-45.0,0.09323236545975998,511.0,-162000.0,-2700.0,-45.0
-44.0,0.13806202083840063,512.0,-158400.0,-2640.0,-44.0
-43.0,0.1843792044998576,513.0,-154800.0,-2580.0,-43.0
-42.0,0.23469628742116871,514.0,-151200.0,-2520.0,-42.0
-41.0,0.22978178325073045,515.0,-147600.0,-2460.0,-41.0
