lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.14659206387494564,436.0,-432000.0,-7200.0,-120.0
-119.0,0.19156379791383718,437.0,-428400.0,-7140.0,-119.0
-118.0,0.23785694848581607,438.0,-424800.0,-7080.0,-118.0
-117.0,0.28569426076031773,439.0,-421200.0,-7020.0,-117.0
-116.0,0.3208759444190803,440.0,-417600.0,-6960.0,-116.0
-115.0,0.3653713699877454,441.0,-414000.0,-6900.0,-115.0
-114.0,0.41437171169155473,442.0,-410400.0,-6840.0,-114.0
-113.0,0.42357347413445684,443.0,-406800.0,-6780.0,-113.0
-112.0,0.34477018352962496,444.0,-403200.0,-6720.0,-112.0
-111.0,0.22669134489515236,445.0,-399600.0,-6660.0,-111.0
-110.0,0.12172174317003598,446.0,-396000.0,-6600.0,-110.0
-109.0,0.02745159941708872,447.0,-392400.0,-6540.0,-109.0
-108.0,-0.06472337405187399,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.16199782914941782,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.23310937602386297,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.22592181054120136,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.174299359798878,452.0,-374400.0,-6240.0,-104.0
-103.0,-0.11476084598652682,453.0,-370800.0,-6180.0,-103.0
-102.0,-0.0577178831867707,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.03516484623892956,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.027209745964353764,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.005089473119509428,457.0,-356400.0,-5940.0,-99.0
-98.0,0.04452055064843871,458.0,-352800.0,-5880.0,-98.0
-97.0,0.10423457587763589,459.0,-349200.0,-5820.0,-97.0
-96.0,0.16095931035064717,460.0,-345600.0,-5760.0,-96.0
-95.0,0.20887327979044792,461.0,-342000.0,-5700.0,-95.0
-94.0,0.25448767706939635,462.0,-338400.0,-5640.0,-94.0
-93.0,0.30447030376694806,463.0,-334800.0,-5580.0,-93.0
-92.0,0.34412427758624176,464.0,-331200.0,-5520.0,-92.0
-91.0,0.38415935090133074,465.0,-327600.0,-5460.0,-91.0
-90.0,0.4291563946782059,466.0,-324000.0,-5400.0,-90.0
-89.0,0.4397650256064487,467.0,-320400.0,-5340.0,-89.0
-88.0,0.3620359056223094,468.0,-316800.0,-5280.0,-88.0
-87.0,0.2519547915208331,469.0,-313200.0,-5220.0,-87.0
-86.0,0.15130475050244846,470.0,-309600.0,-5160.0,-86.0
-85.0,0.054202220544142594,472.0,-306000.0,-5100.0,-85.0
-84.0,-0.041288184209934686,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.1367154212521126,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.2072424786203498,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.19722404684707187,476.0,-291600.0,-4860.0,-81.0
-80.0,-0.14515658579967816,476.0,-288000.0,-4800.0,-80.0
-79.0,-0.08359866757671627,477.0,-284400.0,-4740.0,-79.0
-78.0,-0.02528503465396553,478.0,-280800.0,-4680.0,-78.0
-77.0,-0.006882469289053478,479.0,-277200.0,-4620.0,-77.0
