lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.0796022004345497,436.0,-432000.0,-7200.0,-120.0
-119.0,0.14711298842558154,437.0,-428400.0,-7140.0,-119.0
-118.0,0.1980337500862254,438.0,-424800.0,-7080.0,-118.0
-117.0,0.257699640858765,439.0,-421200.0,-7020.0,-117.0
-116.0,0.32382051838578974,440.0,-417600.0,-6960.0,-116.0
-115.0,0.36449806652894384,441.0,-414000.0,-6900.0,-115.0
-114.0,0.3801030443191766,442.0,-410400.0,-6840.0,-114.0
-113.0,0.3193501626945461,443.0,-406800.0,-6780.0,-113.0
-112.0,0.2549887232397392,444.0,-403200.0,-6720.0,-112.0
-111.0,0.1860659606680554,445.0,-399600.0,-6660.0,-111.0
-110.0,0.13962067653505533,446.0,-396000.0,-6600.0,-110.0
-109.0,0.09010826951370726,447.0,-392400.0,-6540.0,-109.0
-108.0,0.043230669372592574,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.001955517299421099,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.029717548209000758,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.04543862931683403,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.023911590155266574,452.0,-374400.0,-6240.0,-104.0
-103.0,0.0026009798472331506,453.0,-370800.0,-6180.0,-103.0
-102.0,0.000841136880453672,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.047083692504211204,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.0724630013631715,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.06118254209442156,457.0,-356400.0,-5940.0,-99.0
-98.0,-0.015093402064205544,458.0,-352800.0,-5880.0,-98.0
-97.0,0.03887739096810281,459.0,-349200.0,-5820.0,-97.0
-96.0,0.08727700242920862,460.0,-345600.0,-5760.0,-96.0
-95.0,0.15275793765757809,461.0,-342000.0,-5700.0,-95.0
-94.0,0.21321986550298258,462.0,-338400.0,-5640.0,-94.0
-93.0,0.2677722261975042,463.0,-334800.0,-5580.0,-93.0
-92.0,0.33678854317771917,464.0,-331200.0,-5520.0,-92.0
-91.0,0.3791678843075821,465.0,-327600.0,-5460.0,-91.0
-90.0,0.3969752691402603,466.0,-324000.0,-5400.0,-90.0
-89.0,0.33661674281973475,467.0,-320400.0,-5340.0,-89.0
-88.0,0.26723215302268977,468.0,-316800.0,-5280.0,-88.0
-87.0,0.19700668245460434,469.0,-313200.0,-5220.0,-87.0
-86.0,0.13843085461741353,470.0,-309600.0,-5160.0,-86.0
-85.0,0.08878811239850501,472.0,-306000.0,-5100.0,-85.0
-84.0,0.03674084822356107,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.00651198874166354,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.03634251592143908,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.05325515150069889,476.0,-291600.0,-4860.0,-81.0
