lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,-0.01880057186880455,436.0,-432000.0,-7200.0,-120.0
-119.0,0.03811199147352804,437.0,-428400.0,-7140.0,-119.0
-118.0,0.09791536540353926,438.0,-424800.0,-7080.0,-118.0
-117.0,0.15910319839040787,439.0,-421200.0,-7020.0,-117.0
-116.0,0.23889912603322258,440.0,-417600.0,-6960.0,-116.0
-115.0,0.3132541488136147,441.0,-414000.0,-6900.0,-115.0
-114.0,0.39619458239240724,442.0,-410400.0,-6840.0,-114.0
-113.0,0.44289271244460415,443.0,-406800.0,-6780.0,-113.0
-112.0,0.36807912838438367,444.0,-403200.0,-6720.0,-112.0
-111.0,0.19147681173676898,445.0,-399600.0,-6660.0,-111.0
-110.0,0.024230477784358693,446.0,-396000.0,-6600.0,-110.0
-109.0,-0.13070830598527935,447.0,-392400.0,-6540.0,-109.0
-108.0,-0.2815609025882082,448.0,-388800.0,-6480.0,-108.0
-107.0,-0.43416997832898563,449.0,-385200.0,-6420.0,-107.0
-106.0,-0.566419413061226,450.0,-381600.0,-6360.0,-106.0
-105.0,-0.5502940764288147,451.0,-378000.0,-6300.0,-105.0
-104.0,-0.4752217331207292,452.0,-374400.0,-6240.0,-104.0
-103.0,-0.39387856053210135,453.0,-370800.0,-6180.0,-103.0
-102.0,-0.31845323565561645,454.0,-367200.0,-6120.0,-102.0
-101.0,-0.27785457267009295,455.0,-363600.0,-6060.0,-101.0
-100.0,-0.242513785788921,456.0,-360000.0,-6000.0,-100.0
-99.0,-0.20509719991428876,457.0,-356400.0,-5940.0,-99.0
-98.0,-0.1629740746568171,458.0,-352800.0,-5880.0,-98.0
-97.0,-0.10579618908454393,459.0,-349200.0,-5820.0,-97.0
-96.0,-0.043070770374002455,460.0,-345600.0,-5760.0,-96.0
-95.0,0.015194185462172351,461.0,-342000.0,-5700.0,-95.0
-94.0,0.07678315035511862,462.0,-338400.0,-5640.0,-94.0
-93.0,0.13510141809560022,463.0,-334800.0,-5580.0,-93.0
-92.0,0.2128900406285688,464.0,-331200.0,-5520.0,-92.0
-91.0,0.2884297547570385,465.0,-327600.0,-5460.0,-91.0
-90.0,0.37268684789153544,466.0,-324000.0,-5400.0,-90.0
-89.0,0.4157167484952539,467.0,-320400.0,-5340.0,-89.0
-88.0,0.342589221238047,468.0,-316800.0,-5280.0,-88.0
-87.0,0.1723877977518761,469.0,-313200.0,-5220.0,-87.0
-86.0,0.007097098606658547,470.0,-309600.0,-5160.0,-86.0
-85.0,-0.14252509520337403,472.0,-306000.0,-5100.0,-85.0
-84.0,-0.29015010495275945,474.0,-302400.0,-5040.0,-84.0
-83.0,-0.4421826883745687,475.0,-298800.0,-4980.0,-83.0
-82.0,-0.5704056868242298,476.0,-295200.0,-4920.0,-82.0
-81.0,-0.5558495386504899,476.0,-291600.0,-4860.0,-81.0
-80.0,-0.48546674325952033,476.0,-288000.0,-4800.0,-80.0
-79.0,-0.40547013831852446,477.0,-284400.0,-4740.0,-79.0
-78.0,-0.33390499876052854,478.0,-280800.0,-4680.0,-78.0
-77.0,-0.2900463406086346,479.0,-277200.0,-4620.0,-77.0
-76.0,-0.2570565568350182,480.0,-273600.0,-4560.0,-76.0
-75.0,-0.22199318618383404,481.0,-270000.0,-4500.0,-75.0
-74.0,-0.18082439712647613,482.0,-266400.0,-4440.0,-74.0
-73.0,-0.12859842701823457,483.0,-262800.0,-4380.0,-73.0
-72.0,-0.06971825972778095,484.0,-259200.0,-4320.0,-72.0
-71.0,-0.012869321911462195,485.0,-255600.0,-4260.0,-71.0
-70.0,0.050983162480462745,486.0,-252000.0,-4200.0,-70.0
-69.0,0.11302964099124478,487.0,-248400.0,-4140.0,-69.0
-68.0,0.1863320771408382,488.0,-244800.0,-4080.0,-68.0
-67.0,0.25647211145250726,489.0,-241200.0,-4020.0,-67.0
-66.0,0.3359215117906118,490.0,-237600.0,-3960.0,-66.0
-65.0,0.3731906554964125,491.0,-234000.0,-3900.0,-65.0
-64.0,0.30011779730007243,492.0,-230400.0,-3840.0,-64.0
-63.0,0.13389280523414177,493.0,-226800.0,-3780.0,-63.0
-62.0,-0.027346640964820344,494.0,-223200.0,-3720.0,-62.0
-61.0,-0.17491525367991267,495.0,-219600.0,-3660.0,-61.0
-60.0,-0.3152284788274245,496.0,-216000.0,-3600.0,-60.0
-59.0,-0.4596481356839043,497.0,-212400.0,-3540.0,-59.0
-58.0,-0.5822788080597435,498.0,-208800.0,-3480.0,-58.0
-57.0,-0.5670399189948307,499.0,-205200.0,-3420.0,-57.0
-56.0,-0.4985588557225563,500.0,-201600.0,-3360.0,-56.0
-55.0,-0.42274710295387885,501.0,-198000.0,-3300.0,-55.0
-54.0,-0.3550569640828782,502.0,-194400.0,-3240.0,-54.0
-53.0,-0.31994623018692664,503.0,-190800.0,-3180.0,-53.0
-52.0,-0.2936255088190632,504.0,-187200.0,-3120.0,-52.0
-51.0,-0.2619697485524601,506.0,-183600.0,-3060.0,-51.0
-50.0,-0.22192834776210388,508.0,-180000.0,-3000.0,-50.0
-49.0,-0.16952411185797267,509.0,-176400.0,-2940.0,-49.0
-48.0,-0.10795538967690879,510.0,-172800.0,-2880.0,-48.0
-47.0,-0.04744794489663422,510.0,-169200.0,-2820.0,-47.0
-46.0,0.015581234403401242,510.0,-165600.0,-2760.0,-46.0
-45.0,0.0772500635932465,511.0,-162000.0,-2700.0,-45.0
-44.0,0.143988602150394,512.0,-158400.0,-2640.0,-44.0
-43.0,0.2088775922612125,513.0,-154800.0,-2580.0,-43.0
-42.0,0.2809438003610514,514.0,-151200.0,-2520.0,-42.0
-41.0,0.3128074940434662,515.0,-147600.0,-2460.0,-41.0
-40.0,0.2416330590631607,516.0,-144000.0,-2400.0,-40.0
-39.0,0.08598896099414531,517.0,-140400.0,-2340.0,-39.0
-38.0,-0.06615241715289347,518.0,-136800.0,-2280.0,-38.0
-37.0,-0.20484934633945423,519.0,-133200.0,-2220.0,-37.0
-36.0,-0.3334637053434715,520.0,-129600.0,-2160.0,-36.0
-35.0,-0.4646753067369085,521.0,-126000.0,-2100.0,-35.0
-34.0,-0.5807648268613034,522.0,-122400.0,-2040.0,-34.0
-33.0,-0.5707159936574183,523.0,-118800.0,-1980.0,-33.0
-32.0,-0.5097454403162445,524.0,-115200.0,-1920.0,-32.0
-31.0,-0.4414152986418853,525.0,-111600.0,-1860.0,-31.0
-30.0,-0.3794243929040684,526.0,-108000.0,-1800.0,-30.0
-29.0,-0.34880898313557485,527.0,-104400.0,-1740.0,-29.0
-28.0,-0.32564123033986825,528.0,-100800.0,-1680.0,-28.0
-27.0,-0.29166053018699123,529.0,-97200.0,-1620.0,-27.0
-26.0,-0.2515022432613801,530.0,-93600.0,-1560.0,-26.0
-25.0,-0.20115001640974067,531.0,-90000.0,-1500.0,-25.0
-24.0,-0.14371583315541342,532.0,-86400.0,-1440.0,-24.0
-23.0,-0.08598571924121721,533.0,-82800.0,-1380.0,-23.0
-22.0,-0.02497436343505992,534.0,-79200.0,-1320.0,-22.0
-21.0,0.03359254652723961,535.0,-75600.0,-1260.0,-21.0
-20.0,0.10040446415849269,536.0,-72000.0,-1200.0,-20.0
-19.0,0.16497741562146961,537.0,-68400.0,-1140.0,-19.0
-18.0,0.23539298624241103,538.0,-64800.0,-1080.0,-18.0
-17.0,0.2667343116256674,539.0,-61200.0,-1020.0,-17.0
-16.0,0.19619433389753002,540.0,-57600.0,-960.0,-16.0
-15.0,0.048014117805453886,541.0,-54000.0,-900.0,-15.0
-14.0,-0.09630705909179929,542.0,-50400.0,-840.0,-14.0
-13.0,-0.22799330468075718,543.0,-46800.0,-780.0,-13.0
-12.0,-0.3512344603514018,544.0,-43200.0,-720.0,-12.0
-11.0,-0.4728992084950622,545.0,-39600.0,-660.0,-11.0
-10.0,-0.5827410543497112,546.0,-36000.0,-600.0,-10.0
-9.0,-0.5728374607096902,547.0,-32400.0,-540.0,-9.0
-8.0,-0.5146993280313656,548.0,-28800.0,-480.0,-8.0
-7.0,-0.4488149691660523,549.0,-25200.0,-420.0,-7.0
-6.0,-0.38953160434043976,550.0,-21600.0,-360.0,-6.0
-5.0,-0.3597481400683285,551.0,-18000.0,-300.0,-5.0
-4.0,-0.3372876197443574,552.0,-14400.0,-240.0,-4.0
-3.0,-0.30752115662687746,555.0,-10800.0,-180.0,-3.0
-2.0,-0.2725687578260396,558.0,-7200.0,-120.0,-2.0
-1.0,-0.22882798287108516,562.0,-3600.0,-60.0,-1.0
0.0,-0.17466687497203096,566.0,0.0,0.0,0.0
1.0,-0.1115667800850558,562.0,3600.0,60.0,1.0
2.0,-0.04660526923660289,558.0,7200.0,120.0,2.0
3.0,0.014849905344172055,555.0,10800.0,180.0,3.0
4.0,0.08077231067830419,552.0,14400.0,240.0,4.0
5.0,0.1386262409375468,551.0,18000.0,300.0,5.0
6.0,0.20219726053693748,550.0,21600.0,360.0,6.0
7.0,0.22761364581533639,549.0,25200.0,420.0,7.0
8.0,0.15844382232219903,548.0,28800.0,480.0,8.0
9.0,0.014733113046877161,547.0,32400.0,540.0,9.0
10.0,-0.12403249980531815,546.0,36000.0,600.0,10.0
11.0,-0.2524299369845055,545.0,39600.0,660.0,11.0
12.0,-0.3694056337441798,544.0,43200.0,720.0,12.0
13.0,-0.48780888656073984,543.0,46800.0,780.0,13.0
14.0,-0.5936026176904299,542.0,50400.0,840.0,14.0
15.0,-0.5845319623571662,541.0,54000.0,900.0,15.0
16.0,-0.5234345626665808,540.0,57600.0,960.0,16.0
17.0,-0.45638663562734855,539.0,61200.0,1020.0,17.0
18.0,-0.39849288293453755,538.0,64800.0,1080.0,18.0
19.0,-0.37075498275298097,537.0,68400.0,1140.0,19.0
20.0,-0.3497661127726032,536.0,72000.0,1200.0,20.0
21.0,-0.320204755622351,535.0,75600.0,1260.0,21.0
22.0,-0.2833768962765744,534.0,79200.0,1320.0,22.0
23.0,-0.23687419583441197,533.0,82800.0,1380.0,23.0
24.0,-0.17947850843528448,532.0,86400.0,1440.0,24.0
25.0,-0.1181113306851363,531.0,90000.0,1500.0,25.0
26.0,-0.05535164136401345,530.0,93600.0,1560.0,26.0
27.0,0.0049404729096638456,529.0,97200.0,1620.0,27.0
28.0,0.07213595153357658,528.0,100800.0,1680.0,28.0
29.0,0.13406509036903652,527.0,104400.0,1740.0,29.0
30.0,0.1968061764198181,526.0,108000.0,1800.0,30.0
31.0,0.22094591578820175,525.0,111600.0,1860.0,31.0
32.0,0.1502413825108003,524.0,115200.0,1920.0,32.0
33.0,0.0034450650393999475,523.0,118800.0,1980.0,33.0
34.0,-0.13858663111396577,522.0,122400.0,2040.0,34.0
35.0,-0.2654567170774567,521.0,126000.0,2100.0,35.0
36.0,-0.3834322010597235,520.0,129600.0,2160.0,36.0
37.0,-0.5001442638915911,519.0,133200.0,2220.0,37.0
38.0,-0.608358392895523,518.0,136800.0,2280.0,38.0
39.0,-0.597658156254325,517.0,140400.0,2340.0,39.0
40.0,-0.5332569078993877,516.0,144000.0,2400.0,40.0
41.0,-0.4670019353471055,515.0,147600.0,2460.0,41.0
42.0,-0.41344166685896144,514.0,151200.0,2520.0,42.0
43.0,-0.38499512233788824,513.0,154800.0,2580.0,43.0
44.0,-0.35963927548495855,512.0,158400.0,2640.0,44.0
45.0,-0.3272762720220645,511.0,162000.0,2700.0,45.0
46.0,-0.28955855873785435,510.0,165600.0,2760.0,46.0
47.0,-0.24335460297227812,510.0,169200.0,2820.0,47.0
48.0,-0.18514142364146668,510.0,172800.0,2880.0,48.0
49.0,-0.12529856384617777,509.0,176400.0,2940.0,49.0
50.0,-0.06400026876873777,508.0,180000.0,3000.0,50.0
51.0,-0.0019305966134723586,506.0,183600.0,3060.0,51.0
52.0,0.07004226876420935,504.0,187200.0,3120.0,52.0
53.0,0.13773729779064062,503.0,190800.0,3180.0,53.0
54.0,0.20627471844692516,502.0,194400.0,3240.0,54.0
55.0,0.2289908159034524,501.0,198000.0,3300.0,55.0
56.0,0.16130544967437563,500.0,201600.0,3360.0,56.0
57.0,0.011396081049243119,499.0,205200.0,3420.0,57.0
58.0,-0.13490268780610815,498.0,208800.0,3480.0,58.0
59.0,-0.26500519864731975,497.0,212400.0,3540.0,59.0
60.0,-0.38418437365273495,496.0,216000.0,3600.0,60.0
61.0,-0.5045806249800214,495.0,219600.0,3660.0,61.0
62.0,-0.6170059633099736,494.0,223200.0,3720.0,62.0
63.0,-0.6097469821912717,493.0,226800.0,3780.0,63.0
64.0,-0.5471035445424057,492.0,230400.0,3840.0,64.0
65.0,-0.47982015724025284,491.0,234000.0,3900.0,65.0
66.0,-0.42193367483855776,490.0,237600.0,3960.0,66.0
67.0,-0.3952307056110503,489.0,241200.0,4020.0,67.0
68.0,-0.3715886217123915,488.0,244800.0,4080.0,68.0
69.0,-0.33958266162420603,487.0,248400.0,4140.0,69.0
70.0,-0.30130263928217055,486.0,252000.0,4200.0,70.0
71.0,-0.2519523458407262,485.0,255600.0,4260.0,71.0
72.0,-0.19335196513755612,484.0,259200.0,4320.0,72.0
73.0,-0.12927586355655768,483.0,262800.0,4380.0,73.0
74.0,-0.0631136544609857,482.0,266400.0,4440.0,74.0
75.0,-0.0046237959091016976,481.0,270000.0,4500.0,75.0
76.0,0.0661682163337533,480.0,273600.0,4560.0,76.0
77.0,0.13652542097944606,479.0,277200.0,4620.0,77.0
78.0,0.20985873765700713,478.0,280800.0,4680.0,78.0
79.0,0.23582963873478677,477.0,284400.0,4740.0,79.0
80.0,0.16226230840077369,476.0,288000.0,4800.0,80.0
81.0,0.010373925805983264,476.0,291600.0,4860.0,81.0
82.0,-0.14042763567383917,476.0,295200.0,4920.0,82.0
83.0,-0.2735271842056546,475.0,298800.0,4980.0,83.0
84.0,-0.3939425201173175,474.0,302400.0,5040.0,84.0
85.0,-0.5163869235085581,472.0,306000.0,5100.0,85.0
86.0,-0.6301562267922575,470.0,309600.0,5160.0,86.0
87.0,-0.6203646880170759,469.0,313200.0,5220.0,87.0
88.0,-0.5554325069833537,468.0,316800.0,5280.0,88.0
89.0,-0.48760520995630147,467.0,320400.0,5340.0,89.0
90.0,-0.4314031947580497,466.0,324000.0,5400.0,90.0
91.0,-0.4039734398185304,465.0,327600.0,5460.0,91.0
92.0,-0.38202178347123217,464.0,331200.0,5520.0,92.0
93.0,-0.34891173346007587,463.0,334800.0,5580.0,93.0
94.0,-0.30846315324396245,462.0,338400.0,5640.0,94.0
95.0,-0.2577780562309913,461.0,342000.0,5700.0,95.0
96.0,-0.19440160693183944,460.0,345600.0,5760.0,96.0
97.0,-0.12981195025075928,459.0,349200.0,5820.0,97.0
98.0,-0.06178175331784037,458.0,352800.0,5880.0,98.0
99.0,-0.0009308310222067515,457.0,356400.0,5940.0,99.0
100.0,0.07053140624760294,456.0,360000.0,6000.0,100.0
101.0,0.13921502326209062,455.0,363600.0,6060.0,101.0
102.0,0.20992354299538288,454.0,367200.0,6120.0,102.0
103.0,0.2348077594350952,453.0,370800.0,6180.0,103.0
104.0,0.16614430673724306,452.0,374400.0,6240.0,104.0
105.0,0.016371443702244692,451.0,378000.0,6300.0,105.0
