lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.8966330000805276,0.01689343330243858
2.0,0.5681453785601385,0.5659511854306789
3.0,0.75662673309169,0.39503461516465377
4.0,0.7762150078972753,0.4448082799436912
5.0,0.8471185631029499,0.4025635481799908
6.0,2.4296099514260422e-11,10.774177656853439
7.0,7.880343848787288e-31,26.09114177611309
8.0,2.7893965182006964e-32,24.5475722076047
9.0,1.3914061018645467e-31,21.8017868977161
10.0,2.6406011469880737e-33,21.188922195799204
11.0,2.486535301259187e-35,20.907580750169657
12.0,2.2227985592681357e-35,19.55826087821283
13.0,9.611787225777286e-35,18.04345450163297
14.0,9.456174864364166e-35,17.059431610702877
15.0,3.2501564338273147e-32,15.004899544028493
16.0,1.3571626709842601e-28,12.733332098684611
17.0,3.2855401427851687e-25,10.828285822515694
18.0,2.1247823321241293e-25,10.485663640413915
19.0,4.179319453084249e-24,9.638109354329153
20.0,7.554659779402018e-23,8.881069077092729
21.0,9.44239249364828e-20,7.584520225724295
22.0,3.7831864872845495e-18,6.866119277969516
23.0,1.0097824888454695e-15,5.954461225469422
24.0,2.1831086253164046e-11,4.551637113217812
25.0,2.90375234162257e-10,4.139125507209255
26.0,4.4258456495680546e-10,4.010539162259936
27.0,7.480983685443208e-10,3.8778037266962584
28.0,8.003919750563538e-10,3.8051678953213854
29.0,6.770255534353221e-10,3.7632910011245944
30.0,1.6411372189818412e-09,3.6093858253687228
31.0,6.610259377721954e-09,3.4082518105119686
32.0,1.0059840651223715e-08,3.318473148149811
33.0,2.6758873551412057e-08,3.1749127701519666
34.0,9.685900415087739e-09,3.240594734058075
35.0,2.4131288859259175e-08,3.11179973136695
36.0,4.474987279130438e-08,3.0168795733507228
37.0,1.36716093292791e-08,3.100184337471321
38.0,7.962765256287071e-09,3.119594583629132
39.0,6.0392151931167e-09,3.1142769745796173
40.0,1.2730864446130698e-08,3.0162208073501127
41.0,2.877045498720701e-08,2.9149715284793776
42.0,4.1512389948929465e-08,2.8569864697505274
43.0,7.905495814008707e-08,2.7763088032429755
44.0,1.123863167037176e-07,2.7236419894589563
45.0,2.151100495056959e-07,2.646675301582939
46.0,2.6543760027549445e-07,2.6096598544068774
47.0,5.909312403958658e-07,2.5231705012252124
48.0,2.084740541861474e-06,2.398695022092467
49.0,2.623013573506011e-06,2.364571808737302
50.0,1.0134531263632422e-06,2.431061011337771
51.0,1.1734157783377778e-06,2.40490720927355
52.0,4.724288107494219e-07,2.4659051724518193
53.0,4.15909486213923e-07,2.4625712632837846
54.0,5.930375373771866e-07,2.4211242060545244
55.0,6.014351629027723e-07,2.4076029008049225
56.0,6.998383691687171e-07,2.3837693995885183
57.0,2.3155429062590118e-07,2.4579431793006914
58.0,3.915321009847035e-07,2.40606652821065
59.0,1.4548173916255133e-07,2.4699915127040963
60.0,3.1071341783497783e-07,2.401960144601167
61.0,5.55187248753453e-07,2.348170532013909
62.0,8.17449168229144e-07,2.3096293760519155
63.0,8.052610927572282e-07,2.301676764464702
64.0,8.889372382595212e-07,2.28561657137392
65.0,1.8954750408786546e-06,2.2213491724733423
66.0,3.64954235604776e-06,2.16512204229534
67.0,3.231375347218582e-06,2.166961850573723
68.0,5.71724895754014e-06,2.1179875118934413
69.0,7.820767648747235e-06,2.088430272315788
70.0,7.27230735139752e-06,2.0876787952081157
71.0,1.9736874972667513e-05,2.0082130183047275
72.0,2.7343990350786115e-05,1.9787142561512803
