lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.13537462953084783,387.0,-604800.0,-10080.0,-168.0
-167.0,-0.07917688811479846,388.0,-601200.0,-10020.0,-167.0
-166.0,-0.022490025242558102,389.0,-597600.0,-9960.0,-166.0
-165.0,0.07824867819475052,390.0,-594000.0,-9900.0,-165.0
-164.0,0.23051830477754023,391.0,-590400.0,-9840.0,-164.0
-163.0,0.42615676483596165,392.0,-586800.0,-9780.0,-163.0
-162.0,0.6380393960301767,393.0,-583200.0,-9720.0,-162.0
-161.0,0.7489011391831084,394.0,-579600.0,-9660.0,-161.0
-160.0,0.6783367624151717,395.0,-576000.0,-9600.0,-160.0
-159.0,0.47663853364859016,396.0,-572400.0,-9540.0,-159.0
-158.0,0.2851546003436078,397.0,-568800.0,-9480.0,-158.0
-157.0,0.10613210649166943,398.0,-565200.0,-9420.0,-157.0
-156.0,-0.05868716160096726,399.0,-561600.0,-9360.0,-156.0
-155.0,-0.2151932497047471,400.0,-558000.0,-9300.0,-155.0
-154.0,-0.35780965218035915,401.0,-554400.0,-9240.0,-154.0
-153.0,-0.4175273191842509,402.0,-550800.0,-9180.0,-153.0
-152.0,-0.3919777704891718,403.0,-547200.0,-9120.0,-152.0
-151.0,-0.3387527473431224,404.0,-543600.0,-9060.0,-151.0
-150.0,-0.2865173039254362,405.0,-540000.0,-9000.0,-150.0
-149.0,-0.2868211859500715,406.0,-536400.0,-8940.0,-149.0
-148.0,-0.2878814073327563,407.0,-532800.0,-8880.0,-148.0
-147.0,-0.2730853713766251,408.0,-529200.0,-8820.0,-147.0
-146.0,-0.24556788442997046,409.0,-525600.0,-8760.0,-146.0
-145.0,-0.19997460251553328,410.0,-522000.0,-8700.0,-145.0
-144.0,-0.14640886704984005,411.0,-518400.0,-8640.0,-144.0
-143.0,-0.09830724425564666,412.0,-514800.0,-8580.0,-143.0
-142.0,-0.046445108602042005,413.0,-511200.0,-8520.0,-142.0
-141.0,0.05497671263271102,414.0,-507600.0,-8460.0,-141.0
-140.0,0.2159333891665884,415.0,-504000.0,-8400.0,-140.0
-139.0,0.40732016669005794,416.0,-500400.0,-8340.0,-139.0
-138.0,0.6092855077564185,417.0,-496800.0,-8280.0,-138.0
-137.0,0.7139858208419649,418.0,-493200.0,-8220.0,-137.0
-136.0,0.6428834445576322,420.0,-489600.0,-8160.0,-136.0
-135.0,0.4521717897143808,422.0,-486000.0,-8100.0,-135.0
-134.0,0.2686439343623973,424.0,-482400.0,-8040.0,-134.0
-133.0,0.10291504367987415,426.0,-478800.0,-7980.0,-133.0
-132.0,-0.05418473993294888,428.0,-475200.0,-7920.0,-132.0
-131.0,-0.20587031898388936,428.0,-471600.0,-7860.0,-131.0
-130.0,-0.34687356971785144,428.0,-468000.0,-7800.0,-130.0
-129.0,-0.4110663532767765,428.0,-464400.0,-7740.0,-129.0
-128.0,-0.38792931957649823,428.0,-460800.0,-7680.0,-128.0
-127.0,-0.3329513001955913,428.0,-457200.0,-7620.0,-127.0
-126.0,-0.28057055747030096,429.0,-453600.0,-7560.0,-126.0
-125.0,-0.27651197629248275,430.0,-450000.0,-7500.0,-125.0
-124.0,-0.27106054904359966,430.0,-446400.0,-7440.0,-124.0
-123.0,-0.2556801022562468,430.0,-442800.0,-7380.0,-123.0
-122.0,-0.23232084593722965,430.0,-439200.0,-7320.0,-122.0
-121.0,-0.19206085586157817,430.0,-435600.0,-7260.0,-121.0
-120.0,-0.13939104109460382,430.0,-432000.0,-7200.0,-120.0
-119.0,-0.0990291000177177,431.0,-428400.0,-7140.0,-119.0
-118.0,-0.05686404591319089,432.0,-424800.0,-7080.0,-118.0
-117.0,0.030862680693428762,433.0,-421200.0,-7020.0,-117.0
