lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.00423965614471736,387.0,-604800.0,-10080.0,-168.0
-167.0,0.07538259978068812,388.0,-601200.0,-10020.0,-167.0
-166.0,0.14161858580159978,389.0,-597600.0,-9960.0,-166.0
-165.0,0.2095492789531479,390.0,-594000.0,-9900.0,-165.0
-164.0,0.28297028928750506,391.0,-590400.0,-9840.0,-164.0
-163.0,0.3593718479454592,392.0,-586800.0,-9780.0,-163.0
-162.0,0.4391565769033103,393.0,-583200.0,-9720.0,-162.0
-161.0,0.48588022159002603,394.0,-579600.0,-9660.0,-161.0
-160.0,0.3995382573791807,395.0,-576000.0,-9600.0,-160.0
-159.0,0.21473528951908297,396.0,-572400.0,-9540.0,-159.0
-158.0,0.03298199403576616,397.0,-568800.0,-9480.0,-158.0
-157.0,-0.12983174280561818,398.0,-565200.0,-9420.0,-157.0
-156.0,-0.28874115187087807,399.0,-561600.0,-9360.0,-156.0
-155.0,-0.4497577450470902,400.0,-558000.0,-9300.0,-155.0
-154.0,-0.5940360045783224,401.0,-554400.0,-9240.0,-154.0
-153.0,-0.5716277631214574,402.0,-550800.0,-9180.0,-153.0
-152.0,-0.4845458199630607,403.0,-547200.0,-9120.0,-152.0
-151.0,-0.39052530171181205,404.0,-543600.0,-9060.0,-151.0
-150.0,-0.30580461834682743,405.0,-540000.0,-9000.0,-150.0
-149.0,-0.26321429015619197,406.0,-536400.0,-8940.0,-149.0
-148.0,-0.22680424492812143,407.0,-532800.0,-8880.0,-148.0
-147.0,-0.1840980160878083,408.0,-529200.0,-8820.0,-147.0
-146.0,-0.1319597956399154,409.0,-525600.0,-8760.0,-146.0
-145.0,-0.07302954204230573,410.0,-522000.0,-8700.0,-145.0
-144.0,-0.0037830608880290613,411.0,-518400.0,-8640.0,-144.0
-143.0,0.06370756851288659,412.0,-514800.0,-8580.0,-143.0
-142.0,0.12737615509707292,413.0,-511200.0,-8520.0,-142.0
-141.0,0.19284363313689648,414.0,-507600.0,-8460.0,-141.0
-140.0,0.26583669762172524,415.0,-504000.0,-8400.0,-140.0
-139.0,0.34242585075791165,416.0,-500400.0,-8340.0,-139.0
-138.0,0.4200558552606706,417.0,-496800.0,-8280.0,-138.0
-137.0,0.4652928072982234,418.0,-493200.0,-8220.0,-137.0
-136.0,0.3850370213370634,420.0,-489600.0,-8160.0,-136.0
-135.0,0.2067203606912487,422.0,-486000.0,-8100.0,-135.0
-134.0,0.028932226998838097,424.0,-482400.0,-8040.0,-134.0
-133.0,-0.12633384501770983,426.0,-478800.0,-7980.0,-133.0
-132.0,-0.280261635374042,428.0,-475200.0,-7920.0,-132.0
