lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.039072815434315115,402.0,-604800.0,-10080.0,-168.0
-167.0,0.11210930427810385,403.0,-601200.0,-10020.0,-167.0
-166.0,0.1612981375651163,404.0,-597600.0,-9960.0,-166.0
-165.0,0.24456564397844816,405.0,-594000.0,-9900.0,-165.0
-164.0,0.3181434289725918,406.0,-590400.0,-9840.0,-164.0
-163.0,0.2895088448669247,407.0,-586800.0,-9780.0,-163.0
-162.0,0.2915886057574338,408.0,-583200.0,-9720.0,-162.0
-161.0,0.2789444627537094,409.0,-579600.0,-9660.0,-161.0
-160.0,0.19092519194555108,410.0,-576000.0,-9600.0,-160.0
-159.0,0.07351008003297055,411.0,-572400.0,-9540.0,-159.0
-158.0,-0.08980736559236886,412.0,-568800.0,-9480.0,-158.0
-157.0,-0.1690238887420832,413.0,-565200.0,-9420.0,-157.0
-156.0,-0.24517178470104922,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.27619005399907165,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.32623039398975306,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.32917166213931165,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.29177761747482606,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.24084803894028847,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.23128220676764438,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.2678532175856185,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.28016966398094084,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.2500880568986403,423.0,-529200.0,-8820.0,-147.0
-146.0,-0.1571597381405521,424.0,-525600.0,-8760.0,-146.0
-145.0,-0.05276375283663157,425.0,-522000.0,-8700.0,-145.0
-144.0,0.023869403365277063,426.0,-518400.0,-8640.0,-144.0
-143.0,0.10135289479227488,427.0,-514800.0,-8580.0,-143.0
-142.0,0.15157411769226997,428.0,-511200.0,-8520.0,-142.0
-141.0,0.2223584373844118,429.0,-507600.0,-8460.0,-141.0
-140.0,0.2885459959635369,430.0,-504000.0,-8400.0,-140.0
-139.0,0.27594183300517006,431.0,-500400.0,-8340.0,-139.0
-138.0,0.2630064560020024,432.0,-496800.0,-8280.0,-138.0
-137.0,0.25429051995962976,433.0,-493200.0,-8220.0,-137.0
-136.0,0.17050153582579053,434.0,-489600.0,-8160.0,-136.0
-135.0,0.05166988549006164,435.0,-486000.0,-8100.0,-135.0
-134.0,-0.08627697540015478,436.0,-482400.0,-8040.0,-134.0
-133.0,-0.14214114612915496,438.0,-478800.0,-7980.0,-133.0
-132.0,-0.21808642468957454,440.0,-475200.0,-7920.0,-132.0
-131.0,-0.27296088214047737,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.3185178385529849,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.31042399721246894,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.26508486444652274,442.0,-460800.0,-7680.0,-128.0
-127.0,-0.2367562000720082,443.0,-457200.0,-7620.0,-127.0
-126.0,-0.2253962301719195,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.2599609291828796,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.2737452247154185,445.0,-446400.0,-7440.0,-124.0
-123.0,-0.24225147220613646,445.0,-442800.0,-7380.0,-123.0
-122.0,-0.15390848995784237,446.0,-439200.0,-7320.0,-122.0
-121.0,-0.0699722887888788,447.0,-435600.0,-7260.0,-121.0
-120.0,0.007938024920130198,448.0,-432000.0,-7200.0,-120.0
-119.0,0.08726212331488764,449.0,-428400.0,-7140.0,-119.0
-118.0,0.13841427352818955,450.0,-424800.0,-7080.0,-118.0
-117.0,0.19864569510520352,451.0,-421200.0,-7020.0,-117.0
-116.0,0.26155248820103605,452.0,-417600.0,-6960.0,-116.0
-115.0,0.240075292187964,453.0,-414000.0,-6900.0,-115.0
-114.0,0.2352249226889019,454.0,-410400.0,-6840.0,-114.0
-113.0,0.21526534479232276,455.0,-406800.0,-6780.0,-113.0
-112.0,0.13798648386627713,456.0,-403200.0,-6720.0,-112.0
-111.0,0.03478615024500273,457.0,-399600.0,-6660.0,-111.0
-110.0,-0.07323375095675647,458.0,-396000.0,-6600.0,-110.0
-109.0,-0.12238291378312273,459.0,-392400.0,-6540.0,-109.0
-108.0,-0.19752429565862317,460.0,-388800.0,-6480.0,-108.0
-107.0,-0.2608372040096576,461.0,-385200.0,-6420.0,-107.0
-106.0,-0.3126165421106398,462.0,-381600.0,-6360.0,-106.0
-105.0,-0.29197125012521713,463.0,-378000.0,-6300.0,-105.0
-104.0,-0.27131308460784576,464.0,-374400.0,-6240.0,-104.0
-103.0,-0.23501945687606948,465.0,-370800.0,-6180.0,-103.0
-102.0,-0.23280274742894397,466.0,-367200.0,-6120.0,-102.0
-101.0,-0.26698377556628616,467.0,-363600.0,-6060.0,-101.0
-100.0,-0.27722239340215604,468.0,-360000.0,-6000.0,-100.0
-99.0,-0.24649072978013972,469.0,-356400.0,-5940.0,-99.0
-98.0,-0.15051045456590484,470.0,-352800.0,-5880.0,-98.0
-97.0,-0.08021923038129646,471.0,-349200.0,-5820.0,-97.0
-96.0,-0.019529710942986306,472.0,-345600.0,-5760.0,-96.0
-95.0,0.0548013101832382,473.0,-342000.0,-5700.0,-95.0
-94.0,0.10050291117827116,474.0,-338400.0,-5640.0,-94.0
-93.0,0.1708618878933581,475.0,-334800.0,-5580.0,-93.0
-92.0,0.23068633325129967,476.0,-331200.0,-5520.0,-92.0
-91.0,0.22016549869043572,477.0,-327600.0,-5460.0,-91.0
-90.0,0.21678809623555084,478.0,-324000.0,-5400.0,-90.0
-89.0,0.19319324637499333,479.0,-320400.0,-5340.0,-89.0
-88.0,0.1244218796087778,480.0,-316800.0,-5280.0,-88.0
-87.0,0.03712834891957039,481.0,-313200.0,-5220.0,-87.0
-86.0,-0.056171069531793155,482.0,-309600.0,-5160.0,-86.0
-85.0,-0.1346839204435371,483.0,-306000.0,-5100.0,-85.0
-84.0,-0.2176373966304999,484.0,-302400.0,-5040.0,-84.0
-83.0,-0.2725661239271145,485.0,-298800.0,-4980.0,-83.0
-82.0,-0.3148815839010199,486.0,-295200.0,-4920.0,-82.0
-81.0,-0.30361772053902597,487.0,-291600.0,-4860.0,-81.0
-80.0,-0.29079966614644004,488.0,-288000.0,-4800.0,-80.0
-79.0,-0.25912667344979934,489.0,-284400.0,-4740.0,-79.0
-78.0,-0.25801557651355955,490.0,-280800.0,-4680.0,-78.0
-77.0,-0.29421466908729516,491.0,-277200.0,-4620.0,-77.0
-76.0,-0.29507349829993723,492.0,-273600.0,-4560.0,-76.0
-75.0,-0.25979515388078794,493.0,-270000.0,-4500.0,-75.0
-74.0,-0.16829273536971,494.0,-266400.0,-4440.0,-74.0
-73.0,-0.10264376620080243,495.0,-262800.0,-4380.0,-73.0
-72.0,-0.047756697003580754,496.0,-259200.0,-4320.0,-72.0
-71.0,0.021776396210352864,497.0,-255600.0,-4260.0,-71.0
-70.0,0.07508647864454886,498.0,-252000.0,-4200.0,-70.0
-69.0,0.1364616395022265,499.0,-248400.0,-4140.0,-69.0
-68.0,0.18483769098067004,500.0,-244800.0,-4080.0,-68.0
-67.0,0.17940884974385976,501.0,-241200.0,-4020.0,-67.0
-66.0,0.18690586660545686,502.0,-237600.0,-3960.0,-66.0
-65.0,0.16160913122177387,503.0,-234000.0,-3900.0,-65.0
-64.0,0.0848108819657744,504.0,-230400.0,-3840.0,-64.0
-63.0,0.009034702842854663,505.0,-226800.0,-3780.0,-63.0
-62.0,-0.09728296455995047,506.0,-223200.0,-3720.0,-62.0
-61.0,-0.17001568759993244,507.0,-219600.0,-3660.0,-61.0
-60.0,-0.2511594823431091,508.0,-216000.0,-3600.0,-60.0
-59.0,-0.2980558940207299,509.0,-212400.0,-3540.0,-59.0
-58.0,-0.3381690669883184,510.0,-208800.0,-3480.0,-58.0
-57.0,-0.33865680727092895,511.0,-205200.0,-3420.0,-57.0
-56.0,-0.3310758829556613,512.0,-201600.0,-3360.0,-56.0
-55.0,-0.28333115577558476,513.0,-198000.0,-3300.0,-55.0
-54.0,-0.2844792587162079,514.0,-194400.0,-3240.0,-54.0
-53.0,-0.3216898194196069,515.0,-190800.0,-3180.0,-53.0
-52.0,-0.32214646191339164,516.0,-187200.0,-3120.0,-52.0
-51.0,-0.2865923512697741,517.0,-183600.0,-3060.0,-51.0
-50.0,-0.2083012798352162,518.0,-180000.0,-3000.0,-50.0
-49.0,-0.1408458636947325,519.0,-176400.0,-2940.0,-49.0
