lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.0015122638564552052,402.0,-604800.0,-10080.0,-168.0
-167.0,0.06569319005514526,403.0,-601200.0,-10020.0,-167.0
-166.0,0.12137449807302599,404.0,-597600.0,-9960.0,-166.0
-165.0,0.17583468787749096,405.0,-594000.0,-9900.0,-165.0
-164.0,0.25227527464771876,406.0,-590400.0,-9840.0,-164.0
-163.0,0.32531792049232616,407.0,-586800.0,-9780.0,-163.0
-162.0,0.39484075310514477,408.0,-583200.0,-9720.0,-162.0
-161.0,0.403915005242538,409.0,-579600.0,-9660.0,-161.0
-160.0,0.2987907433666161,410.0,-576000.0,-9600.0,-160.0
-159.0,0.11673487440370259,411.0,-572400.0,-9540.0,-159.0
-158.0,-0.048931986511358175,412.0,-568800.0,-9480.0,-158.0
-157.0,-0.19150383229602586,413.0,-565200.0,-9420.0,-157.0
-156.0,-0.309959214310848,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.4276451834287697,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.4900594441514961,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.4333299461106137,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.3515792415737862,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.27318884363659796,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.20643729331918959,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.18250141355899635,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.1662523659919027,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.14561674943598785,423.0,-529200.0,-8820.0,-147.0
-146.0,-0.11662671886130183,424.0,-525600.0,-8760.0,-146.0
-145.0,-0.07163848459881714,425.0,-522000.0,-8700.0,-145.0
-144.0,-0.012149607801430807,426.0,-518400.0,-8640.0,-144.0
-143.0,0.04722095032847999,427.0,-514800.0,-8580.0,-143.0
-142.0,0.09760736569861657,428.0,-511200.0,-8520.0,-142.0
-141.0,0.14927645165514947,429.0,-507600.0,-8460.0,-141.0
-140.0,0.22324919819036404,430.0,-504000.0,-8400.0,-140.0
-139.0,0.2946706915934122,431.0,-500400.0,-8340.0,-139.0
-138.0,0.36398143161738133,432.0,-496800.0,-8280.0,-138.0
-137.0,0.373999927900085,433.0,-493200.0,-8220.0,-137.0
-136.0,0.27433175431811757,434.0,-489600.0,-8160.0,-136.0
-135.0,0.10464817395426437,435.0,-486000.0,-8100.0,-135.0
-134.0,-0.05311737564621609,436.0,-482400.0,-8040.0,-134.0
-133.0,-0.18717967209359154,438.0,-478800.0,-7980.0,-133.0
-132.0,-0.29861537940116195,440.0,-475200.0,-7920.0,-132.0
-131.0,-0.4082784060105586,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.4658213677753799,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.4133640790158792,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.33852206985313626,442.0,-460800.0,-7680.0,-128.0
-127.0,-0.26600682905701994,443.0,-457200.0,-7620.0,-127.0
-126.0,-0.20305024641545436,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.1852799958741845,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.1710894719134974,445.0,-446400.0,-7440.0,-124.0
-123.0,-0.14801707531031427,445.0,-442800.0,-7380.0,-123.0
-122.0,-0.11946911246598536,446.0,-439200.0,-7320.0,-122.0
-121.0,-0.07901336218531771,447.0,-435600.0,-7260.0,-121.0
-120.0,-0.029949364995381176,448.0,-432000.0,-7200.0,-120.0
-119.0,0.018830564695711587,449.0,-428400.0,-7140.0,-119.0
-118.0,0.06688676597053198,450.0,-424800.0,-7080.0,-118.0
-117.0,0.11644597909538196,451.0,-421200.0,-7020.0,-117.0
-116.0,0.1876977346911369,452.0,-417600.0,-6960.0,-116.0
-115.0,0.2547105954571088,453.0,-414000.0,-6900.0,-115.0
-114.0,0.3292589924502416,454.0,-410400.0,-6840.0,-114.0
-113.0,0.34500374335744055,455.0,-406800.0,-6780.0,-113.0
-112.0,0.2502412455659432,456.0,-403200.0,-6720.0,-112.0
-111.0,0.08897065175513669,457.0,-399600.0,-6660.0,-111.0
-110.0,-0.05941418449691927,458.0,-396000.0,-6600.0,-110.0
-109.0,-0.19166798408945687,459.0,-392400.0,-6540.0,-109.0
-108.0,-0.2956935676352737,460.0,-388800.0,-6480.0,-108.0
-107.0,-0.3968760772356257,461.0,-385200.0,-6420.0,-107.0
-106.0,-0.44705195143339327,462.0,-381600.0,-6360.0,-106.0
-105.0,-0.40017385638927533,463.0,-378000.0,-6300.0,-105.0
-104.0,-0.3332145369611139,464.0,-374400.0,-6240.0,-104.0
-103.0,-0.265207079603453,465.0,-370800.0,-6180.0,-103.0
-102.0,-0.2043624314135788,466.0,-367200.0,-6120.0,-102.0
-101.0,-0.1882058356446744,467.0,-363600.0,-6060.0,-101.0
-100.0,-0.1800267763313936,468.0,-360000.0,-6000.0,-100.0
-99.0,-0.16227469479567178,469.0,-356400.0,-5940.0,-99.0
-98.0,-0.13515067277054554,470.0,-352800.0,-5880.0,-98.0
-97.0,-0.09748494943373485,471.0,-349200.0,-5820.0,-97.0
-96.0,-0.049431473669835364,472.0,-345600.0,-5760.0,-96.0
-95.0,-0.003149179222796288,473.0,-342000.0,-5700.0,-95.0
-94.0,0.04160528892034746,474.0,-338400.0,-5640.0,-94.0
-93.0,0.08801015797604053,475.0,-334800.0,-5580.0,-93.0
-92.0,0.15359574322999425,476.0,-331200.0,-5520.0,-92.0
-91.0,0.21596934002979495,477.0,-327600.0,-5460.0,-91.0
-90.0,0.28174959760133694,478.0,-324000.0,-5400.0,-90.0
-89.0,0.2919187931817365,479.0,-320400.0,-5340.0,-89.0
-88.0,0.1980073838150456,480.0,-316800.0,-5280.0,-88.0
-87.0,0.043889348481139734,481.0,-313200.0,-5220.0,-87.0
-86.0,-0.09918294563914488,482.0,-309600.0,-5160.0,-86.0
-85.0,-0.22571989495181016,483.0,-306000.0,-5100.0,-85.0
-84.0,-0.33021220411688806,484.0,-302400.0,-5040.0,-84.0
-83.0,-0.4193821290071409,485.0,-298800.0,-4980.0,-83.0
-82.0,-0.4615322130342267,486.0,-295200.0,-4920.0,-82.0
-81.0,-0.41559833162262133,487.0,-291600.0,-4860.0,-81.0
-80.0,-0.3530963834330312,488.0,-288000.0,-4800.0,-80.0
-79.0,-0.28480533179416584,489.0,-284400.0,-4740.0,-79.0
-78.0,-0.23147013040030817,490.0,-280800.0,-4680.0,-78.0
-77.0,-0.2161332780984323,491.0,-277200.0,-4620.0,-77.0
