lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.07130437734297729,402.0,-604800.0,-10080.0,-168.0
-167.0,0.028466567500008623,403.0,-601200.0,-10020.0,-167.0
-166.0,0.1308830237639049,404.0,-597600.0,-9960.0,-166.0
-165.0,0.22684420425770072,405.0,-594000.0,-9900.0,-165.0
-164.0,0.347863989826031,406.0,-590400.0,-9840.0,-164.0
-163.0,0.4776803378299306,407.0,-586800.0,-9780.0,-163.0
-162.0,0.6350261678652875,408.0,-583200.0,-9720.0,-162.0
-161.0,0.7410479771768568,409.0,-579600.0,-9660.0,-161.0
-160.0,0.649195380773829,410.0,-576000.0,-9600.0,-160.0
-159.0,0.4613694655883769,411.0,-572400.0,-9540.0,-159.0
-158.0,0.27463002894245,412.0,-568800.0,-9480.0,-158.0
-157.0,0.10615531392007516,413.0,-565200.0,-9420.0,-157.0
-156.0,-0.04769305683141067,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.19831221583860212,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.35961955715341265,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.5003515226902729,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.5270496330977421,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.4707869228625778,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.4143719130329337,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.38609728106539315,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.3757994068531811,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.33750175546203814,423.0,-529200.0,-8820.0,-147.0
-146.0,-0.2651410066279519,424.0,-525600.0,-8760.0,-146.0
-145.0,-0.17563434021964264,425.0,-522000.0,-8700.0,-145.0
-144.0,-0.07244197075044591,426.0,-518400.0,-8640.0,-144.0
-143.0,0.030054356402767688,427.0,-514800.0,-8580.0,-143.0
-142.0,0.12985163309997283,428.0,-511200.0,-8520.0,-142.0
-141.0,0.22476414773315548,429.0,-507600.0,-8460.0,-141.0
-140.0,0.3443502245854572,430.0,-504000.0,-8400.0,-140.0
-139.0,0.4751203873721726,431.0,-500400.0,-8340.0,-139.0
-138.0,0.6275994178114503,432.0,-496800.0,-8280.0,-138.0
-137.0,0.721480687777481,433.0,-493200.0,-8220.0,-137.0
-136.0,0.6312789901888614,434.0,-489600.0,-8160.0,-136.0
-135.0,0.44763793285973136,435.0,-486000.0,-8100.0,-135.0
-134.0,0.26117494380563505,436.0,-482400.0,-8040.0,-134.0
-133.0,0.09443154196378781,438.0,-478800.0,-7980.0,-133.0
-132.0,-0.0603232665138949,440.0,-475200.0,-7920.0,-132.0
-131.0,-0.21038608766048683,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.3670867146155184,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.504973196406664,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.530289255360769,442.0,-460800.0,-7680.0,-128.0
-127.0,-0.4747851267455202,443.0,-457200.0,-7620.0,-127.0
-126.0,-0.4227946547676431,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.3974749700292528,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.38045359965884473,445.0,-446400.0,-7440.0,-124.0
