lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.08476952570038647,402.0,-604800.0,-10080.0,-168.0
-167.0,0.19052474036152275,403.0,-601200.0,-10020.0,-167.0
-166.0,0.2987367057542903,404.0,-597600.0,-9960.0,-166.0
-165.0,0.38975941046897356,405.0,-594000.0,-9900.0,-165.0
-164.0,0.470686953797514,406.0,-590400.0,-9840.0,-164.0
-163.0,0.5637909328318271,407.0,-586800.0,-9780.0,-163.0
-162.0,0.6708127677947361,408.0,-583200.0,-9720.0,-162.0
-161.0,0.6705785755185074,409.0,-579600.0,-9660.0,-161.0
-160.0,0.4981403053604912,410.0,-576000.0,-9600.0,-160.0
-159.0,0.25894279911420043,411.0,-572400.0,-9540.0,-159.0
-158.0,0.05439109369447269,412.0,-568800.0,-9480.0,-158.0
-157.0,-0.11405758447997595,413.0,-565200.0,-9420.0,-157.0
-156.0,-0.2670385133057579,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.42255438798623823,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.5345197110470304,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.5091688472047009,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.4125797810595649,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.30142940632571336,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.22323668178151074,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.22413649816359799,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.22694238088862723,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.20520124914565335,423.0,-529200.0,-8820.0,-147.0
-146.0,-0.14048785158709,424.0,-525600.0,-8760.0,-146.0
-145.0,-0.04451900859394739,425.0,-522000.0,-8700.0,-145.0
-144.0,0.05925063253675369,426.0,-518400.0,-8640.0,-144.0
-143.0,0.15020973114008682,427.0,-514800.0,-8580.0,-143.0
-142.0,0.2412304862864447,428.0,-511200.0,-8520.0,-142.0
-141.0,0.3210527216857629,429.0,-507600.0,-8460.0,-141.0
-140.0,0.39210355686026477,430.0,-504000.0,-8400.0,-140.0
-139.0,0.4713578664484094,431.0,-500400.0,-8340.0,-139.0
-138.0,0.5589843734325246,432.0,-496800.0,-8280.0,-138.0
-137.0,0.5534700208416194,433.0,-493200.0,-8220.0,-137.0
-136.0,0.4042970665654998,434.0,-489600.0,-8160.0,-136.0
-135.0,0.2077643338686958,435.0,-486000.0,-8100.0,-135.0
-134.0,0.04415026486674408,436.0,-482400.0,-8040.0,-134.0
-133.0,-0.08971342308699015,438.0,-478800.0,-7980.0,-133.0
-132.0,-0.21746223211244242,440.0,-475200.0,-7920.0,-132.0
-131.0,-0.34019056930843217,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.4221322442045747,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.39583212229042264,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.31587406521577116,442.0,-460800.0,-7680.0,-128.0
-127.0,-0.22767243317276825,443.0,-457200.0,-7620.0,-127.0
-126.0,-0.16976674889957818,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.17335771061290914,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.17721895017609493,445.0,-446400.0,-7440.0,-124.0
-123.0,-0.16061243459829352,445.0,-442800.0,-7380.0,-123.0
-122.0,-0.10996542658008965,446.0,-439200.0,-7320.0,-122.0
-121.0,-0.036506456627229115,447.0,-435600.0,-7260.0,-121.0
-120.0,0.0410445986285951,448.0,-432000.0,-7200.0,-120.0
-119.0,0.1084816899569676,449.0,-428400.0,-7140.0,-119.0
-118.0,0.18313337577797925,450.0,-424800.0,-7080.0,-118.0
-117.0,0.24875170080655315,451.0,-421200.0,-7020.0,-117.0
-116.0,0.30528638392637164,452.0,-417600.0,-6960.0,-116.0
-115.0,0.37006239900415183,453.0,-414000.0,-6900.0,-115.0
-114.0,0.4403286374123404,454.0,-410400.0,-6840.0,-114.0
-113.0,0.4354831800073578,455.0,-406800.0,-6780.0,-113.0
-112.0,0.31833137835976294,456.0,-403200.0,-6720.0,-112.0
-111.0,0.16482848685439544,457.0,-399600.0,-6660.0,-111.0
-110.0,0.03568298302188242,458.0,-396000.0,-6600.0,-110.0
-109.0,-0.07979295943932202,459.0,-392400.0,-6540.0,-109.0
-108.0,-0.18579356371412847,460.0,-388800.0,-6480.0,-108.0
-107.0,-0.2821089392389161,461.0,-385200.0,-6420.0,-107.0
-106.0,-0.3473171613436917,462.0,-381600.0,-6360.0,-106.0
-105.0,-0.32828741668233,463.0,-378000.0,-6300.0,-105.0
-104.0,-0.2651970804321615,464.0,-374400.0,-6240.0,-104.0
-103.0,-0.198753082951383,465.0,-370800.0,-6180.0,-103.0
-102.0,-0.1540016549617646,466.0,-367200.0,-6120.0,-102.0
-101.0,-0.15817958875923274,467.0,-363600.0,-6060.0,-101.0
-100.0,-0.16275679745735983,468.0,-360000.0,-6000.0,-100.0
-99.0,-0.15165284657919226,469.0,-356400.0,-5940.0,-99.0
-98.0,-0.11095875697925069,470.0,-352800.0,-5880.0,-98.0
-97.0,-0.04773446554973422,471.0,-349200.0,-5820.0,-97.0
-96.0,0.017066846338125226,472.0,-345600.0,-5760.0,-96.0
-95.0,0.07412517885629952,473.0,-342000.0,-5700.0,-95.0
-94.0,0.13460399993111882,474.0,-338400.0,-5640.0,-94.0
-93.0,0.19058019809019186,475.0,-334800.0,-5580.0,-93.0
-92.0,0.24201859263570052,476.0,-331200.0,-5520.0,-92.0
-91.0,0.3032561678420288,477.0,-327600.0,-5460.0,-91.0
-90.0,0.3708167828189853,478.0,-324000.0,-5400.0,-90.0
-89.0,0.36839253933408717,479.0,-320400.0,-5340.0,-89.0
-88.0,0.2656821448746559,480.0,-316800.0,-5280.0,-88.0
-87.0,0.13376686247582342,481.0,-313200.0,-5220.0,-87.0
-86.0,0.02197775959497014,482.0,-309600.0,-5160.0,-86.0
-85.0,-0.07999790845460812,483.0,-306000.0,-5100.0,-85.0
-84.0,-0.17537091732176255,484.0,-302400.0,-5040.0,-84.0
-83.0,-0.25896325607069703,485.0,-298800.0,-4980.0,-83.0
-82.0,-0.314867777447622,486.0,-295200.0,-4920.0,-82.0
-81.0,-0.3037553083877851,487.0,-291600.0,-4860.0,-81.0
-80.0,-0.2529239661340077,488.0,-288000.0,-4800.0,-80.0
-79.0,-0.19390931754753055,489.0,-284400.0,-4740.0,-79.0
-78.0,-0.15667267424438608,490.0,-280800.0,-4680.0,-78.0
-77.0,-0.16257901281394502,491.0,-277200.0,-4620.0,-77.0
-76.0,-0.17115745197299204,492.0,-273600.0,-4560.0,-76.0
-75.0,-0.16219071005583657,493.0,-270000.0,-4500.0,-75.0
-74.0,-0.12808310740506748,494.0,-266400.0,-4440.0,-74.0
-73.0,-0.074228760747259,495.0,-262800.0,-4380.0,-73.0
-72.0,-0.017435955199416278,496.0,-259200.0,-4320.0,-72.0
-71.0,0.03570484778682439,497.0,-255600.0,-4260.0,-71.0
-70.0,0.09142733245301873,498.0,-252000.0,-4200.0,-70.0
-69.0,0.13970285197374935,499.0,-248400.0,-4140.0,-69.0
-68.0,0.1877582564107388,500.0,-244800.0,-4080.0,-68.0
-67.0,0.24258284421545476,501.0,-241200.0,-4020.0,-67.0
-66.0,0.30230990721590145,502.0,-237600.0,-3960.0,-66.0
-65.0,0.2978674144458552,503.0,-234000.0,-3900.0,-65.0
-64.0,0.2103459633521516,504.0,-230400.0,-3840.0,-64.0
-63.0,0.0954948124794549,505.0,-226800.0,-3780.0,-63.0
-62.0,-0.004862003506443146,506.0,-223200.0,-3720.0,-62.0
-61.0,-0.09288705672940206,507.0,-219600.0,-3660.0,-61.0
-60.0,-0.1730179942042535,508.0,-216000.0,-3600.0,-60.0
-59.0,-0.24794390448746562,509.0,-212400.0,-3540.0,-59.0
-58.0,-0.2997850869757376,510.0,-208800.0,-3480.0,-58.0
-57.0,-0.2916922939645905,511.0,-205200.0,-3420.0,-57.0
-56.0,-0.24676867844587844,512.0,-201600.0,-3360.0,-56.0
-55.0,-0.1951935010180632,513.0,-198000.0,-3300.0,-55.0
-54.0,-0.16618798964001047,514.0,-194400.0,-3240.0,-54.0
-53.0,-0.17478838936830737,515.0,-190800.0,-3180.0,-53.0
-52.0,-0.18537868910148403,516.0,-187200.0,-3120.0,-52.0
-51.0,-0.17832026490710945,517.0,-183600.0,-3060.0,-51.0
-50.0,-0.1483019461477995,518.0,-180000.0,-3000.0,-50.0
-49.0,-0.099335343526105,519.0,-176400.0,-2940.0,-49.0
-48.0,-0.04940429422145576,520.0,-172800.0,-2880.0,-48.0
-47.0,-0.001260963202788105,521.0,-169200.0,-2820.0,-47.0
-46.0,0.04972770451537883,522.0,-165600.0,-2760.0,-46.0
-45.0,0.09257908153652392,523.0,-162000.0,-2700.0,-45.0
-44.0,0.1355640248237411,524.0,-158400.0,-2640.0,-44.0
-43.0,0.1837720943860409,525.0,-154800.0,-2580.0,-43.0
-42.0,0.2345766369509201,526.0,-151200.0,-2520.0,-42.0
-41.0,0.22958568624888281,527.0,-147600.0,-2460.0,-41.0
-40.0,0.14968158140812804,528.0,-144000.0,-2400.0,-40.0
-39.0,0.0482462726472274,529.0,-140400.0,-2340.0,-39.0
-38.0,-0.039706014938062126,530.0,-136800.0,-2280.0,-38.0
-37.0,-0.11965940440212866,531.0,-133200.0,-2220.0,-37.0
-36.0,-0.19007898036599027,532.0,-129600.0,-2160.0,-36.0
-35.0,-0.25575960778500995,533.0,-126000.0,-2100.0,-35.0
-34.0,-0.3015693539616578,534.0,-122400.0,-2040.0,-34.0
-33.0,-0.2988456890888218,535.0,-118800.0,-1980.0,-33.0
-32.0,-0.26189724871765163,536.0,-115200.0,-1920.0,-32.0
-31.0,-0.2182133376213019,537.0,-111600.0,-1860.0,-31.0
-30.0,-0.1947828432616526,538.0,-108000.0,-1800.0,-30.0
-29.0,-0.2069134285652551,539.0,-104400.0,-1740.0,-29.0
-28.0,-0.2183711478237588,540.0,-100800.0,-1680.0,-28.0
-27.0,-0.2135556206185154,541.0,-97200.0,-1620.0,-27.0
-26.0,-0.18590522239828172,542.0,-93600.0,-1560.0,-26.0
-25.0,-0.14030463779740643,543.0,-90000.0,-1500.0,-25.0
-24.0,-0.09182599205137995,544.0,-86400.0,-1440.0,-24.0
-23.0,-0.04670825031077366,545.0,-82800.0,-1380.0,-23.0
-22.0,-0.0001192990011215484,546.0,-79200.0,-1320.0,-22.0
-21.0,0.04035429423101025,547.0,-75600.0,-1260.0,-21.0
-20.0,0.08006455413315511,548.0,-72000.0,-1200.0,-20.0
-19.0,0.1258935902939655,549.0,-68400.0,-1140.0,-19.0
-18.0,0.17422427252808348,550.0,-64800.0,-1080.0,-18.0
-17.0,0.17210173708553167,551.0,-61200.0,-1020.0,-17.0
-16.0,0.09760465484570437,552.0,-57600.0,-960.0,-16.0
-15.0,0.0025998712328580407,553.0,-54000.0,-900.0,-15.0
-14.0,-0.07875269640620974,554.0,-50400.0,-840.0,-14.0
-13.0,-0.15238553166932256,555.0,-46800.0,-780.0,-13.0
-12.0,-0.2190383596836486,556.0,-43200.0,-720.0,-12.0
-11.0,-0.2763465060846088,557.0,-39600.0,-660.0,-11.0
-10.0,-0.3203766492377724,558.0,-36000.0,-600.0,-10.0
-9.0,-0.320682811487101,559.0,-32400.0,-540.0,-9.0
