lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.16510282582447408,402.0,-604800.0,-10080.0,-168.0
-167.0,0.21698084350226554,403.0,-601200.0,-10020.0,-167.0
-166.0,0.2638774843332268,404.0,-597600.0,-9960.0,-166.0
-165.0,0.30960082503818026,405.0,-594000.0,-9900.0,-165.0
-164.0,0.3462731635172173,406.0,-590400.0,-9840.0,-164.0
-163.0,0.3875729631204105,407.0,-586800.0,-9780.0,-163.0
-162.0,0.43130332763022133,408.0,-583200.0,-9720.0,-162.0
-161.0,0.43686281704083263,409.0,-579600.0,-9660.0,-161.0
-160.0,0.34906538849603724,410.0,-576000.0,-9600.0,-160.0
-159.0,0.2264340826605408,411.0,-572400.0,-9540.0,-159.0
-158.0,0.11941776439612987,412.0,-568800.0,-9480.0,-158.0
-157.0,0.02338272434354995,413.0,-565200.0,-9420.0,-157.0
-156.0,-0.07209309885295688,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.17332452588051306,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.2433714033424378,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.2314899907999843,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.1803820232356923,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.11774564630294465,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.05461780635559076,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.03643973986045624,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.028688354369069594,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.005227018973947608,423.0,-529200.0,-8820.0,-147.0
-146.0,0.043199017746680904,424.0,-525600.0,-8760.0,-146.0
-145.0,0.10350781196297917,425.0,-522000.0,-8700.0,-145.0
-144.0,0.16215466563541736,426.0,-518400.0,-8640.0,-144.0
-143.0,0.21084841521663836,427.0,-514800.0,-8580.0,-143.0
-142.0,0.25959678306752054,428.0,-511200.0,-8520.0,-142.0
-141.0,0.30319298176104176,429.0,-507600.0,-8460.0,-141.0
-140.0,0.33753900683730803,430.0,-504000.0,-8400.0,-140.0
-139.0,0.3773054122343846,431.0,-500400.0,-8340.0,-139.0
-138.0,0.42035449218283033,432.0,-496800.0,-8280.0,-138.0
-137.0,0.42277587365851016,433.0,-493200.0,-8220.0,-137.0
-136.0,0.3407642260138052,434.0,-489600.0,-8160.0,-136.0
-135.0,0.22439678951492087,435.0,-486000.0,-8100.0,-135.0
-134.0,0.12291834128903457,436.0,-482400.0,-8040.0,-134.0
-133.0,0.030395739983983427,438.0,-478800.0,-7980.0,-133.0
-132.0,-0.0661791868765648,440.0,-475200.0,-7920.0,-132.0
-131.0,-0.16205019650468314,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.2321786276534888,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.21903569885852242,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.1695265044206336,442.0,-460800.0,-7680.0,-128.0
-127.0,-0.10708846919685862,443.0,-457200.0,-7620.0,-127.0
-126.0,-0.048662570928664446,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.02960359949157336,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.023553264749772967,445.0,-446400.0,-7440.0,-124.0
-123.0,-0.0038871819776321154,445.0,-442800.0,-7380.0,-123.0
-122.0,0.04642145992495049,446.0,-439200.0,-7320.0,-122.0
-121.0,0.10489701162689125,447.0,-435600.0,-7260.0,-121.0
-120.0,0.1609425401153125,448.0,-432000.0,-7200.0,-120.0
-119.0,0.20805468309551256,449.0,-428400.0,-7140.0,-119.0
-118.0,0.2550161523168533,450.0,-424800.0,-7080.0,-118.0
-117.0,0.3021812735493793,451.0,-421200.0,-7020.0,-117.0
-116.0,0.3365543038524695,452.0,-417600.0,-6960.0,-116.0
-115.0,0.37645461669945307,453.0,-414000.0,-6900.0,-115.0
-114.0,0.42168161055135933,454.0,-410400.0,-6840.0,-114.0
-113.0,0.4268706686853145,455.0,-406800.0,-6780.0,-113.0
-112.0,0.3457121599620829,456.0,-403200.0,-6720.0,-112.0
-111.0,0.23069702546023754,457.0,-399600.0,-6660.0,-111.0
-110.0,0.1293792177896659,458.0,-396000.0,-6600.0,-110.0
-109.0,0.03710293707416967,459.0,-392400.0,-6540.0,-109.0
-108.0,-0.053419308475773176,460.0,-388800.0,-6480.0,-108.0
-107.0,-0.1485083619773952,461.0,-385200.0,-6420.0,-107.0
-106.0,-0.21734492907418548,462.0,-381600.0,-6360.0,-106.0
-105.0,-0.20908333904895618,463.0,-378000.0,-6300.0,-105.0
-104.0,-0.15809992628530803,464.0,-374400.0,-6240.0,-104.0
-103.0,-0.0984888439964623,465.0,-370800.0,-6180.0,-103.0
-102.0,-0.04192178543766154,466.0,-367200.0,-6120.0,-102.0
-101.0,-0.02029641649868253,467.0,-363600.0,-6060.0,-101.0
-100.0,-0.011797034665409819,468.0,-360000.0,-6000.0,-100.0
-99.0,0.010206013032763377,469.0,-356400.0,-5940.0,-99.0
-98.0,0.05825411189767776,470.0,-352800.0,-5880.0,-98.0
-97.0,0.1180877992057537,471.0,-349200.0,-5820.0,-97.0
-96.0,0.1753660465345626,472.0,-345600.0,-5760.0,-96.0
-95.0,0.2238300861654667,473.0,-342000.0,-5700.0,-95.0
-94.0,0.2698982456196021,474.0,-338400.0,-5640.0,-94.0
-93.0,0.31933877439320263,475.0,-334800.0,-5580.0,-93.0
-92.0,0.35831962727313205,476.0,-331200.0,-5520.0,-92.0
-91.0,0.39575446032414413,477.0,-327600.0,-5460.0,-91.0
-90.0,0.43802686228785365,478.0,-324000.0,-5400.0,-90.0
-89.0,0.44576185979322186,479.0,-320400.0,-5340.0,-89.0
-88.0,0.36613974431201673,480.0,-316800.0,-5280.0,-88.0
-87.0,0.2552354499842568,481.0,-313200.0,-5220.0,-87.0
-86.0,0.15539245432058024,482.0,-309600.0,-5160.0,-86.0
-85.0,0.0615019219667331,483.0,-306000.0,-5100.0,-85.0
-84.0,-0.03188470827530293,484.0,-302400.0,-5040.0,-84.0
-83.0,-0.1258588011863936,485.0,-298800.0,-4980.0,-83.0
-82.0,-0.1953014931166418,486.0,-295200.0,-4920.0,-82.0
-81.0,-0.18609026133804127,487.0,-291600.0,-4860.0,-81.0
-80.0,-0.1357064345519957,488.0,-288000.0,-4800.0,-80.0
-79.0,-0.07470542276063517,489.0,-284400.0,-4740.0,-79.0
-78.0,-0.017132264820508683,490.0,-280800.0,-4680.0,-78.0
-77.0,0.0012680462069220696,491.0,-277200.0,-4620.0,-77.0
-76.0,0.008910782137481714,492.0,-273600.0,-4560.0,-76.0
-75.0,0.03185684481961949,493.0,-270000.0,-4500.0,-75.0
-74.0,0.07984680000433203,494.0,-266400.0,-4440.0,-74.0
-73.0,0.14164040597675576,495.0,-262800.0,-4380.0,-73.0
-72.0,0.2023074912174905,496.0,-259200.0,-4320.0,-72.0
-71.0,0.24965717115634742,497.0,-255600.0,-4260.0,-71.0
-70.0,0.2960600403638076,498.0,-252000.0,-4200.0,-70.0
-69.0,0.3445803082025158,499.0,-248400.0,-4140.0,-69.0
-68.0,0.38684770190913753,500.0,-244800.0,-4080.0,-68.0
-67.0,0.42676572716255795,501.0,-241200.0,-4020.0,-67.0
-66.0,0.47079872448981236,502.0,-237600.0,-3960.0,-66.0
-65.0,0.4836877625369634,503.0,-234000.0,-3900.0,-65.0
-64.0,0.4050505077907958,504.0,-230400.0,-3840.0,-64.0
-63.0,0.29294549259349195,505.0,-226800.0,-3780.0,-63.0
-62.0,0.19302293335013698,506.0,-223200.0,-3720.0,-62.0
-61.0,0.10052260636552045,507.0,-219600.0,-3660.0,-61.0
-60.0,0.012089269450519559,508.0,-216000.0,-3600.0,-60.0
-59.0,-0.07753336855966117,509.0,-212400.0,-3540.0,-59.0
