lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,0.044548888790002836,402.0,-604800.0,-10080.0,-168.0
-167.0,0.10223322646218085,403.0,-601200.0,-10020.0,-167.0
-166.0,0.1584893267064038,404.0,-597600.0,-9960.0,-166.0
-165.0,0.21480021026650223,405.0,-594000.0,-9900.0,-165.0
-164.0,0.2779722969232772,406.0,-590400.0,-9840.0,-164.0
-163.0,0.3114115548312466,407.0,-586800.0,-9780.0,-163.0
-162.0,0.3320680111645724,408.0,-583200.0,-9720.0,-162.0
-161.0,0.2995158217448126,409.0,-579600.0,-9660.0,-161.0
-160.0,0.24436354540392216,410.0,-576000.0,-9600.0,-160.0
-159.0,0.17066570457949445,411.0,-572400.0,-9540.0,-159.0
-158.0,0.10658376029200868,412.0,-568800.0,-9480.0,-158.0
-157.0,0.06708158391044257,413.0,-565200.0,-9420.0,-157.0
-156.0,0.03398526169627706,414.0,-561600.0,-9360.0,-156.0
-155.0,-0.006627840547513525,415.0,-558000.0,-9300.0,-155.0
-154.0,-0.034167110299370675,416.0,-554400.0,-9240.0,-154.0
-153.0,-0.04925284964731793,417.0,-550800.0,-9180.0,-153.0
-152.0,-0.03186912656841273,418.0,-547200.0,-9120.0,-152.0
-151.0,-0.011119066243525174,419.0,-543600.0,-9060.0,-151.0
-150.0,-0.013290020907775363,420.0,-540000.0,-9000.0,-150.0
-149.0,-0.04743230570756477,421.0,-536400.0,-8940.0,-149.0
-148.0,-0.06588628998039316,422.0,-532800.0,-8880.0,-148.0
-147.0,-0.06426135223329672,423.0,-529200.0,-8820.0,-147.0
-146.0,-0.023201971209792296,424.0,-525600.0,-8760.0,-146.0
-145.0,0.029079699633898955,425.0,-522000.0,-8700.0,-145.0
-144.0,0.0746216778266641,426.0,-518400.0,-8640.0,-144.0
-143.0,0.13373576003329452,427.0,-514800.0,-8580.0,-143.0
-142.0,0.18968126229561877,428.0,-511200.0,-8520.0,-142.0
-141.0,0.24589278076663115,429.0,-507600.0,-8460.0,-141.0
-140.0,0.3092997273410029,430.0,-504000.0,-8400.0,-140.0
-139.0,0.33977026248587333,431.0,-500400.0,-8340.0,-139.0
-138.0,0.35556182541577075,432.0,-496800.0,-8280.0,-138.0
-137.0,0.3131636805164786,433.0,-493200.0,-8220.0,-137.0
-136.0,0.2606264936584092,434.0,-489600.0,-8160.0,-136.0
-135.0,0.1887712740472569,435.0,-486000.0,-8100.0,-135.0
-134.0,0.12944983589115774,436.0,-482400.0,-8040.0,-134.0
-133.0,0.08555122504943388,438.0,-478800.0,-7980.0,-133.0
-132.0,0.048266239678348616,440.0,-475200.0,-7920.0,-132.0
-131.0,0.008070676221824604,440.0,-471600.0,-7860.0,-131.0
-130.0,-0.016597789791470856,440.0,-468000.0,-7800.0,-130.0
-129.0,-0.029169030865181446,441.0,-464400.0,-7740.0,-129.0
-128.0,-0.010251560423490813,442.0,-460800.0,-7680.0,-128.0
-127.0,0.014320153302566349,443.0,-457200.0,-7620.0,-127.0
-126.0,0.011963184635548211,444.0,-453600.0,-7560.0,-126.0
-125.0,-0.027676920142615715,445.0,-450000.0,-7500.0,-125.0
-124.0,-0.05630290755237282,445.0,-446400.0,-7440.0,-124.0
-123.0,-0.05179833350489718,445.0,-442800.0,-7380.0,-123.0
-122.0,-0.011722733976815482,446.0,-439200.0,-7320.0,-122.0
-121.0,0.04267095414092448,447.0,-435600.0,-7260.0,-121.0
-120.0,0.08969303025321781,448.0,-432000.0,-7200.0,-120.0
-119.0,0.1578430383180497,449.0,-428400.0,-7140.0,-119.0
-118.0,0.2097180682682306,450.0,-424800.0,-7080.0,-118.0
-117.0,0.26616689031972074,451.0,-421200.0,-7020.0,-117.0
-116.0,0.33020247840838224,452.0,-417600.0,-6960.0,-116.0
-115.0,0.3677717856824426,453.0,-414000.0,-6900.0,-115.0
-114.0,0.3825828996945414,454.0,-410400.0,-6840.0,-114.0
-113.0,0.3261497922420434,455.0,-406800.0,-6780.0,-113.0
-112.0,0.2652953024079468,456.0,-403200.0,-6720.0,-112.0
-111.0,0.1966571737405461,457.0,-399600.0,-6660.0,-111.0
-110.0,0.1501234821241187,458.0,-396000.0,-6600.0,-110.0
-109.0,0.10209767181953129,459.0,-392400.0,-6540.0,-109.0
-108.0,0.05559410229578729,460.0,-388800.0,-6480.0,-108.0
-107.0,0.012625787181136607,461.0,-385200.0,-6420.0,-107.0
-106.0,-0.0125824881557469,462.0,-381600.0,-6360.0,-106.0
-105.0,-0.029730889555627565,463.0,-378000.0,-6300.0,-105.0
-104.0,-0.01092647836200235,464.0,-374400.0,-6240.0,-104.0
-103.0,0.012799252517724017,465.0,-370800.0,-6180.0,-103.0
-102.0,0.009579626281766167,466.0,-367200.0,-6120.0,-102.0
-101.0,-0.03679386702516232,467.0,-363600.0,-6060.0,-101.0
-100.0,-0.061445521046941655,468.0,-360000.0,-6000.0,-100.0
-99.0,-0.05037636762938336,469.0,-356400.0,-5940.0,-99.0
-98.0,-0.00496434605416664,470.0,-352800.0,-5880.0,-98.0
-97.0,0.04976578478073653,471.0,-349200.0,-5820.0,-97.0
-96.0,0.09852966579991036,472.0,-345600.0,-5760.0,-96.0
-95.0,0.16245544980212379,473.0,-342000.0,-5700.0,-95.0
-94.0,0.2243662994853518,474.0,-338400.0,-5640.0,-94.0
-93.0,0.2796985378330691,475.0,-334800.0,-5580.0,-93.0
-92.0,0.344694233027251,476.0,-331200.0,-5520.0,-92.0
-91.0,0.38323522895692474,477.0,-327600.0,-5460.0,-91.0
-90.0,0.40021600816508074,478.0,-324000.0,-5400.0,-90.0
