lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.9111785365983147,0.01245499082369816
2.0,0.9550629424700657,0.04598178072191173
3.0,0.9591844981982147,0.10142915953997717
4.0,0.983205578302684,0.09761418300234231
5.0,0.9883364508099911,0.1182775641709937
6.0,5.744017565257158e-05,4.967330966573038
7.0,1.364758714854199e-34,29.487092463044736
8.0,6.01691119093749e-42,32.604863977876285
9.0,3.530318659129405e-43,30.52156327586644
10.0,4.196650595355955e-46,30.112073937434495
11.0,1.6158405587452067e-51,31.603688377978465
12.0,2.5613495686748238e-58,34.03108371465161
13.0,3.562683507724826e-63,35.10246013852375
14.0,1.7149417348481203e-65,34.551272288178914
15.0,1.7034129653642102e-63,31.49444410043186
16.0,2.4972918207603266e-60,28.161659736828085
17.0,8.248000607451015e-54,23.53333592838864
18.0,2.9283714563975596e-54,22.751638199643562
19.0,7.186692315047427e-52,20.76887831560103
20.0,8.132580195509987e-45,17.05472822523773
21.0,4.230008192428809e-37,13.551953200507477
22.0,2.539317013393734e-28,10.122045293618473
23.0,6.430754908165309e-28,9.70330064777272
24.0,1.100770563398172e-22,7.852281127003923
25.0,2.7550073056630073e-19,6.6830824341025705
26.0,5.847064238193672e-19,6.442143795288713
27.0,1.2306258539497043e-18,6.217980235611533
28.0,1.3565321108697085e-18,6.081256038559359
29.0,3.7030386337231046e-18,5.853196310413608
30.0,7.319876918539895e-19,5.921297246927905
31.0,1.789530070082852e-18,5.72272498754729
32.0,7.19671547305223e-18,5.483501802429958
33.0,8.491285424340194e-18,5.379638132236557
34.0,2.303623336271101e-17,5.199330731516649
35.0,1.1155389663610873e-16,4.971600868051361
36.0,1.8120242615410944e-16,4.857197675070664
37.0,2.951241258971307e-16,4.747827665954392
38.0,4.646237405885574e-16,4.646439421387474
39.0,1.673491256433859e-16,4.681865765282379
40.0,6.248345104481363e-16,4.510546647180535
41.0,1.2250005924401827e-15,4.401543749765484
42.0,3.984160057514845e-16,4.4504892667615215
43.0,5.783538730082492e-16,4.372608762719409
44.0,2.3015519439018004e-15,4.213829612326995
45.0,7.717916921795063e-15,4.074195399712776
46.0,3.339509941128939e-14,3.9182689635597474
47.0,1.808073423060173e-14,3.9331516408281937
48.0,4.540585562975819e-12,3.462419666017473
49.0,7.83718154969596e-11,3.211267783296622
50.0,1.4932472695939006e-10,3.137618422894357
51.0,3.9053617446044554e-10,3.041264087044784
52.0,6.656707217767622e-11,3.156891306516198
53.0,1.2727728106616706e-10,3.0871055396243783
54.0,1.1469126103937288e-10,3.075533336786042
55.0,1.3004561861553094e-10,3.0474688800059844
56.0,1.6244642706552923e-10,3.01314609359564
57.0,3.6800827600089094e-10,2.936178169795914
58.0,6.942789565285985e-10,2.874031964662628
59.0,7.203081035592372e-10,2.8564134091691997
60.0,1.0728145465057858e-09,2.8134343251291813
61.0,2.3764194158222042e-09,2.742994447341208
62.0,2.354108444467875e-09,2.7309621676043094
63.0,3.5455485367354024e-09,2.68980747671193
64.0,2.123661289680121e-09,2.7141282258022152
65.0,4.005719840213881e-09,2.6585290199575695
66.0,4.8821449775692674e-09,2.634099262297897
67.0,5.620555790600299e-09,2.614150996697186
68.0,1.4268267508988424e-08,2.540291481883961
69.0,2.7506660647489574e-08,2.4861182460420936
70.0,4.95402887701908e-08,2.437252445615604
71.0,8.085987266568146e-08,2.3957151978883413
72.0,2.3751044076193032e-07,2.314232421403938
