lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,0.0919723804949476,202.0,-604800.0,-10080.0,-168.0
-83.0,0.1898243512079675,203.0,-597600.0,-9960.0,-166.0
-82.0,0.3142498009690742,204.0,-590400.0,-9840.0,-164.0
-81.0,0.3123595303508412,205.0,-583200.0,-9720.0,-162.0
-80.0,0.17384246703728107,206.0,-576000.0,-9600.0,-160.0
-79.0,-0.1283743674894887,207.0,-568800.0,-9480.0,-158.0
-78.0,-0.26757298806267676,208.0,-561600.0,-9360.0,-156.0
-77.0,-0.3322715454902964,209.0,-554400.0,-9240.0,-154.0
-76.0,-0.25738481939345287,210.0,-547200.0,-9120.0,-152.0
-75.0,-0.24695398315612244,211.0,-540000.0,-9000.0,-150.0
-74.0,-0.24859076662055937,212.0,-532800.0,-8880.0,-148.0
-73.0,-0.09868325879530772,213.0,-525600.0,-8760.0,-146.0
-72.0,0.06896662920103541,214.0,-518400.0,-8640.0,-144.0
-71.0,0.17264123792886008,215.0,-511200.0,-8520.0,-142.0
-70.0,0.2933493509128168,216.0,-504000.0,-8400.0,-140.0
-69.0,0.2811567846176291,217.0,-496800.0,-8280.0,-138.0
-68.0,0.14847704985400328,218.0,-489600.0,-8160.0,-136.0
-67.0,-0.10376236723867417,219.0,-482400.0,-8040.0,-134.0
-66.0,-0.2336117338942703,221.0,-475200.0,-7920.0,-132.0
-65.0,-0.33214111218650005,221.0,-468000.0,-7800.0,-130.0
-64.0,-0.23668066745306543,222.0,-460800.0,-7680.0,-128.0
-63.0,-0.22830318950549558,223.0,-453600.0,-7560.0,-126.0
-62.0,-0.23948775488381208,223.0,-446400.0,-7440.0,-124.0
-61.0,-0.0883889555228039,224.0,-439200.0,-7320.0,-122.0
-60.0,0.05803213630003117,225.0,-432000.0,-7200.0,-120.0
-59.0,0.14684438834693855,226.0,-424800.0,-7080.0,-118.0
-58.0,0.25404750431284584,227.0,-417600.0,-6960.0,-116.0
-57.0,0.25408431865473763,228.0,-410400.0,-6840.0,-114.0
-56.0,0.12249611724180651,229.0,-403200.0,-6720.0,-112.0
-55.0,-0.08229233279116689,230.0,-396000.0,-6600.0,-110.0
-54.0,-0.19301318774297546,231.0,-388800.0,-6480.0,-108.0
-53.0,-0.30041269217977334,232.0,-381600.0,-6360.0,-106.0
-52.0,-0.23158363779442995,233.0,-374400.0,-6240.0,-104.0
-51.0,-0.23225340449939666,234.0,-367200.0,-6120.0,-102.0
-50.0,-0.24975402935573468,235.0,-360000.0,-6000.0,-100.0
-49.0,-0.09632446470723105,236.0,-352800.0,-5880.0,-98.0
-48.0,0.015368125632279529,237.0,-345600.0,-5760.0,-96.0
-47.0,0.11387266060979773,238.0,-338400.0,-5640.0,-94.0
-46.0,0.23432875358024013,239.0,-331200.0,-5520.0,-92.0
-45.0,0.23418167132935144,240.0,-324000.0,-5400.0,-90.0
-44.0,0.11943066460956239,241.0,-316800.0,-5280.0,-88.0
-43.0,-0.06012330883197645,242.0,-309600.0,-5160.0,-86.0
-42.0,-0.21115592342538167,243.0,-302400.0,-5040.0,-84.0
-41.0,-0.287044980577715,244.0,-295200.0,-4920.0,-82.0
