lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,0.12049971127732886,202.0,-604800.0,-10080.0,-168.0
-83.0,0.3399312608795408,203.0,-597600.0,-9960.0,-166.0
-82.0,0.5099037390505831,204.0,-590400.0,-9840.0,-164.0
-81.0,0.7308971417150436,205.0,-583200.0,-9720.0,-162.0
-80.0,0.38663962726422146,206.0,-576000.0,-9600.0,-160.0
-79.0,-0.022709276209693045,207.0,-568800.0,-9480.0,-158.0
-78.0,-0.3222389388460264,208.0,-561600.0,-9360.0,-156.0
-77.0,-0.5457979593638177,209.0,-554400.0,-9240.0,-154.0
-76.0,-0.36462301616178966,210.0,-547200.0,-9120.0,-152.0
-75.0,-0.21432121686579422,211.0,-540000.0,-9000.0,-150.0
-74.0,-0.20693409794961137,212.0,-532800.0,-8880.0,-148.0
-73.0,-0.10186466902865152,213.0,-525600.0,-8760.0,-146.0
-72.0,0.09969409769424827,214.0,-518400.0,-8640.0,-144.0
-71.0,0.278984426847177,215.0,-511200.0,-8520.0,-142.0
-70.0,0.4212679528352912,216.0,-504000.0,-8400.0,-140.0
-69.0,0.6032753622428664,217.0,-496800.0,-8280.0,-138.0
-68.0,0.30923380545745754,218.0,-489600.0,-8160.0,-136.0
-67.0,-0.013049805415641581,219.0,-482400.0,-8040.0,-134.0
-66.0,-0.25301711408477023,221.0,-475200.0,-7920.0,-132.0
-65.0,-0.42242993860529504,221.0,-468000.0,-7800.0,-130.0
-64.0,-0.2716411339011538,222.0,-460800.0,-7680.0,-128.0
-63.0,-0.15458528405278257,223.0,-453600.0,-7560.0,-126.0
-62.0,-0.15907055614425175,223.0,-446400.0,-7440.0,-124.0
-61.0,-0.07415808650288667,224.0,-439200.0,-7320.0,-122.0
-60.0,0.06805771383188135,225.0,-432000.0,-7200.0,-120.0
-59.0,0.21248908324114377,226.0,-424800.0,-7080.0,-118.0
-58.0,0.3294648294405052,227.0,-417600.0,-6960.0,-116.0
-57.0,0.4765483837611223,228.0,-410400.0,-6840.0,-114.0
-56.0,0.243798712744779,229.0,-403200.0,-6720.0,-112.0
-55.0,-0.013926335966916396,230.0,-396000.0,-6600.0,-110.0
-54.0,-0.2173584622012577,231.0,-388800.0,-6480.0,-108.0
-53.0,-0.35536543785472885,232.0,-381600.0,-6360.0,-106.0
-52.0,-0.23377583812622257,233.0,-374400.0,-6240.0,-104.0
-51.0,-0.14340359271948552,234.0,-367200.0,-6120.0,-102.0
-50.0,-0.1502364918441366,235.0,-360000.0,-6000.0,-100.0
-49.0,-0.080714859400222,236.0,-352800.0,-5880.0,-98.0
-48.0,0.03802364278985041,237.0,-345600.0,-5760.0,-96.0
-47.0,0.16292665435065903,238.0,-338400.0,-5640.0,-94.0
-46.0,0.27017140139900675,239.0,-331200.0,-5520.0,-92.0
-45.0,0.4102455915587738,240.0,-324000.0,-5400.0,-90.0
-44.0,0.20799200662079043,241.0,-316800.0,-5280.0,-88.0
-43.0,-0.01695929608417898,242.0,-309600.0,-5160.0,-86.0
-42.0,-0.20304994735175358,243.0,-302400.0,-5040.0,-84.0
-41.0,-0.3186876890893127,244.0,-295200.0,-4920.0,-82.0
-40.0,-0.2236693708442404,245.0,-288000.0,-4800.0,-80.0
-39.0,-0.14474053418449867,246.0,-280800.0,-4680.0,-78.0
-38.0,-0.15849887558070622,247.0,-273600.0,-4560.0,-76.0
-37.0,-0.09456112139824828,248.0,-266400.0,-4440.0,-74.0
-36.0,0.007732911923905793,249.0,-259200.0,-4320.0,-72.0
-35.0,0.12217411480150413,250.0,-252000.0,-4200.0,-70.0
-34.0,0.21932061497264801,251.0,-244800.0,-4080.0,-68.0
-33.0,0.3441623265650677,252.0,-237600.0,-3960.0,-66.0
-32.0,0.1736244342453851,253.0,-230400.0,-3840.0,-64.0
-31.0,-0.03165527708005324,254.0,-223200.0,-3720.0,-62.0
-30.0,-0.18946619820792818,255.0,-216000.0,-3600.0,-60.0
-29.0,-0.29859118527972284,256.0,-208800.0,-3480.0,-58.0
-28.0,-0.21520921199902787,257.0,-201600.0,-3360.0,-56.0
-27.0,-0.1514918363683127,258.0,-194400.0,-3240.0,-54.0
-26.0,-0.1686766530237637,259.0,-187200.0,-3120.0,-52.0
-25.0,-0.11630115218534844,260.0,-180000.0,-3000.0,-50.0
-24.0,-0.020817043969700258,261.0,-172800.0,-2880.0,-48.0
-23.0,0.08261827079932595,262.0,-165600.0,-2760.0,-46.0
-22.0,0.1705298203809421,263.0,-158400.0,-2640.0,-44.0
-21.0,0.27340436734992174,264.0,-151200.0,-2520.0,-42.0
-20.0,0.11640028498686583,265.0,-144000.0,-2400.0,-40.0
-19.0,-0.06096810990764461,266.0,-136800.0,-2280.0,-38.0
-18.0,-0.20181694231865974,267.0,-129600.0,-2160.0,-36.0
-17.0,-0.29964946727864583,268.0,-122400.0,-2040.0,-34.0
-16.0,-0.233924103245532,269.0,-115200.0,-1920.0,-32.0
-15.0,-0.1835124174774988,270.0,-108000.0,-1800.0,-30.0
-14.0,-0.20335009812358867,271.0,-100800.0,-1680.0,-28.0
-13.0,-0.15597164552845247,272.0,-93600.0,-1560.0,-26.0
-12.0,-0.06318150782466525,273.0,-86400.0,-1440.0,-24.0
-11.0,0.03242701728336271,274.0,-79200.0,-1320.0,-22.0
-10.0,0.11359515262298062,275.0,-72000.0,-1200.0,-20.0
-9.0,0.21588297305138782,276.0,-64800.0,-1080.0,-18.0
-8.0,0.0692507431791577,277.0,-57600.0,-960.0,-16.0
-7.0,-0.09502723107328061,278.0,-50400.0,-840.0,-14.0
-6.0,-0.23235008485991,279.0,-43200.0,-720.0,-12.0
-5.0,-0.31942140881652525,280.0,-36000.0,-600.0,-10.0
-4.0,-0.259034714661649,281.0,-28800.0,-480.0,-8.0
-3.0,-0.209441808762244,282.0,-21600.0,-360.0,-6.0
-2.0,-0.22878812652836142,283.0,-14400.0,-240.0,-4.0
-1.0,-0.18397667763474265,284.0,-7200.0,-120.0,-2.0
0.0,-0.09523085875701322,287.0,0.0,0.0,0.0
1.0,-0.00904757894154138,284.0,7200.0,120.0,2.0
2.0,0.06240303008630128,283.0,14400.0,240.0,4.0
3.0,0.15598003121731407,282.0,21600.0,360.0,6.0
4.0,0.024388383816557675,281.0,28800.0,480.0,8.0
5.0,-0.13053019792871426,280.0,36000.0,600.0,10.0
6.0,-0.24862504864097737,279.0,43200.0,720.0,12.0
7.0,-0.3235543353377846,278.0,50400.0,840.0,14.0
8.0,-0.2679483824714394,277.0,57600.0,960.0,16.0
9.0,-0.21832071028651898,276.0,64800.0,1080.0,18.0
10.0,-0.2411837865134507,275.0,72000.0,1200.0,20.0
11.0,-0.19835945394477095,274.0,79200.0,1320.0,22.0
12.0,-0.11787822384195026,273.0,86400.0,1440.0,24.0
13.0,-0.03135716787251012,272.0,93600.0,1560.0,26.0
14.0,0.03386787209791259,271.0,100800.0,1680.0,28.0
15.0,0.12703035771236848,270.0,108000.0,1800.0,30.0
16.0,-0.0008636810472352343,269.0,115200.0,1920.0,32.0
17.0,-0.1441518637299543,268.0,122400.0,2040.0,34.0
18.0,-0.2534202424887673,267.0,129600.0,2160.0,36.0
19.0,-0.3232915999859955,266.0,136800.0,2280.0,38.0
20.0,-0.26189307291788183,265.0,144000.0,2400.0,40.0
21.0,-0.2129618154858711,264.0,151200.0,2520.0,42.0
22.0,-0.23375312237760937,263.0,158400.0,2640.0,44.0
23.0,-0.198723777839062,262.0,165600.0,2760.0,46.0
24.0,-0.11712133898185165,261.0,172800.0,2880.0,48.0
25.0,-0.04115535122958302,260.0,180000.0,3000.0,50.0
26.0,0.02523947131065894,259.0,187200.0,3120.0,52.0
27.0,0.11614382480757117,258.0,194400.0,3240.0,54.0
28.0,-0.008903335239043523,257.0,201600.0,3360.0,56.0
29.0,-0.14718936169403873,256.0,208800.0,3480.0,58.0
30.0,-0.2542655218435572,255.0,216000.0,3600.0,60.0
31.0,-0.32131282699871133,254.0,223200.0,3720.0,62.0
32.0,-0.26766896563360215,253.0,230400.0,3840.0,64.0
33.0,-0.22113847940051362,252.0,237600.0,3960.0,66.0
34.0,-0.24242131808278522,251.0,244800.0,4080.0,68.0
35.0,-0.20385827158385958,250.0,252000.0,4200.0,70.0
36.0,-0.12385821726309808,249.0,259200.0,4320.0,72.0
37.0,-0.04838911629139036,248.0,266400.0,4440.0,74.0
38.0,0.0183750514864626,247.0,273600.0,4560.0,76.0
39.0,0.10814062907272569,246.0,280800.0,4680.0,78.0
40.0,-0.012040570329200697,245.0,288000.0,4800.0,80.0
41.0,-0.14138687010336393,244.0,295200.0,4920.0,82.0
42.0,-0.24578197955281952,243.0,302400.0,5040.0,84.0
43.0,-0.32122348842906445,242.0,309600.0,5160.0,86.0
