lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-84.0,0.17141612701519035,202.0,-604800.0,-10080.0,-168.0
-83.0,0.2654883485064336,203.0,-597600.0,-9960.0,-166.0
-82.0,0.3558926515950412,204.0,-590400.0,-9840.0,-164.0
-81.0,0.451491437796646,205.0,-583200.0,-9720.0,-162.0
-80.0,0.27148239854096695,206.0,-576000.0,-9600.0,-160.0
-79.0,0.05624627157966265,207.0,-568800.0,-9480.0,-158.0
-78.0,-0.1343009814703102,208.0,-561600.0,-9360.0,-156.0
-77.0,-0.2795758854144462,209.0,-554400.0,-9240.0,-154.0
-76.0,-0.18164779714829593,210.0,-547200.0,-9120.0,-152.0
-75.0,-0.058854573215570985,211.0,-540000.0,-9000.0,-150.0
-74.0,-0.03628670721864434,212.0,-532800.0,-8880.0,-148.0
-73.0,0.04851418706563256,213.0,-525600.0,-8760.0,-146.0
-72.0,0.16901581692143314,214.0,-518400.0,-8640.0,-144.0
-71.0,0.2642763194714561,215.0,-511200.0,-8520.0,-142.0
-70.0,0.3451570711636065,216.0,-504000.0,-8400.0,-140.0
-69.0,0.43841914950776184,217.0,-496800.0,-8280.0,-138.0
-68.0,0.26794370346943486,218.0,-489600.0,-8160.0,-136.0
-67.0,0.06715472268578752,219.0,-482400.0,-8040.0,-134.0
-66.0,-0.12171139243152185,221.0,-475200.0,-7920.0,-132.0
-65.0,-0.26264181215805543,221.0,-468000.0,-7800.0,-130.0
-64.0,-0.16911059842679316,222.0,-460800.0,-7680.0,-128.0
-63.0,-0.05152536705802987,223.0,-453600.0,-7560.0,-126.0
-62.0,-0.033747209281526316,223.0,-446400.0,-7440.0,-124.0
-61.0,0.056097748338130034,224.0,-439200.0,-7320.0,-122.0
-60.0,0.16765553447575354,225.0,-432000.0,-7200.0,-120.0
-59.0,0.2585960329366724,226.0,-424800.0,-7080.0,-118.0
-58.0,0.34725984944151483,227.0,-417600.0,-6960.0,-116.0
-57.0,0.4387402532307565,228.0,-410400.0,-6840.0,-114.0
-56.0,0.2749795179404913,229.0,-403200.0,-6720.0,-112.0
-55.0,0.0717232768840329,230.0,-396000.0,-6600.0,-110.0
-54.0,-0.11056712028349944,231.0,-388800.0,-6480.0,-108.0
-53.0,-0.2520265662219242,232.0,-381600.0,-6360.0,-106.0
-52.0,-0.15485429617131863,233.0,-374400.0,-6240.0,-104.0
-51.0,-0.045112586194765214,234.0,-367200.0,-6120.0,-102.0
-50.0,-0.022565650011192828,235.0,-360000.0,-6000.0,-100.0
-49.0,0.06362837410123749,236.0,-352800.0,-5880.0,-98.0
-48.0,0.1770847122251416,237.0,-345600.0,-5760.0,-96.0
-47.0,0.26933899775567594,238.0,-338400.0,-5640.0,-94.0
-46.0,0.3646142278767323,239.0,-331200.0,-5520.0,-92.0
-45.0,0.4554245874508515,240.0,-324000.0,-5400.0,-90.0
-44.0,0.2938743498787555,241.0,-316800.0,-5280.0,-88.0
-43.0,0.09382704160406273,242.0,-309600.0,-5160.0,-86.0
-42.0,-0.08717077779203235,243.0,-302400.0,-5040.0,-84.0
-41.0,-0.23224753574019807,244.0,-295200.0,-4920.0,-82.0
-40.0,-0.13642976389837494,245.0,-288000.0,-4800.0,-80.0
-39.0,-0.021211233891775608,246.0,-280800.0,-4680.0,-78.0
-38.0,-0.002766367899095236,247.0,-273600.0,-4560.0,-76.0
-37.0,0.08823432350904635,248.0,-266400.0,-4440.0,-74.0
-36.0,0.2056657408305138,249.0,-259200.0,-4320.0,-72.0
-35.0,0.30011092309615467,250.0,-252000.0,-4200.0,-70.0
-34.0,0.3995967467178596,251.0,-244800.0,-4080.0,-68.0
-33.0,0.4928150963113356,252.0,-237600.0,-3960.0,-66.0
-32.0,0.334949980940825,253.0,-230400.0,-3840.0,-64.0
-31.0,0.1340550628859865,254.0,-223200.0,-3720.0,-62.0
-30.0,-0.04157669126660442,255.0,-216000.0,-3600.0,-60.0
-29.0,-0.1873137660511703,256.0,-208800.0,-3480.0,-58.0
-28.0,-0.09241922144600384,257.0,-201600.0,-3360.0,-56.0
-27.0,0.02357751272053701,258.0,-194400.0,-3240.0,-54.0
-26.0,0.043520304024880066,259.0,-187200.0,-3120.0,-52.0
-25.0,0.12973289955714676,260.0,-180000.0,-3000.0,-50.0
-24.0,0.23607784912237756,261.0,-172800.0,-2880.0,-48.0
-23.0,0.3269510550872551,262.0,-165600.0,-2760.0,-46.0
-22.0,0.43783789077850277,263.0,-158400.0,-2640.0,-44.0
-21.0,0.5453817056192931,264.0,-151200.0,-2520.0,-42.0
-20.0,0.38997326295154433,265.0,-144000.0,-2400.0,-40.0
-19.0,0.19416263487322313,266.0,-136800.0,-2280.0,-38.0
-18.0,0.01834608728327047,267.0,-129600.0,-2160.0,-36.0
-17.0,-0.12477598336836994,268.0,-122400.0,-2040.0,-34.0
-16.0,-0.030899973007454336,269.0,-115200.0,-1920.0,-32.0
-15.0,0.07398942718973744,270.0,-108000.0,-1800.0,-30.0
-14.0,0.08339613092067716,271.0,-100800.0,-1680.0,-28.0
-13.0,0.1693173517507203,272.0,-93600.0,-1560.0,-26.0
-12.0,0.2745874544295941,273.0,-86400.0,-1440.0,-24.0
-11.0,0.3692979238473565,274.0,-79200.0,-1320.0,-22.0
-10.0,0.46887978139583186,275.0,-72000.0,-1200.0,-20.0
-9.0,0.5662033217137747,276.0,-64800.0,-1080.0,-18.0
-8.0,0.4191538036635371,277.0,-57600.0,-960.0,-16.0
-7.0,0.22326343496934434,278.0,-50400.0,-840.0,-14.0
-6.0,0.0553085321216612,279.0,-43200.0,-720.0,-12.0
-5.0,-0.08440339012046025,280.0,-36000.0,-600.0,-10.0
-4.0,0.007665956800268703,281.0,-28800.0,-480.0,-8.0
-3.0,0.10130138175062402,282.0,-21600.0,-360.0,-6.0
-2.0,0.11414578714932136,283.0,-14400.0,-240.0,-4.0
-1.0,0.18928082632504986,284.0,-7200.0,-120.0,-2.0
0.0,0.2923469487421564,287.0,0.0,0.0,0.0
1.0,0.38370051490556023,284.0,7200.0,120.0,2.0
2.0,0.4974711702395378,283.0,14400.0,240.0,4.0
3.0,0.587181284378904,282.0,21600.0,360.0,6.0
4.0,0.4418147310590613,281.0,28800.0,480.0,8.0
5.0,0.2443119640100041,280.0,36000.0,600.0,10.0
6.0,0.07544609762857607,279.0,43200.0,720.0,12.0
7.0,-0.0692050004978687,278.0,50400.0,840.0,14.0
8.0,0.015696320447156777,277.0,57600.0,960.0,16.0
9.0,0.1043619578945254,276.0,64800.0,1080.0,18.0
10.0,0.11792478119162288,275.0,72000.0,1200.0,20.0
11.0,0.18827108484488475,274.0,79200.0,1320.0,22.0
12.0,0.2952637390550903,273.0,86400.0,1440.0,24.0
13.0,0.3875315077602541,272.0,93600.0,1560.0,26.0
14.0,0.5035829945536756,271.0,100800.0,1680.0,28.0
