item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,5.0,1.4733595448191777e-11,7.0,7.3906437319741045e-09,-164.0,0.3142498009690742,134.0,-0.3878538211686655,6.0,0.05090629823669025,-164.0,0.3142498009690742
4.6x30mm AP SX,7.0,3.604058016187492e-40,9.0,5.959503747092711e-32,-162.0,0.4483942596125858,134.0,-0.48897924180236263,6.0,0.11738018205361311,-162.0,0.4483942596125858
5.56x45mm M995,6.0,1.3690245875406696e-44,7.0,7.994134316284517e-33,-162.0,0.7280210385318875,-162.0,0.7280210385318875,126.0,0.612834990486317,-162.0,0.7280210385318875
5.7x28mm SS190,9.0,9.472954197865283e-15,9.0,1.3186931887436271e-17,-162.0,0.42685692060504116,-162.0,0.42685692060504116,6.0,0.11503149624169044,-162.0,0.42685692060504116
5.8x42mm DVC12,7.0,3.654911432566107e-38,9.0,1.7875648109998987e-32,-162.0,0.7308971417150436,-162.0,0.7308971417150436,6.0,0.15598003121731407,-162.0,0.7308971417150436
6.8x51mm Hybrid,6.0,3.0073232746876475e-42,9.0,1.9555353323357153e-31,-162.0,0.7239329301324873,-162.0,0.7239329301324873,6.0,0.366579088925149,-162.0,0.7239329301324873
7.62x39mm AP,7.0,2.2065235783426054e-59,7.0,3.7753441534930536e-54,150.0,0.701826795880271,150.0,0.701826795880271,150.0,0.701826795880271,-18.0,0.5662033217137747
7.62x51mm M62,6.0,1.3135078597411185e-57,7.0,9.32976140322227e-59,126.0,0.6855515521849148,126.0,0.6855515521849148,126.0,0.6855515521849148,-18.0,0.6403887077457749
7.62x54R BT,3.0,2.5702708501473827e-17,8.0,9.272145541030586e-14,54.0,0.4657845934782858,54.0,0.4657845934782858,54.0,0.4657845934782858,-18.0,0.4466844753894134
9x39mm BP,7.0,1.1572126090444254e-68,7.0,4.914914149576026e-71,-162.0,0.5177248506472204,110.0,-0.665845834617227,150.0,0.29729819111202505,-162.0,0.5177248506472204
