item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,97.0,-0.16234387156872174,0.11212074451264896,-0.18311413672047483,0.07260623021905989
4.6x30mm AP SX,97.0,-0.12008727534184038,0.24134339777222982,-0.1315210996693923,0.19909769704943217
5.56x45mm M995,97.0,-0.27237405232247636,0.006954211616931192,-0.33042892893840786,0.0009479966080843237
5.7x28mm SS190,97.0,-0.3202483696107033,0.001384536790370692,-0.3448557418343862,0.0005418679078451221
5.8x42mm DVC12,97.0,-0.1216413757165137,0.23526266795566314,-0.18754487600328015,0.06583929458176499
6.8x51mm Hybrid,97.0,-0.19433935221366386,0.056464139322528833,-0.23162577854159377,0.022441269212180072
7.62x39mm AP,97.0,0.09310014258918667,0.3643987028212921,0.04792273614376631,0.6411199135609815
7.62x51mm M62,97.0,0.013012330428243124,0.8993357104664276,-0.02835678295695557,0.7827655499351712
7.62x54R BT,97.0,-0.026310336492497893,0.7980961534124468,-0.061460893499564406,0.549814419427332
9x39mm BP,97.0,-0.21767165523078777,0.03221139672551154,-0.24846668836645092,0.014127560671261854
